horizon_years,row_scope,train_end_year,fusion_mean_mae,matched_r10_mean_mae,r19_mean_mae,carry_forward_mean_mae,fusion_minus_r10,fusion_minus_r19,policy_id,selected_metric_count
1,full_sentinel_r19,,0.07472894582132304,0.09530345873034501,0.07472894582132304,0.28697436438140306,-0.020574512909021972,0.0,aggregate_oracle_upper_bound,
3,full_sentinel_r19,,0.11196855677854647,0.11565058222116206,0.11196855677854647,0.5278718299428302,-0.0036820254426155885,0.0,aggregate_oracle_upper_bound,
5,full_sentinel_r19,,0.12942108775021025,0.12942108775021025,0.13705411438672369,0.8387643744603296,0.0,-0.00763302663651344,aggregate_oracle_upper_bound,
3,program_best_phase3,,0.11565058222116206,0.11565058222116206,0.14260437987295446,0.5365953883119511,0.0,-0.0269537976517924,aggregate_oracle_upper_bound,
5,program_best_phase3,,0.12942108775021025,0.12942108775021025,0.17970006331209143,0.9671842817967539,0.0,-0.050278975561881184,aggregate_oracle_upper_bound,
