Region,Region code,Province,Province code,"Annual Per Capita Poverty Threshold 
(in PhP)  2015u ","Annual Per Capita Poverty Threshold 
(in PhP)  2018u ",Poverty Incidence among Families Estimates (%) 2015u,Poverty Incidence among Families Estimates (%) 2018u ,Poverty Incidence among Families Coefficient of Variation 2015u ,Poverty Incidence among Families Coefficient of Variation 2018u ,Poverty Incidence among Families Standard Error 2015u ,Poverty Incidence among Families Standard Error 2018u ,Poverty Incidence among Families 90% Confidence Interval 2015u Lower Limit,Poverty Incidence among Families 90% Confidence Interval 2015u Upper Limit,Poverty Incidence among Families 90% Confidence Interval 2018u Lower Limit,Poverty Incidence among Families 90% Confidence Interval 2018u Upper Limit,Magnitude of Poor Families Estimate ('000) 2015u ,Magnitude of Poor Families Estimate ('000) 2018u ,Magnitude of Poor Families Coefficient of Variation 2015u ,Magnitude of Poor Families Coefficient of Variation 2018u ,Magnitude of Poor Families Standard Error 2015u ,Magnitude of Poor Families Standard Error 2018u ,Magnitude of Poor Families 90% Confidence Interval 2015u Lower Limit,Magnitude of Poor Families 90% Confidence Interval 2015u Upper Limit,Magnitude of Poor Families 90% Confidence Interval 2018u Lower Limit,Magnitude of Poor Families 90% Confidence Interval 2018u Upper Limit,,,,,
REGION V (BICOL REGION)*,PH050000000,Masbate*,PH054100000," 20,406 "," 22,911 ",35.5, 25.8 ,11.0, 7.5 ,3.9, 1.9 ,29.1,42.0, 22.6 , 29.0 , 67.2 , 51.1 , 23.9 , 8.2 ,16.1, 4.2 , 40.8 , 93.6 , 44.1 , 58.0 ,,,,,
REGION V (BICOL REGION)*,PH050000000,Sorsogon*,PH056200000," 23,268 "," 26,069 ",46.2, 19.6 ,10.5, 8.1 ,4.9, 1.6 ,38.2,54.2, 17.0 , 22.2 , 87.2 , 34.4 , 23.6 , 8.8 ,20.6, 3.0 , 53.3 , 121.0 , 29.4 , 39.3 ,,,,,
REGION VI (WESTERN VISAYAS)*,PH060000000,Aklan c/,PH060400000," 22,184 "," 23,745 ",12.0, 8.8 ,29.8, 14.0 ,3.6, 1.2 ,6.1,17.8, 6.7 , 10.8 , 12.8 , 12.6 , 42.0 , 14.3 ,5.4, 1.8 , 4.0 , 21.7 , 9.6 , 15.6 ,,,,,
REGION VI (WESTERN VISAYAS)*,PH060000000,Antique c/,PH060600000," 20,672 "," 24,023 ",18.4, 12.9 ,30.4, 10.5 ,5.6, 1.4 ,9.2,27.6, 10.7 , 15.2 , 20.7 , 17.8 , 44.2 , 10.3 ,9.2, 1.8 , 5.7 , 35.8 , 14.8 , 20.8 ,,,,,
REGION VI (WESTERN VISAYAS)*,PH060000000,Capiz c/,PH061900000," 20,866 "," 22,669 ",7.0, 4.1 ,43.4, 15.1 ,3.0, 0.6 ,2.0,12.0, 3.1 , 5.1 , 14.2 , 7.9 , 49.5 , 15.2 ,7.0, 1.2 , 2.6 , 25.8 , 5.9 , 9.9 ,,,,,
REGION VI (WESTERN VISAYAS)*,PH060000000,"Guimarasa/, c/",PH067900000," 23,327 "," 25,899 ",4.8, 6.8 ,81.5, 18.8 ,3.9, 1.3 ,0.0,11.3, 4.7 , 8.9 , 1.6 , 3.0 , 63.8 , 19.7 ,1.0, 0.6 ,0.0, 3.3 , 2.0 , 3.9 ,,,,,
REGION VI (WESTERN VISAYAS)*,PH060000000,Iloilo*,PH063000000," 22,898 "," 26,113 ",16.4, 12.1 ,12.3, 9.3 ,2.0, 1.1 ,13.1,19.8, 10.2 , 13.9 , 97.2 , 69.0 , 17.7 , 9.6 ,17.2, 6.6 , 68.8 , 125.5 , 58.1 , 79.9 ,,,,,
REGION VI (WESTERN VISAYAS)*,PH060000000,Negros Occidental*,PH064500000," 21,577 "," 23,692 ",25.5, 14.5 ,9.8, 10.5 ,2.5, 1.5 ,21.3,29.6, 12.0 , 17.0 , 170.6 , 108.1 , 14.5 , 11.4 ,24.7, 12.3 , 130.0 , 211.2 , 87.9 , 128.3 ,,,,,
REGION VII (CENTRAL VISAYAS)*,PH070000000,Bohol*,PH071200000," 22,634 "," 26,108 ",25.2, 15.5 ,12.6, 10.0 ,3.2, 1.5 ,19.9,30.4, 12.9 , 18.0 , 71.1 , 47.4 , 21.7 , 9.9 ,15.4, 4.7 , 45.7 , 96.5 , 39.6 , 55.1 ,,,,,
REGION VII (CENTRAL VISAYAS)*,PH070000000,Cebu*,PH072200000," 23,061 "," 25,914 ",20.0, 11.3 ,7.8, 9.6 ,1.6, 1.1 ,17.4,22.6, 9.5 , 13.1 , 203.9 , 133.9 , 12.2 , 9.7 ,24.9, 13.0 , 163.0 , 244.9 , 112.5 , 155.4 ,,,,,
