Region,Region code,Province  ,Province code,Municipality/City  ,Municipality/City Code,Poverty Incidence_2009,Poverty Incidence_2012,Poverty Incidence_2015,Coefficient of Variation_2009,Coefficient of Variation_2012,Coefficient of Variation_2015,90% Confidence Interval_2009 Lower Limit,90% Confidence Interval_2009 Upper Limit,90% Confidence Interval_2012 Lower Limit,90% Confidence Interval_2012 Upper Limit2,90% Confidence Interval_2015 Lower Limit,90% Confidence Interval_2015 Upper Limit,Longitude,Latitude,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Abucay,PH030801000,7.0,4.0,14.5,29.5,25.8,20.5,3.6,10.4,2.3,5.6,9.6,19.4,120.4872,14.7216,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Bagac,PH030802000,19.7,9.4,11.2,16.8,13.4,18.5,14.2,25.1,7.3,11.4,7.8,14.6,120.4147,14.5893,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,City of Balanga (Capital),PH030803000,5.9,4.3,9.5,21.1,18.2,15.1,3.8,7.9,3.0,5.6,7.1,11.8,120.4863,14.6677,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Dinalupihan,PH030804000,11.7,5.7,13.8,16.2,14.1,13.1,8.6,14.9,4.4,7.1,10.9,16.8,120.4271,14.8774,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Hermosa,PH030805000,12.6,10.7,14.1,16.0,10.9,15.7,9.3,15.9,8.8,12.6,10.5,17.7,120.4269,14.8173,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Limay,PH030806000,7.4,5.8,10.8,32.5,19.4,20.7,3.4,11.3,3.9,7.6,7.1,14.4,120.5631,14.5376,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Mariveles,PH030807000,7.2,2.6,10.5,24.7,21.8,15.2,4.3,10.1,1.6,3.5,7.8,13.1,120.5067,14.4749,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Morong,PH030808000,20.8,12.7,15.0,22.9,17.8,28.1,13.0,28.7,9.0,16.4,8.1,22.0,120.3288,14.7054,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Orani,PH030809000,10.4,7.4,10.6,17.6,14.4,15.5,7.4,13.4,5.6,9.1,7.9,13.2,120.5161,14.8051,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Orion,PH030810000,9.5,9.8,14.5,19.0,12.6,17.4,6.6,12.5,7.8,11.9,10.3,18.6,120.5329,14.5902,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Pilar,PH030811000,8.9,7.7,12.6,23.0,15.7,17.0,5.5,12.2,5.7,9.6,9.0,16.1,120.4962,14.6123,
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Samal,PH030812000,12.0,4.6,13.1,18.0,16.4,16.9,8.4,15.5,3.3,5.8,9.5,16.8,120.5165,14.7725,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Angat,PH031401000,7.8,7.2,7.6,24.9,17.2,18.7,4.6,10.9,5.1,9.2,5.2,9.9,121.0147,14.9238,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Balagtas (Bigaa),PH031402000,5.5,4.2,6.9,33.9,29.4,29.1,2.4,8.5,2.2,6.2,3.6,10.3,120.9091,14.8283,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Baliuag,PH031403000,5.7,5.4,5.4,22.6,15.3,17.9,3.6,7.8,4.0,6.7,3.8,6.9,120.8825,14.9615,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bocaue,PH031404000,3.4,4.2,7.7,40.6,23.0,33.0,1.1,5.7,2.6,5.8,3.5,11.9,120.9326,14.7987,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bulacan,PH031405000,3.6,5.7,6.2,36.9,18.8,25.1,1.4,5.8,3.9,7.5,3.6,8.7,120.8710,14.7680,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bustos,PH031406000,8.1,5.9,5.8,24.3,18.6,21.0,4.9,11.4,4.1,7.7,3.8,7.8,120.9289,14.9307,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Calumpit,PH031407000,6.4,5.2,6.3,22.8,17.6,16.1,4.0,8.8,3.7,6.7,4.6,7.9,120.7640,14.9024,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Guiguinto,PH031408000,4.1,4.3,5.7,31.3,26.6,26.9,2.0,6.2,2.4,6.2,3.2,8.2,120.8795,14.8444,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Hagonoy,PH031409000,8.6,8.6,6.1,18.4,12.4,19.1,6.0,11.3,6.8,10.3,4.2,8.1,120.7344,14.8166,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of Malolos (Capital),PH031410000,5.2,4.1,4.6,15.5,13.6,16.5,3.9,6.5,3.2,5.0,3.3,5.9,120.8241,14.8328,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Marilao,PH031411000,3.4,2.8,5.1,37.1,30.0,32.3,1.3,5.4,1.4,4.2,2.4,7.8,120.9713,14.7729,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of Meycauayan,PH031412000,4.5,1.7,5.8,27.9,30.4,17.1,2.4,6.6,0.9,2.6,4.2,7.5,120.9623,14.7362,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Norzagaray,PH031413000,10.0,6.7,8.6,24.0,23.0,23.4,6.1,13.9,4.2,9.2,5.3,11.8,121.1805,14.8655,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Obando,PH031414000,6.8,4.1,5.2,30.8,27.8,22.4,3.4,10.3,2.2,5.9,3.3,7.2,120.9204,14.7199,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Pandi,PH031415000,7.6,6.9,8.8,22.0,16.4,16.6,4.8,10.3,5.0,8.7,6.4,11.1,120.9492,14.8814,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Paombong,PH031416000,7.1,10.4,8.3,25.5,14.7,23.4,4.1,10.1,7.9,12.9,5.1,11.5,120.7837,14.8098,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Plaridel,PH031417000,5.0,6.0,6.0,29.4,15.0,19.4,2.6,7.4,4.5,7.5,4.1,7.9,120.8844,14.8831,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Pulilan,PH031418000,6.9,4.8,7.4,20.8,16.7,17.9,4.6,9.3,3.5,6.1,5.2,9.6,120.8378,14.9218,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Ildefonso,PH031419000,12.3,11.9,9.2,12.0,8.7,12.3,9.9,14.8,10.2,13.7,7.3,11.0,120.9982,15.0623,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of San Jose Del Monte,PH031420000,5.8,5.1,7.0,19.0,17.5,18.2,4.0,7.6,3.7,6.6,4.9,9.1,121.0836,14.8160,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Miguel,PH031421000,11.8,12.6,10.5,13.5,8.9,13.5,9.2,14.4,10.7,14.4,8.2,12.8,121.0114,15.1795,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Rafael,PH031422000,8.3,7.3,7.0,16.3,13.6,15.0,6.1,10.5,5.7,8.9,5.3,8.7,120.9667,14.9933,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Santa Maria,PH031423000,5.0,4.1,6.2,26.2,19.0,19.1,2.8,7.1,2.8,5.4,4.3,8.2,120.9892,14.8391,
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Doña Remedios Trinidad,PH031424000,35.2,24.6,18.9,15.4,13.4,27.3,26.3,44.1,19.2,30.0,10.4,27.3,121.1954,15.0701,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Aliaga,PH034901000,25.4,19.0,16.4,14.2,9.8,13.0,19.5,31.4,15.9,22.1,12.9,19.9,120.8650,15.5055,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Bongabon,PH034902000,21.7,16.5,14.8,13.0,9.2,16.1,17.1,26.4,14.0,19.0,10.9,18.7,121.2277,15.6578,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Cabanatuan,PH034903000,10.9,10.6,12.4,9.9,8.4,8.9,9.1,12.7,9.1,12.1,10.6,14.2,120.9902,15.4925,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Cabiao,PH034904000,15.2,15.2,14.8,16.4,12.9,17.5,11.1,19.3,12.0,18.4,10.6,19.1,120.8395,15.2218,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Carranglan,PH034905000,32.3,28.8,17.5,12.4,8.0,15.1,25.7,38.9,25.0,32.6,13.1,21.8,121.0290,16.0154,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Cuyapo,PH034906000,27.2,21.3,21.4,8.9,7.4,11.4,23.3,31.2,18.7,23.9,17.3,25.4,120.7045,15.7856,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Gabaldon (Bitulok & Sabani),PH034907000,29.2,24.1,17.8,11.6,8.2,15.7,23.7,34.8,20.9,27.4,13.2,22.4,121.2858,15.4981,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Gapan,PH034908000,14.0,12.5,14.6,14.3,11.8,14.7,10.7,17.3,10.0,14.9,11.0,18.1,121.0075,15.2853,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,General Mamerto Natividad,PH034909000,26.8,18.1,16.7,11.4,8.6,14.2,21.8,31.8,15.5,20.6,12.8,20.6,121.0538,15.5905,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,General Tinio (Papaya),PH034910000,15.7,15.4,14.9,20.8,13.2,20.5,10.3,21.1,12.0,18.7,9.9,20.0,121.2115,15.3272,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Guimba,PH034911000,25.2,20.7,18.9,9.1,7.3,10.3,21.4,28.9,18.2,23.2,15.7,22.1,120.7594,15.6557,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Jaen,PH034912000,19.0,17.7,17.0,14.2,9.2,14.2,14.5,23.4,15.0,20.4,13.0,21.0,120.8755,15.3815,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Laur,PH034913000,31.2,25.4,21.0,11.1,8.4,12.3,25.5,36.9,21.9,28.9,16.7,25.3,121.1951,15.5644,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Licab,PH034914000,25.5,16.3,18.6,16.1,11.3,17.1,18.8,32.3,13.3,19.4,13.4,23.9,120.7695,15.5316,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Llanera,PH034915000,25.7,18.0,13.0,11.8,8.6,13.0,20.7,30.8,15.5,20.5,10.2,15.7,121.0156,15.6827,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Lupao,PH034916000,26.4,18.9,20.4,12.3,10.6,13.0,21.1,31.8,15.6,22.2,16.0,24.7,120.9070,15.8536,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Science City of Muñoz,PH034917000,21.4,15.1,14.1,12.0,8.7,11.2,17.1,25.6,12.9,17.3,11.5,16.7,120.8968,15.7335,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Nampicuan,PH034918000,25.8,16.3,19.1,12.9,10.8,17.0,20.3,31.3,13.4,19.2,13.8,24.4,120.6639,15.7174,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Palayan (Capital),PH034919000,16.0,16.9,14.5,13.0,9.8,14.4,12.6,19.4,14.2,19.7,11.1,17.9,121.1434,15.4332,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Pantabangan,PH034920000,21.8,19.5,24.9,14.5,9.3,12.6,16.6,27.1,16.5,22.5,19.8,30.1,121.1509,15.7737,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Peñaranda,PH034921000,11.3,15.0,13.7,27.1,15.3,24.7,6.3,16.3,11.2,18.8,8.1,19.2,120.9997,15.3710,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Quezon,PH034922000,26.7,24.1,18.0,12.2,9.1,14.3,21.4,32.1,20.5,27.7,13.7,22.2,120.8291,15.5667,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Rizal,PH034923000,19.3,18.2,15.2,12.5,9.0,11.1,15.4,23.3,15.5,20.9,12.4,18.0,121.1126,15.6858,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Antonio,PH034924000,17.2,18.1,14.8,18.9,10.8,18.5,11.9,22.6,14.8,21.3,10.3,19.3,120.8046,15.3278,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Isidro,PH034925000,11.8,12.6,10.2,22.5,14.5,20.1,7.4,16.1,9.6,15.6,6.8,13.6,120.9223,15.2687,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Jose City,PH034926000,19.1,14.2,13.2,11.7,8.8,11.8,15.5,22.8,12.1,16.2,10.6,15.7,120.9997,15.7968,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Leonardo,PH034927000,13.6,12.2,15.8,18.6,14.0,15.5,9.5,17.8,9.4,15.0,11.8,19.9,120.9476,15.3598,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Santa Rosa,PH034928000,15.0,15.6,13.3,13.0,9.7,12.7,11.8,18.2,13.1,18.1,10.5,16.0,120.9780,15.4221,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Santo Domingo,PH034929000,20.3,18.7,14.3,12.3,10.1,12.4,16.2,24.4,15.6,21.8,11.4,17.2,120.8787,15.6222,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Talavera,PH034930000,18.3,17.4,13.0,10.1,7.1,9.1,15.3,21.3,15.4,19.4,11.1,15.0,120.9447,15.6110,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Talugtug,PH034931000,36.0,28.5,23.9,8.3,6.2,12.9,31.1,40.9,25.6,31.4,18.8,28.9,120.8102,15.7632,
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Zaragoza,PH034932000,19.3,18.2,13.2,13.6,8.8,15.5,15.0,23.6,15.6,20.9,9.8,16.6,120.7924,15.4450,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,City of Angeles,PH035401000,5.0,1.3,6.7,22.4,30.8,16.3,3.2,6.9,0.7,2.0,4.9,8.5,120.5459,15.1746,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Apalit,PH035402000,9.1,4.0,7.1,22.7,26.5,23.3,5.7,12.5,2.3,5.8,4.4,9.7,120.7872,14.9584,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Arayat,PH035403000,8.7,7.3,9.5,18.3,15.7,15.8,6.1,11.3,5.4,9.2,7.0,11.9,120.7641,15.1796,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Bacolor,PH035404000,6.2,4.4,9.4,28.3,23.9,20.2,3.3,9.1,2.6,6.1,6.3,12.5,120.6292,15.0367,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Candaba,PH035405000,17.7,6.6,12.5,15.3,13.9,14.0,13.2,22.1,5.1,8.1,9.6,15.4,120.8741,15.1037,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Floridablanca,PH035406000,13.4,6.8,13.1,11.6,11.8,16.9,10.9,16.0,5.5,8.1,9.5,16.8,120.4874,14.9776,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Guagua,PH035407000,7.4,3.8,7.7,17.9,16.4,15.7,5.3,9.6,2.8,4.9,5.7,9.7,120.6261,14.9757,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Lubao,PH035408000,10.6,5.4,8.9,13.9,13.2,13.4,8.2,13.1,4.2,6.5,6.9,10.8,120.5611,14.8988,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Mabalacat City,PH035409000,7.2,1.9,8.0,29.5,36.8,19.0,3.7,10.6,0.7,3.0,5.5,10.5,120.5400,15.2227,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Macabebe,PH035410000,9.2,4.8,11.3,20.9,16.6,16.8,6.0,12.3,3.5,6.1,8.2,14.4,120.6484,14.8416,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Magalang,PH035411000,8.1,5.0,9.7,23.4,15.9,15.1,5.0,11.2,3.7,6.3,7.3,12.1,120.6751,15.2340,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Masantol,PH035412000,9.1,8.1,20.0,24.0,15.9,15.4,5.5,12.7,6.0,10.2,14.9,25.0,120.6840,14.8481,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Mexico,PH035413000,7.7,3.9,8.8,18.5,16.3,15.1,5.4,10.1,2.9,5.0,6.6,10.9,120.6972,15.1020,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Minalin,PH035414000,9.0,6.0,8.8,22.8,19.1,18.8,5.7,12.4,4.1,7.8,6.1,11.6,120.7202,14.9656,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Porac,PH035415000,11.3,7.1,11.1,18.3,14.3,16.7,7.9,14.7,5.4,8.7,8.1,14.1,120.4730,15.0986,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,City of San Fernando (Capital),PH035416000,4.8,2.5,6.5,22.9,19.7,14.1,3.0,6.6,1.7,3.3,5.0,7.9,120.6583,15.0677,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,San Luis,PH035417000,16.2,6.0,9.6,17.7,19.1,23.6,11.5,20.9,4.1,7.9,5.9,13.3,120.8125,15.0337,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,San Simon,PH035418000,9.1,4.4,12.2,25.8,26.7,23.0,5.2,13.0,2.4,6.3,7.6,16.8,120.7900,15.0017,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santa Ana,PH035419000,11.0,6.1,8.8,22.0,19.5,18.5,7.0,14.9,4.1,8.1,6.1,11.4,120.7567,15.1062,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santa Rita,PH035420000,9.4,4.9,7.0,30.3,28.1,28.3,4.7,14.1,2.6,7.2,3.8,10.3,120.5946,15.0172,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santo Tomas,PH035421000,6.0,2.6,5.3,39.3,43.5,31.2,2.1,9.8,0.7,4.5,2.6,8.1,120.7151,15.0004,
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Sasmuan (Sexmoan),PH035422000,11.5,6.7,15.9,20.3,18.7,18.3,7.6,15.3,4.7,8.8,11.1,20.7,120.6204,14.8848,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Anao,PH036901000,18.0,9.8,10.5,18.1,14.3,21.1,12.6,23.3,7.5,12.0,6.8,14.1,120.6152,15.7354,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Bamban,PH036902000,10.6,4.6,12.6,32.0,27.8,23.6,5.0,16.2,2.5,6.7,7.7,17.4,120.4669,15.2453,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Camiling,PH036903000,15.8,9.5,14.6,11.6,8.3,10.9,12.8,18.8,8.2,10.8,11.9,17.2,120.4112,15.6829,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Capas,PH036904000,13.2,14.3,13.3,19.3,11.6,17.0,9.0,17.3,11.5,17.0,9.6,17.0,120.4402,15.3341,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Concepcion,PH036905000,13.5,6.7,14.0,13.9,14.6,13.0,10.4,16.6,5.1,8.3,11.0,17.0,120.6688,15.3359,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Gerona,PH036906000,17.6,10.9,12.8,12.4,10.1,11.1,14.0,21.2,9.1,12.7,10.5,15.2,120.5646,15.5949,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,La Paz,PH036907000,17.0,6.4,16.6,14.5,17.1,14.0,13.0,21.1,4.6,8.2,12.8,20.4,120.7161,15.4460,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Mayantoc,PH036908000,28.3,12.6,18.3,14.0,9.9,12.6,21.8,34.8,10.6,14.7,14.5,22.0,120.3098,15.5589,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Moncada,PH036909000,15.9,11.3,17.7,13.4,11.7,12.1,12.4,19.4,9.1,13.4,14.1,21.2,120.5348,15.7246,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Paniqui,PH036910000,12.8,10.7,12.2,12.5,10.1,11.5,10.1,15.4,8.9,12.4,9.9,14.5,120.5430,15.6639,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Pura,PH036911000,14.7,10.8,15.9,18.1,13.9,19.4,10.3,19.0,8.3,13.3,10.8,21.0,120.6546,15.6370,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Ramos,PH036912000,16.7,13.0,15.0,19.2,15.5,21.6,11.4,22.0,9.7,16.3,9.6,20.3,120.6295,15.6739,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Clemente,PH036913000,18.2,11.8,14.2,17.3,15.0,18.8,13.0,23.3,8.9,14.7,9.8,18.6,120.2931,15.6214,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Manuel,PH036914000,17.0,10.0,16.7,18.4,13.9,16.6,11.9,22.1,7.7,12.3,12.1,21.3,120.5988,15.8148,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Santa Ignacia,PH036915000,21.8,12.7,15.0,13.1,11.4,13.4,17.1,26.5,10.3,15.1,11.7,18.3,120.4478,15.5808,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,City of Tarlac (Capital),PH036916000,8.7,8.5,10.8,9.5,9.1,10.3,7.4,10.1,7.2,9.8,8.9,12.6,120.5961,15.4815,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Victoria,PH036917000,20.2,11.3,18.9,13.3,10.8,12.4,15.8,24.6,9.3,13.3,15.0,22.8,120.6873,15.5723,
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Jose,PH036918000,32.1,24.0,18.3,12.1,8.8,18.1,25.7,38.4,20.5,27.5,12.9,23.8,120.3338,15.4365,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Botolan,PH037101000,17.4,23.7,22.7,14.0,9.1,11.3,13.4,21.4,20.2,27.3,18.4,26.9,120.1804,15.2710,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Cabangan,PH037102000,21.2,17.3,24.8,12.5,9.8,12.1,16.9,25.6,14.5,20.1,19.8,29.7,120.1149,15.1611,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Candelaria,PH037103000,18.2,15.8,20.5,16.1,10.0,12.4,13.4,23.0,13.2,18.3,16.3,24.7,120.0851,15.6311,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Castillejos,PH037104000,12.5,7.8,18.2,21.1,17.4,16.1,8.1,16.8,5.5,10.0,13.3,23.0,120.1733,14.9189,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Iba (Capital),PH037105000,12.5,13.3,16.8,22.2,13.4,19.0,7.9,17.1,10.4,16.3,11.5,22.0,120.0365,15.3677,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Masinloc,PH037106000,18.2,18.0,20.9,18.4,11.8,13.5,12.7,23.8,14.5,21.5,16.3,25.6,120.0569,15.5380,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,City of Olongapo,PH037107000,4.5,3.1,11.6,35.1,30.6,19.0,1.9,7.0,1.5,4.7,8.0,15.3,120.3067,14.8270,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Palauig,PH037108000,21.3,20.8,22.9,12.7,9.2,11.7,16.8,25.7,17.6,23.9,18.5,27.3,120.0506,15.4466,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Antonio,PH037109000,12.0,11.2,15.9,17.8,14.4,16.5,8.5,15.5,8.6,13.8,11.6,20.2,120.1060,14.8801,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Felipe,PH037110000,14.5,13.7,16.7,25.4,14.4,20.0,8.4,20.5,10.4,16.9,11.2,22.1,120.1182,15.0739,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Marcelino,PH037111000,14.8,14.1,15.2,13.5,10.3,14.2,11.5,18.1,11.7,16.5,11.7,18.8,120.2959,15.0203,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Narciso,PH037112000,10.7,11.5,13.5,19.4,14.1,17.0,7.3,14.1,8.8,14.1,9.7,17.2,120.1177,15.0104,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Santa Cruz,PH037113000,18.7,18.9,23.7,14.3,8.4,10.4,14.3,23.1,16.3,21.5,19.6,27.7,120.0373,15.7582,
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Subic,PH037114000,11.5,11.7,18.9,21.8,14.4,14.9,7.4,15.6,8.9,14.5,14.3,23.5,120.3813,14.9086,
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Baler (Capital),PH037701000,9.6,10.0,9.1,23.4,16.3,21.9,5.9,13.2,7.3,12.7,5.8,12.4,121.5696,15.7304,
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Casiguran,PH037702000,19.7,18.4,12.7,17.5,9.3,16.6,14.0,25.4,15.6,21.3,9.2,16.1,121.9861,16.2543,
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dilasag,PH037703000,19.2,13.9,12.4,20.4,15.6,22.9,12.7,25.6,10.4,17.5,7.7,17.1,122.0968,16.3997,
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dinalungan,PH037704000,25.6,13.8,9.1,19.2,15.1,22.6,17.5,33.7,10.4,17.2,5.7,12.5,121.8798,16.1863,
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dingalan,PH037705000,14.5,13.5,14.6,28.8,17.8,20.4,7.6,21.3,9.5,17.4,9.7,19.5,121.3760,15.2690,
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dipaculao,PH037706000,17.9,14.5,12.3,17.3,10.4,14.1,12.8,23.0,12.0,17.0,9.4,15.1,121.6210,15.9971,
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Maria Aurora,PH037707000,13.2,10.1,10.7,15.4,10.1,14.9,9.9,16.6,8.5,11.8,8.1,13.3,121.4033,15.7725,
Region III (Central Luzon),PH030000000,Aurora,PH037700000,San Luis,PH037708000,13.8,13.2,11.8,22.0,12.7,18.1,8.8,18.9,10.4,16.0,8.3,15.3,121.4554,15.6118,
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Agoncillo,PH041001000,15.4,16.2,11.8,12.1,10.1,10.6,12.3,18.4,13.5,18.9,9.7,13.8,120.9274,13.9678,
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Alitagtag,PH041002000,8.6,6.5,6.0,17.0,10.0,8.5,6.2,11.1,5.4,7.6,5.1,6.8,121.0138,13.8663,
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Balayan,PH041003000,14.1,8.7,6.5,9.0,10.1,10.2,12.0,16.1,7.3,10.2,5.4,7.5,120.7439,13.9616,
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Balete,PH041004000,17.2,10.6,7.7,16.2,9.7,9.5,12.6,21.8,8.9,12.3,6.5,8.9,121.1127,14.0123,
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Batangas City (Capital),PH041005000,7.1,3.6,4.6,9.7,19.9,8.0,6.0,8.3,2.4,4.8,4.0,5.2,121.1044,13.7206,
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Bauan,PH041006000,2.7,4.3,3.3,24.4,22.9,12.6,1.6,3.8,2.7,5.9,2.6,3.9,120.9702,13.8013,
