Region,Region code,Province,Province code,Notes,"2015*_Annual Per Capita Poverty Threshold 
(in Pesos)","2018_Annual Per Capita Poverty Threshold 
(in Pesos)",2015* Estimate_Poverty Incidence among Families (%),2018 Estimate_Poverty Incidence among Families (%),2015*_CV,2018_CV,2015*_Standard Error ,2018_Standard Error ,2015*_90% CI_Lower limit,2015*_90% CI_Upper limit,2018_90% CI_Lower limit,2018_90% CI_Upper limit,"2015*_Estimate_Magnitude of Poor Families
(in thousands)","2018_Estimate_Magnitude of Poor Families
(in thousands)",2015*_Standard Error,2018_Standard Error,2015*_90% CI_Lower limit ,2015*_90% CI_Upper limit ,2018_90% CI_Lower limit ,2018_90% CI_Upper limit 
REGION III (CENTRAL LUZON),PH030000000,NUEVA ECIJA,PH034900000,,"22,885","25,377",16.5,6.5,12.9,13.2,2.1,0.9,13.0,20.0,5.1,7.9,96.1,34.8,19.7,4.7,63.7,128.5,27.0,42.6
REGION III (CENTRAL LUZON),PH030000000,PAMPANGA,PH035400000,"b/,c/","21,409","26,484",2.6,1.9,23.0,30.9,0.6,0.6,1.6,3.6,1.0,2.9,13.6,12.7,3.7,4.0,7.5,19.7,6.1,19.4
REGION III (CENTRAL LUZON),PH030000000,TARLAC,PH036900000,,"22,300","25,190",13.2,7.6,13.8,11.0,1.8,0.8,10.2,16.2,6.2,8.9,40.8,24.8,9.5,2.9,25.2,56.4,20.0,29.5
REGION III (CENTRAL LUZON),PH030000000,ZAMBALES,PH037100000,,"26,983","29,747",12.3,10.6,18.9,10.6,2.3,1.1,8.5,16.1,8.8,12.5,18.7,22.6,6.0,2.5,8.9,28.5,18.5,26.7
REGION IV-A (CALABARZON),PH040000000,BATANGAS,PH041000000,,"29,923","32,903",16.9,8.4,13.8,13.0,2.3,1.1,13.1,20.8,6.6,10.2,104.1,57.2,20.7,8.1,70.1,138.1,43.9,70.6
REGION IV-A (CALABARZON),PH040000000,CAVITE,PH042100000,,"27,387","29,175",6.1,3.7,17.3,18.3,1.1,0.7,4.4,7.9,2.6,4.8,51.3,36.8,11.5,7.1,32.3,70.3,25.1,48.5
REGION IV-A (CALABARZON),PH040000000,LAGUNA,PH043400000,"b/, c/","21,245","23,688",3.6,2.7,25.9,20.1,0.9,0.5,2.1,5.2,1.8,3.6,30.2,23.2,8.6,4.7,16.1,44.3,15.5,31.0
REGION IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,,"20,947","22,790",18.4,9.3,14.0,14.7,2.6,1.4,14.2,22.7,7.1,11.6,98.9,48.2,19.9,7.3,66.2,131.7,36.3,60.1
REGION IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,,"25,126","28,647",4.1,3.3,19.2,17.1,0.8,0.6,2.8,5.4,2.4,4.3,23.5,23.7,5.1,4.2,15.1,31.8,16.8,30.5
MIMAROPA REGION,PH170000000,MARINDUQUE,PH174000000,c/,"19,951","24,054",12.5,10.0,29.2,10.6,3.6,1.1,6.5,18.4,8.2,11.7,9.5,5.6,3.9,0.6,3.1,16.0,4.6,6.6
MIMAROPA REGION,PH170000000,OCCIDENTAL MINDORO,PH175100000,c/,"20,064","21,255",30.5,16.1,21.9,13.1,6.7,2.1,19.5,41.5,12.6,19.5,31.2,19.3,10.8,2.7,13.4,49.1,14.9,23.8
MIMAROPA REGION,PH170000000,ORIENTAL MINDORO,PH175200000,c/,"20,237","24,147",14.7,7.2,21.0,18.3,3.1,1.3,9.6,19.8,5.0,9.3,28.0,14.4,7.1,2.7,16.3,39.7,10.0,18.8
MIMAROPA REGION,PH170000000,PALAWAN,PH175300000,c/,"19,709","23,448",12.6,8.4,21.9,12.7,2.8,1.1,8.1,17.2,6.7,10.2,29.3,24.2,7.7,3.2,16.6,42.0,19.1,29.4
MIMAROPA REGION,PH170000000,ROMBLON,PH175900000,,"21,843","24,069",28.7,19.6,17.0,8.8,4.9,1.7,20.7,36.7,16.7,22.4,23.5,14.1,8.0,1.4,10.3,36.6,11.9,16.3
REGION V (BICOL REGION),PH050000000,ALBAY,PH050500000,,"22,261","24,783",18.3,14.8,12.9,9.9,2.4,1.5,14.4,22.2,12.4,17.2,50.9,42.9,10.6,4.4,33.4,68.4,35.7,50.2
REGION V (BICOL REGION),PH050000000,CAMARINES NORTE,PH051600000,,"23,863","24,994",34.4,22.4,15.0,7.1,5.2,1.6,25.9,43.0,19.8,25.0,44.9,30.9,13.7,2.5,22.4,67.4,26.8,35.0
REGION V (BICOL REGION),PH050000000,CAMARINES SUR,PH051700000,,"22,789","24,209",28.5,20.6,9.6,8.6,2.7,1.8,24.0,33.0,17.7,23.5,106.5,86.9,18.3,7.8,76.4,136.5,74.1,99.7
REGION V (BICOL REGION),PH050000000,CATANDUANES,PH052000000,,"21,668","24,380",33.6,14.4,12.3,8.7,4.1,1.2,26.8,40.4,12.3,16.4,19.3,8.2,7.3,0.8,7.4,31.2,7.0,9.4
REGION V (BICOL REGION),PH050000000,MASBATE,PH054100000,,"20,406","22,907",35.5,25.8,11.0,7.5,3.9,1.9,29.1,42.0,22.6,29.0,67.2,51.1,16.1,4.2,40.8,93.6,44.2,58.0
REGION V (BICOL REGION),PH050000000,SORSOGON,PH056200000,,"23,065","26,025",45.5,19.5,10.8,8.1,4.9,1.6,37.4,53.6,16.9,22.1,85.8,34.2,20.5,3.0,52.0,119.6,29.3,39.2
REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,c/,"22,184","23,730",12.0,8.8,29.8,14.0,3.6,1.2,6.1,17.8,6.7,10.8,12.8,12.6,5.4,1.8,4.0,21.7,9.6,15.6
REGION VI (WESTERN VISAYAS),PH060000000,ANTIQUE,PH060600000,c/,"20,626","23,953",18.4,13.2,30.4,10.4,5.6,1.4,9.2,27.6,10.9,15.5,20.7,18.2,9.2,1.9,5.7,35.8,15.1,21.2
REGION VI (WESTERN VISAYAS),PH060000000,CAPIZ,PH061900000,c/,"20,866","22,651",7.0,4.1,43.4,15.5,3.0,0.6,2.0,12.0,3.1,5.1,14.2,7.9,7.0,1.2,2.6,25.8,5.9,9.9
