evaluation,family,observed_counts,per_case_deviance,period,predicted_probabilities,score_status,target_row_hash,train_row_hashes,training_periods
event_time_retrospective,recent_coverage_pooled_known_mix,"[1104, 2333, 1196]",0.009448169337478095,2026-Q1,"[0.2557931599233226, 0.526764707740928, 0.21744213233574938]",finite,9022f02284e715d782045b2b03716e515bba92c798d42eeb519cebd5ca8c9cde,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070', 'aaf83198c9242f9e7630cf915fe9690445706a6ae12bcf7d2e050b3527d90111']","['2025-Q1', '2025-Q2', '2025-Q3', '2025-Q4']"
event_time_retrospective,last_status_mix,"[828, 434, 1732]",0.6548980527244127,2026-Q2,"[0.23829052449816535, 0.5035614072954889, 0.2581480682063458]",finite,e5a3eda98a531586ffe85cb38ac8edb98fb74482b2338d8d29e7f06a1057d1e9,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070', 'aaf83198c9242f9e7630cf915fe9690445706a6ae12bcf7d2e050b3527d90111', '9022f02284e715d782045b2b03716e515bba92c798d42eeb519cebd5ca8c9cde']","['2025-Q1', '2025-Q2', '2025-Q3', '2025-Q4', '2026-Q1']"
event_time_retrospective,pooled_status_mix,"[828, 434, 1732]",0.41210682809055144,2026-Q2,"[0.21226549464859806, 0.439547470801286, 0.34818703455011596]",finite,e5a3eda98a531586ffe85cb38ac8edb98fb74482b2338d8d29e7f06a1057d1e9,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070', 'aaf83198c9242f9e7630cf915fe9690445706a6ae12bcf7d2e050b3527d90111', '9022f02284e715d782045b2b03716e515bba92c798d42eeb519cebd5ca8c9cde']","['2025-Q1', '2025-Q2', '2025-Q3', '2025-Q4', '2026-Q1']"
event_time_retrospective,recent_coverage_pooled_known_mix,"[828, 434, 1732]",0.6492029363573314,2026-Q2,"[0.24158704353097962, 0.5002648882626746, 0.2581480682063457]",finite,e5a3eda98a531586ffe85cb38ac8edb98fb74482b2338d8d29e7f06a1057d1e9,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070', 'aaf83198c9242f9e7630cf915fe9690445706a6ae12bcf7d2e050b3527d90111', '9022f02284e715d782045b2b03716e515bba92c798d42eeb519cebd5ca8c9cde']","['2025-Q1', '2025-Q2', '2025-Q3', '2025-Q4', '2026-Q1']"
mirror_availability,last_status_mix,"[1104, 2333, 1196]",0.040480901733333664,2026-Q1,"[0.16030807809421457, 0.5584811033494537, 0.28121081855633173]",finite,9022f02284e715d782045b2b03716e515bba92c798d42eeb519cebd5ca8c9cde,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070']","['2025-Q1', '2025-Q2', '2025-Q3']"
mirror_availability,pooled_status_mix,"[1104, 2333, 1196]",0.10184957321832512,2026-Q1,"[0.19427951222626572, 0.39519887633275874, 0.41052161144097554]",finite,9022f02284e715d782045b2b03716e515bba92c798d42eeb519cebd5ca8c9cde,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070']","['2025-Q1', '2025-Q2', '2025-Q3']"
mirror_availability,recent_coverage_pooled_known_mix,"[1104, 2333, 1196]",0.0029137084262697748,2026-Q1,"[0.23689759332103139, 0.481891588122637, 0.2812108185563317]",finite,9022f02284e715d782045b2b03716e515bba92c798d42eeb519cebd5ca8c9cde,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070']","['2025-Q1', '2025-Q2', '2025-Q3']"
mirror_availability,last_status_mix,"[828, 434, 1732]",0.8107703890702055,2026-Q2,"[0.24994154781388825, 0.5326163198503624, 0.21744213233574936]",finite,e5a3eda98a531586ffe85cb38ac8edb98fb74482b2338d8d29e7f06a1057d1e9,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070', 'aaf83198c9242f9e7630cf915fe9690445706a6ae12bcf7d2e050b3527d90111']","['2025-Q1', '2025-Q2', '2025-Q3', '2025-Q4']"
mirror_availability,pooled_status_mix,"[828, 434, 1732]",0.37056485057958416,2026-Q2,"[0.2062186559679037, 0.4246740220661986, 0.3691073219658977]",finite,e5a3eda98a531586ffe85cb38ac8edb98fb74482b2338d8d29e7f06a1057d1e9,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070', 'aaf83198c9242f9e7630cf915fe9690445706a6ae12bcf7d2e050b3527d90111']","['2025-Q1', '2025-Q2', '2025-Q3', '2025-Q4']"
mirror_availability,recent_coverage_pooled_known_mix,"[828, 434, 1732]",0.8011731374829538,2026-Q2,"[0.2557931599233226, 0.526764707740928, 0.21744213233574938]",finite,e5a3eda98a531586ffe85cb38ac8edb98fb74482b2338d8d29e7f06a1057d1e9,"['131541821d4c57841f880e35f8add923357845e8b75e0241285f58cf8d7bd495', '8c01ef808c0f22edc2f7bba92f81a2770a2aee16553424375dd507e62df11d16', '3b32ab67efca1f5d63b7b4336a6d7333f1c135c3e5c238a0d1ac6defe9641070', 'aaf83198c9242f9e7630cf915fe9690445706a6ae12bcf7d2e050b3527d90111']","['2025-Q1', '2025-Q2', '2025-Q3', '2025-Q4']"
