horizon_years,train_end_year,record_count,fusion_mean_mae,matched_r10_mean_mae,carry_forward_mean_mae,fusion_minus_r10,fusion_minus_carry_forward,reproduction_abs_delta,policy_id,selected_metric_count
1,2014,12,0.18680338262390253,0.18680338262390253,0.13790313512579122,0.0,0.04890024749811131,1.3877787807814457e-17,identity_r10,0
1,2015,10,0.22593824798207032,0.13294201591898527,0.1380318574060719,0.09299623206308505,0.08790639057599842,1.3877787807814457e-17,metric_safe_fusion,3
1,2016,11,0.20284525655207455,0.17084266560531078,0.1202658505247102,0.032002590946763776,0.08257940602736435,1.3877787807814457e-17,metric_safe_fusion,3
1,2017,10,0.04880950073772121,0.04405775028727997,0.11002309422455474,0.004751750450441239,-0.06121359348683353,1.3877787807814457e-17,metric_safe_fusion,2
1,2018,10,0.0680978543907362,0.07449775800669302,0.10368043956073814,-0.006399903615956812,-0.03558258517000193,1.3877787807814457e-17,metric_safe_fusion,2
1,2019,9,0.1529759381251943,0.1550868450499512,0.12744001003620264,-0.0021109069247569057,0.02553592808899166,1.3877787807814457e-17,metric_safe_fusion,2
1,2020,7,0.051328095206345334,0.05374120765401873,0.13034592271798787,-0.0024131124476733934,-0.07901782751164253,1.3877787807814457e-17,metric_safe_fusion,2
1,2021,12,0.07835247506445296,0.06249159253776084,0.37384589064063634,0.01586088252669212,-0.29549341557618336,1.3877787807814457e-17,metric_safe_fusion,2
1,2022,11,0.06019277569406569,0.05083004242685976,0.1278520400313292,0.009362733267205929,-0.06765926433726349,1.3877787807814457e-17,metric_safe_fusion,2
1,2023,12,0.05681203718381884,0.06145781561519412,0.1032740890946091,-0.004645778431375279,-0.04646205191079026,1.3877787807814457e-17,metric_safe_fusion,2
1,2024,12,0.07153588931540454,0.0555869703078388,0.08240357954674152,0.01594891900756574,-0.010867690231336977,1.3877787807814457e-17,metric_safe_fusion,2
3,2014,33,0.225862426056342,0.225862426056342,0.17733874273778305,0.0,0.04852368331855894,1.3877787807814457e-17,identity_r10,0
3,2015,31,0.14078198415453838,0.1335722308910386,0.19214551653269632,0.007209753263499791,-0.05136353237815794,1.3877787807814457e-17,metric_safe_fusion,3
3,2016,31,0.3708593246885932,0.24985317795262668,0.15749529675304536,0.12100614673596649,0.21336402793554782,1.3877787807814457e-17,metric_safe_fusion,3
3,2017,29,0.10048316969132894,0.08671820398500586,0.18654295925595668,0.013764965706323073,-0.08605978956462774,1.3877787807814457e-17,metric_safe_fusion,2
3,2018,26,0.09956032009965744,0.09254283341856674,0.09667597593202346,0.007017486681090701,0.002884344167633987,1.3877787807814457e-17,metric_safe_fusion,2
3,2019,28,0.10973407730647684,0.0893293971155841,0.15818569952335096,0.02040468019089274,-0.048451622216874116,1.3877787807814457e-17,metric_safe_fusion,2
3,2020,30,0.12258316565381723,0.1154093017824708,0.26828552055878485,0.007173863871346428,-0.14570235490496763,1.3877787807814457e-17,metric_safe_fusion,3
3,2021,35,0.10704709486205605,0.07802367641184582,0.40229582884121,0.029023418450210225,-0.29524873397915397,1.3877787807814457e-17,metric_safe_fusion,2
3,2022,35,0.08309590583591964,0.0753170772978543,0.21956672214229878,0.00777882853806533,-0.13647081630637914,1.3877787807814457e-17,metric_safe_fusion,3
3,2023,24,0.0892634491881497,0.06994110921360898,0.14551084081409502,0.01932233997454072,-0.05624739162594532,1.3877787807814457e-17,metric_safe_fusion,3
3,2024,12,0.09610611233750722,0.0555869703078388,0.08240357954674152,0.04051914202966842,0.013702532790765706,1.3877787807814457e-17,metric_safe_fusion,3
5,2014,53,0.24845495202495746,0.24845495202495746,0.24329001686248544,0.0,0.0051649351624720174,0.0,identity_r10,0
5,2015,50,0.15768983137698528,0.15019019992897062,0.23900995151149496,0.00749963144801466,-0.08132012013450968,0.0,metric_safe_fusion,3
5,2016,47,0.41551552128735736,0.2895577296124718,0.1695961181670185,0.12595779167488558,0.24591940312033886,0.0,metric_safe_fusion,3
5,2017,48,0.20515651886823952,0.09531024449581327,0.24617823175875383,0.10984627437242625,-0.04102171289051432,0.0,metric_safe_fusion,3
5,2018,49,0.1392680312045385,0.10018568884097942,0.20089404823373996,0.03908234236355909,-0.06162601702920145,0.0,metric_safe_fusion,3
5,2019,51,0.14413201794581534,0.0955137773003687,0.22309634100060777,0.04861824064544665,-0.07896432305479242,0.0,metric_safe_fusion,3
5,2020,54,0.16549300436568504,0.14819176652529045,0.3275176185415687,0.017301237840394584,-0.16202461417588365,0.0,metric_safe_fusion,3
5,2021,47,0.0909864424474949,0.09538244970415889,0.42765702149658186,-0.004396007256663989,-0.3366705790490869,0.0,metric_safe_fusion,3
5,2022,35,0.1133453463702082,0.0753170772978543,0.21956672214229878,0.03802826907235389,-0.10622137577209058,0.0,metric_safe_fusion,2
5,2023,24,0.12672549092471241,0.06994110921360898,0.14551084081409502,0.056784381711103435,-0.018785349889382602,0.0,metric_safe_fusion,2
5,2024,12,0.13465106903998306,0.0555869703078388,0.08240357954674152,0.07906409873214426,0.05224748949324154,0.0,metric_safe_fusion,2
