carry_forward_mean_norm_error,carry_forward_worst_norm_error,entry_count,horizon_years,r10_better_share,r10_mean_norm_error,r10_minus_carry_forward_mean_norm_error,r10_worst_norm_error,source_lineage
0.154396837278604,0.7564935064935064,35,1,0.45714285714285713,0.16044414655460687,0.00604730927600286,0.5120332584431206,official_doh_archive|program_observed_harp|monthly_snapshot
0.02049209297695279,0.02049209297695279,1,1,1.0,0.012040421108872835,-0.008451671868079954,0.012040421108872835,official_doh_archive|program_observed_harp|multi_month_snapshot
0.110374944200784,0.3657387013457059,27,1,0.7037037037037037,0.062127012576181216,-0.04824793162460279,0.2849488614459961,official_doh_archive|program_observed_harp|quarterly_snapshot
0.07077141368721962,0.19391969597103345,16,1,0.625,0.040782909325594,-0.029988504361625618,0.1273564626557045,official_user_provided_slide|program_observed_harp|annual_snapshot
0.1929271643278482,0.8742424242424243,37,1,0.8108108108108109,0.08551029143894584,-0.10741687288890236,0.47577026943693196,unknown_source_tier|unknown_measurement_class|unknown_series_kind
0.1853180913851719,0.7839831929218508,72,3,0.4583333333333333,0.17238471609529019,-0.012933375289881727,0.5809523809523808,official_doh_archive|program_observed_harp|monthly_snapshot
0.1288255353201102,0.25946931296860754,3,3,0.3333333333333333,0.19384218344996207,0.06501664812985186,0.40136922445311035,official_doh_archive|program_observed_harp|multi_month_snapshot
0.2740103788387401,1.0,81,3,0.8395061728395061,0.09666782956459669,-0.1773425492741434,0.6476456231636116,official_doh_archive|program_observed_harp|quarterly_snapshot
0.12244333001744277,0.49594999473378665,48,3,0.6041666666666666,0.06385412984272944,-0.058589200174713335,0.31641465053763435,official_user_provided_slide|program_observed_harp|annual_snapshot
0.19579020749392392,0.7590678443901522,110,3,0.7454545454545455,0.12771208726761227,-0.06807812022631166,0.6144583634171762,unknown_source_tier|unknown_measurement_class|unknown_series_kind
0.18518648385288597,0.7839831929218511,79,5,0.4936708860759494,0.14196325944269247,-0.043223224410193495,0.8828513918674469,official_doh_archive|program_observed_harp|monthly_snapshot
0.09228673989057813,0.17951273625051267,3,5,0.3333333333333333,0.13837116338743324,0.04608442349685511,0.277685584102353,official_doh_archive|program_observed_harp|multi_month_snapshot
0.3513936564491534,0.9999999999999999,135,5,0.8074074074074075,0.12499363243230222,-0.22640002401685116,0.6476456231636114,official_doh_archive|program_observed_harp|quarterly_snapshot
0.16539986054726746,0.6303801769033185,78,5,0.5512820512820513,0.11416603773114936,-0.0512338228161181,0.6071860465116277,official_user_provided_slide|program_observed_harp|annual_snapshot
0.23177147163046954,0.7957427540638863,175,5,0.68,0.1639987718175118,-0.06777269981295775,1.1539930947165116,unknown_source_tier|unknown_measurement_class|unknown_series_kind
