carry_forward_mean_mae,carry_forward_worst_mae,horizon_years,mapped_entry_count,mapped_share,matched_r10_better_share,matched_r10_mean_mae,matched_r10_worst_mae,scope,scored_entry_count,total_replay_entry_count
0.12071958873600984,0.7564935064935064,1,79,0.6810344827586207,0.5822784810126582,0.10072837264919633,0.5120332584431206,all_mapped,79,116
0.1334048395420518,0.7564935064935064,1,79,0.6810344827586207,0.5714285714285714,0.1159526173028096,0.5120332584431206,program_mapped,63,116
0.20490931231601917,1.0,3,204,0.6496815286624203,0.6421568627450981,0.11709960066859865,0.6476456231636116,all_mapped,204,314
0.23028346071558117,1.0,3,204,0.6496815286624203,0.6538461538461539,0.1334828224611738,0.6476456231636116,program_mapped,156,314
0.2550709328385502,0.9999999999999999,5,295,0.6276595744680851,0.6508474576271186,0.12681119426279813,0.8828513918674469,all_mapped,295,470
0.2873029311736656,0.9999999999999999,5,295,0.6276595744680851,0.6866359447004609,0.13135645790090233,0.8828513918674469,program_mapped,217,470
