Region Code: AS
"Region Name: Asia"
Country Code: PHL
"Country Name: Philippines"
Export date: 4/17/2026 7:42:03 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0570,Iron-deficiency anaemia,2000,All,Age_all,[All],1581.00000000,0.43087120,4.12211951,2.02713736,
CG0580,Other nutritional disorders,2000,All,Age_all,[All],479.00000000,0.13054225,1.67725372,0.61416748,
CG0590,Noncommunicable diseases,2000,All,Age_all,[All],217954.00000000,59.39917859,599.93278164,279.45774524,
CG0600,Malignant neoplasms,2000,All,Age_all,[All],36414.00000000,9.92393665,90.40303094,46.68955071,
CG0610,Mouth and oropharynx cancers,2000,All,Age_all,[All],1927.00000000,0.52516686,5.09370495,2.47077399,
CG0611,a. Lip and oral cavity cancers,2000,All,Age_all,[All],681.00000000,0.18559348,1.86891684,0.87316922,
CG0612,b. Nasopharynx cancers,2000,All,Age_all,[All],461.00000000,0.12563670,1.05879350,0.59108812,
CG0613,c. Other pharynx cancer,2000,All,Age_all,[All],785.00000000,0.21393668,2.16599461,1.00651665,
CG0620,Oesophagus cancer,2000,All,Age_all,[All],357.00000000,0.09729350,0.99514626,0.45774069,
CG0630,Stomach cancer,2000,All,Age_all,[All],1507.00000000,0.41070392,4.09229423,1.93225553,
CG0640,Colon and rectum cancers,2000,All,Age_all,[All],2257.00000000,0.61510202,6.11253593,2.89389564,
CG0650,Liver cancer,2000,All,Age_all,[All],4953.00000000,1.34984507,12.10088782,6.35067130,
CG0660,Pancreas cancer,2000,All,Age_all,[All],804.00000000,0.21911477,2.17405067,1.03087820,
CG0670,"Trachea, bronchus, lung cancers",2000,All,Age_all,[All],6395.00000000,1.74283448,16.97413807,8.19958469,
CG0680,Melanoma and other skin cancers,2000,All,Age_all,[All],239.00000000,0.06513486,0.66655434,0.30644265,
CG0681,a. Malignant skin melanoma,2000,All,Age_all,[All],76.00000000,0.02071234,0.20158959,0.09744620,
CG0682,b. Non-melanoma skin cancer,2000,All,Age_all,[All],163.00000000,0.04442252,0.46496476,0.20899645,
CG0690,Breast cancer,2000,All,Age_all,[All],3346.00000000,0.91188807,7.76516539,4.29019709,
CG0700,Cervix uteri cancer,2000,All,Age_all,[All],882.00000000,0.24037217,2.02408236,1.13088877,
CG0710,Corpus uteri cancer,2000,All,Age_all,[All],1135.00000000,0.30932246,2.68620845,1.45528204,
CG0720,Ovary cancer,2000,All,Age_all,[All],770.00000000,0.20984872,1.81504003,0.98728385,
CG0730,Prostate cancer,2000,All,Age_all,[All],1117.00000000,0.30441691,3.83276638,1.43220267,
CG0731,Testicular cancer,2000,All,Age_all,[All],58.00000000,0.01580679,0.09398914,0.07436684,
CG0732,Kidney cancer,2000,All,Age_all,[All],369.00000000,0.10056387,0.90583871,0.47312694,
CG0740,Bladder cancer,2000,All,Age_all,[All],267.00000000,0.07276572,0.78202575,0.34234388,
CG0741,Brain and nervous system cancers,2000,All,Age_all,[All],1402.00000000,0.38208819,2.79880025,1.79762592,
CG0742,Gallbladder and biliary tract cancer,2000,All,Age_all,[All],128.00000000,0.03488394,0.35648727,0.16411991,
CG0743,Larynx cancer,2000,All,Age_all,[All],420.00000000,0.11446294,1.17789416,0.53851846,
CG0744,Thyroid cancer,2000,All,Age_all,[All],453.00000000,0.12345645,1.25741791,0.58083063,
CG0745,Mesothelioma,2000,All,Age_all,[All],9.00000000,0.00245278,0.01999001,0.01153968,
CG0750,"Lymphomas, multiple myeloma",2000,All,Age_all,[All],1011.00000000,0.27552864,2.28526145,1.29629087,
CG0751,a. Hodgkin lymphoma,2000,All,Age_all,[All],62.00000000,0.01689691,0.12386103,0.07949558,
CG0752,b. Non-Hodgkin lymphoma,2000,All,Age_all,[All],844.00000000,0.23001600,1.89626956,1.08216567,
CG0753,c. Multiple myeloma,2000,All,Age_all,[All],105.00000000,0.02861573,0.26513086,0.13462962,
CG0760,Leukaemia,2000,All,Age_all,[All],2219.00000000,0.60474585,3.72941969,2.84517254,
CG0780,Other neoplasms,2000,All,Age_all,[All],356.00000000,0.09702097,0.79517297,0.45645851,
CG0790,Diabetes mellitus,2000,All,Age_all,[All],10747.00000000,2.92888854,30.76976986,13.77966171,
CG0800,Endocrine disorders,2000,All,Age_all,[All],3259.00000000,0.88817789,7.45899629,4.17864683,
CG0810,Neuropsychiatric conditions,2000,All,Age_all,[All],3869.00000000,1.05442168,7.42128847,4.96078079,
CG0820,Unipolar depressive disorders,2000,All,Age_all,[All],20.00000000,0.00545062,0.04086043,0.02564374,
CG0830,Bipolar disorder,2000,All,Age_all,[All],2.00000000,0.00054506,0.00371024,0.00256437,
CG0840,Schizophrenia,2000,All,Age_all,[All],148.00000000,0.04033456,0.28638788,0.18976365,
CG0850,Epilepsy,2000,All,Age_all,[All],1005.00000000,0.27389346,1.39197555,1.28859775,
CG0860,Alcohol use disorders,2000,All,Age_all,[All],522.00000000,0.14226108,1.01998967,0.66930152,
CG0870,Alzheimer and other dementias,2000,All,Age_all,[All],340.00000000,0.09266047,1.09516454,0.43594352,
CG0880,Parkinson disease,2000,All,Age_all,[All],201.00000000,0.05477869,0.66812782,0.25771955,
CG0890,Multiple sclerosis,2000,All,Age_all,[All],23.00000000,0.00626821,0.04195684,0.02949030,
CG0900,Drug use disorders,2000,All,Age_all,[All],48.00000000,0.01308148,0.08524906,0.06154497,
CG0910,Post-traumatic stress disorder,2000,All,Age_all,[All],2.00000000,0.00054506,0.00239889,0.00256437,
CG0920,Obsessive-compulsive disorder,2000,All,Age_all,[All],1.00000000,0.00027253,0.00081581,0.00128219,
CG0930,Panic disorder,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0940,Insomnia (primary),2000,All,Age_all,[All],2.00000000,0.00054506,0.00869536,0.00256437,
CG0950,Migraine,2000,All,Age_all,[All],5.00000000,0.00136265,0.00857224,0.00641093,
CG0960,Mental Retardation,2000,All,Age_all,[All],8.00000000,0.00218025,0.01069284,0.01025749,
CG0970,Other neuropsychiatric disorders,2000,All,Age_all,[All],1542.00000000,0.42024250,2.75669131,1.97713207,
CG0980,Sense organ diseases,2000,All,Age_all,[All],72.00000000,0.01962222,0.12226629,0.09231745,
CG0990,Glaucoma,2000,All,Age_all,[All],6.00000000,0.00163518,0.01759211,0.00769312,
CG1000,Cataracts,2000,All,Age_all,[All],1.00000000,0.00027253,0.00400076,0.00128219,
CG1010,"Vision disorders, age-related",2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2000,All,Age_all,[All],65.00000000,0.01771450,0.10067342,0.08334214,
CG1040,Cardiovascular diseases,2000,All,Age_all,[All],108688.00000000,29.62082789,326.49218223,139.35832063,
CG1050,Rheumatic heart disease,2000,All,Age_all,[All],2432.00000000,0.66279491,3.60390771,3.11827834,
CG1060,Hypertensive heart disease,2000,All,Age_all,[All],7810.00000000,2.12846557,23.82493082,10.01387903,
CG1070,Ischaemic heart disease,2000,All,Age_all,[All],34581.00000000,9.42438769,104.61643721,44.33930228,
CG1080,Cerebrovascular disease,2000,All,Age_all,[All],21705.00000000,5.91528107,65.19209853,27.82986484,
CG1090,Inflammatory heart diseases,2000,All,Age_all,[All],955.00000000,0.26026692,2.34163075,1.22448841,
CG1110,Respiratory diseases,2000,All,Age_all,[All],18233.00000000,4.96905413,52.50865925,23.37811221,
CG1120,Chronic obstructive pulmonary disease,2000,All,Age_all,[All],8515.00000000,2.32059979,27.11764745,10.91782074,
CG1130,Asthma,2000,All,Age_all,[All],7186.00000000,1.95840635,18.84701464,9.21379446,
CG1140,Other respiratory diseases,2000,All,Age_all,[All],2532.00000000,0.69004799,6.54399717,3.24649702,
CG1150,Digestive diseases,2000,All,Age_all,[All],17201.00000000,4.68780234,41.99047658,22.05489542,
CG1160,Peptic ulcer disease,2000,All,Age_all,[All],5624.00000000,1.53271323,16.02243122,7.21101865,
CG1170,Cirrhosis of the liver,2000,All,Age_all,[All],4688.00000000,1.27762440,10.99394974,6.01089179,
CG1180,Appendicitis,2000,All,Age_all,[All],288.00000000,0.07848887,0.51506103,0.36926980,
CG1181,Gastritis and duodenitis,2000,All,Age_all,[All],216.00000000,0.05886665,0.61294473,0.27695235,
CG1182,Paralytic ileus and intestinal obstruction,2000,All,Age_all,[All],684.00000000,0.18641107,1.55498029,0.87701578,
CG1183,Inflammatory bowel disease,2000,All,Age_all,[All],264.00000000,0.07194813,0.76988266,0.33849732,
CG1184,Gallbladder and biliary diseases,2000,All,Age_all,[All],490.00000000,0.13354009,1.27706970,0.62827154,
CG1185,Pancreatitis,2000,All,Age_all,[All],2154.00000000,0.58703135,3.50162183,2.76183040,
CG1190,Other digestive diseases,2000,All,Age_all,[All],2793.00000000,0.76117853,6.74253539,3.58114778,
CG1200,Genitourinary diseases,2000,All,Age_all,[All],10774.00000000,2.93624687,27.76808039,13.81428075,
CG1210,Nephritis and nephrosis,2000,All,Age_all,[All],8772.00000000,2.39064020,21.86800546,11.24734275,
CG1220,Benign prostatic hypertrophy,2000,All,Age_all,[All],298.00000000,0.08121418,1.13933885,0.38209167,
CG1230,Other genitourinary system diseases,2000,All,Age_all,[All],1704.00000000,0.46439249,4.76073608,2.18484633,
CG1240,Skin diseases,2000,All,Age_all,[All],1281.00000000,0.34911196,3.92302590,1.64248131,
CG1250,Musculoskeletal diseases,2000,All,Age_all,[All],1703.00000000,0.46411996,5.42926163,2.18356415,
CG1260,Rheumatoid arthritis,2000,All,Age_all,[All],354.00000000,0.09647590,1.31913037,0.45389413,
CG1270,Osteoarthritis,2000,All,Age_all,[All],262.00000000,0.07140307,1.02208825,0.33593295,
CG1280,Gout,2000,All,Age_all,[All],169.00000000,0.04605771,0.51034353,0.21668957,
CG1290,Back pain,2000,All,Age_all,[All],19.00000000,0.00517809,0.06010587,0.02436155,
CG1300,Other musculoskeletal disorders,2000,All,Age_all,[All],899.00000000,0.24500519,2.51759362,1.15268595,
