Region Code: AS
"Region Name: Asia"
Country Code: PHL
"Country Name: Philippines"
Export date: 4/17/2026 7:42:03 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG1183,Inflammatory bowel disease,2000,Female,Age_all,[All],118.00000000,0.07891551,0.66576304,0.30482352,
CG1184,Gallbladder and biliary diseases,2000,Female,Age_all,[All],245.00000000,0.16385001,1.20468677,0.63289630,
CG1185,Pancreatitis,2000,Female,Age_all,[All],230.00000000,0.15381837,0.89363042,0.59414755,
CG1190,Other digestive diseases,2000,Female,Age_all,[All],954.00000000,0.63801186,4.42837920,2.46442070,
CG1200,Genitourinary diseases,2000,Female,Age_all,[All],4414.00000000,2.95197523,20.21993698,11.40246643,
CG1210,Nephritis and nephrosis,2000,Female,Age_all,[All],3640.00000000,2.43434296,16.38612233,9.40303077,
CG1230,Other genitourinary system diseases,2000,Female,Age_all,[All],774.00000000,0.51763227,3.83381465,1.99943566,
CG1240,Skin diseases,2000,Female,Age_all,[All],669.00000000,0.44741084,3.74992839,1.72819439,
CG1250,Musculoskeletal diseases,2000,Female,Age_all,[All],872.00000000,0.58317227,4.62527756,2.25259418,
CG1260,Rheumatoid arthritis,2000,Female,Age_all,[All],145.00000000,0.09697245,0.93616829,0.37457128,
CG1270,Osteoarthritis,2000,Female,Age_all,[All],123.00000000,0.08225939,0.83582160,0.31773978,
CG1280,Gout,2000,Female,Age_all,[All],25.00000000,0.01671939,0.16200509,0.06458126,
CG1290,Back pain,2000,Female,Age_all,[All],9.00000000,0.00601898,0.05033313,0.02324925,
CG1300,Other musculoskeletal disorders,2000,Female,Age_all,[All],570.00000000,0.38120206,2.64094945,1.47245262,
CG1310,Congenital anomalies,2000,Female,Age_all,[All],2341.00000000,1.56560354,4.31967700,6.04738874,
CG1320,Abdominal wall defect,2000,Female,Age_all,[All],22.00000000,0.01471306,0.04354920,0.05683150,
CG1330,Anencephaly,2000,Female,Age_all,[All],79.00000000,0.05283327,0.13224322,0.20407677,
CG1340,Anorectal atresia,2000,Female,Age_all,[All],22.00000000,0.01471306,0.03739894,0.05683150,
CG1350,Cleft lip,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1360,Cleft palate,2000,Female,Age_all,[All],15.00000000,0.01003163,0.02510585,0.03874875,
CG1370,Oesophageal atresia,2000,Female,Age_all,[All],4.00000000,0.00267510,0.00671398,0.01033300,
CG1380,Renal agenesis,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1390,Down syndrome,2000,Female,Age_all,[All],53.00000000,0.03544510,0.09655369,0.13691226,
CG1400,Congenital heart anomalies,2000,Female,Age_all,[All],1394.00000000,0.93227310,2.60969876,3.60105079,
CG1410,Spina bifida,2000,Female,Age_all,[All],27.00000000,0.01805694,0.04581632,0.06974776,
CG1420,Other Congenital anomalies,2000,Female,Age_all,[All],725.00000000,0.48486227,1.32259704,1.87285640,
CG1430,Oral conditions,2000,Female,Age_all,[All],24.00000000,0.01605061,0.09242370,0.06199801,
CG1440,Dental caries,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1450,Periodontal disease,2000,Female,Age_all,[All],3.00000000,0.00200633,0.01096612,0.00774975,
CG1460,Edentulism,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2000,Female,Age_all,[All],21.00000000,0.01404429,0.08145759,0.05424825,
CG1475,Sudden infant death syndrome,2000,Female,Age_all,[All],127.00000000,0.08493449,0.21256285,0.32807278,
CG1480,Injuries,2000,Female,Age_all,[All],6342.00000000,4.24137447,21.45215663,16.38297284,
CG1490,Unintentional injuries,2000,Female,Age_all,[All],3855.00000000,2.57812970,12.75186761,9.95842956,
CG1500,Road traffic accidents,2000,Female,Age_all,[All],1393.00000000,0.93160433,4.84436940,3.59846754,
CG1510,Poisonings,2000,Female,Age_all,[All],51.00000000,0.03410755,0.15844927,0.13174576,
CG1520,Falls,2000,Female,Age_all,[All],349.00000000,0.23340266,1.74018419,0.90155432,
CG1530,Fires,2000,Female,Age_all,[All],115.00000000,0.07690919,0.38772666,0.29707377,
CG1540,Drownings,2000,Female,Age_all,[All],895.00000000,0.59855411,2.22679626,2.31200894,
CG1541,Exposure to mechanical forces,2000,Female,Age_all,[All],65.00000000,0.04347041,0.19892309,0.16791126,
CG1542,Natural disasters,2000,Female,Age_all,[All],206.00000000,0.13776776,0.54932566,0.53214954,
CG1550,Other unintentional injuries,2000,Female,Age_all,[All],781.00000000,0.52231370,2.64609309,2.01751841,
CG1560,Intentional injuries,2000,Female,Age_all,[All],1339.00000000,0.89549045,4.26784855,3.45897203,
CG1570,Self-inflicted injuries,2000,Female,Age_all,[All],358.00000000,0.23942164,1.05245232,0.92480358,
CG1580,Violence,2000,Female,Age_all,[All],975.00000000,0.65205615,3.19178503,2.51866896,
CG1590,War,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1600,Other intentional injuries,2000,Female,Age_all,[All],6.00000000,0.00401265,0.02361120,0.01549950,
CG1610,Ill-defined diseases,2000,Female,Age_all,[All],8198.00000000,5.48262187,51.53356840,21.17748523,
CG0768,Ill-defined malignant neoplasms,2000,Female,Age_all,[All],734.00000000,0.49088125,3.48305405,1.89610565,
CG0769,Other malignant neoplasms,2000,Female,Age_all,[All],1209.00000000,0.80854963,5.26645608,3.12314950,
CG0789,Diabetes mellitus and endocrine disorders,2000,Female,Age_all,[All],7394.00000000,4.94492633,37.15766636,19.10055206,
CG1098,Ill-defined circulatory diseases,2000,Female,Age_all,[All],17028.00000000,11.38790988,95.84896012,43.98758459,
CG1099,Other circulatory diseases,2000,Female,Age_all,[All],1464.00000000,0.97908739,7.66499613,3.78187831,
CG1605,Ill-defined injuries/accidents,2000,Female,Age_all,[All],1148.00000000,0.76775432,4.43244046,2.96557124,
CG0395,COVID-19,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2001,All,Age_all,[All],381834.00000000,100.00000000,940.03334938,479.25220420,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2001,All,Age_all,[All],102295.00000000,26.79043773,223.16798839,128.39376333,
CG0020,Infectious and parasitic diseases,2001,All,Age_all,[All],45468.00000000,11.90779239,94.23703005,57.06835751,
CG0030,Tuberculosis,2001,All,Age_all,[All],27351.00000000,7.16306039,66.20608508,34.32912480,
CG0040,STDs excluding HIV,2001,All,Age_all,[All],35.00000000,0.00916629,0.05956712,0.04392963,
CG0050,Syphilis,2001,All,Age_all,[All],2.00000000,0.00052379,0.00290289,0.00251026,
CG0060,Chlamydia,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2001,All,Age_all,[All],2.00000000,0.00052379,0.00347059,0.00251026,
CG0080,Other STDs,2001,All,Age_all,[All],31.00000000,0.00811871,0.05319363,0.03890910,
CG0090,HIV/AIDS,2001,All,Age_all,[All],29.00000000,0.00759492,0.04860290,0.03639884,
CG0100,Diarrhoeal diseases,2001,All,Age_all,[All],5534.00000000,1.44932091,8.27561034,6.94590240,
CG0110,Childhood-cluster diseases,2001,All,Age_all,[All],2581.00000000,0.67594819,2.81607100,3.23949659,
CG0120,Pertussis,2001,All,Age_all,[All],3.00000000,0.00078568,0.00240792,0.00376540,
CG0130,Poliomyelitis,2001,All,Age_all,[All],29.00000000,0.00759492,0.03416088,0.03639884,
CG0140,Diphtheria,2001,All,Age_all,[All],21.00000000,0.00549977,0.01988841,0.02635778,
CG0150,Measles,2001,All,Age_all,[All],1787.00000000,0.46800442,1.48708390,2.24292150,
CG0160,Tetanus,2001,All,Age_all,[All],741.00000000,0.19406339,1.27252989,0.93005307,
CG0170,Meningitis,2001,All,Age_all,[All],2020.00000000,0.52902570,2.23655476,2.53536734,
CG0180,Hepatitis B,2001,All,Age_all,[All],774.00000000,0.20270589,1.44513217,0.97147244,
CG0190,Hepatitis C,2001,All,Age_all,[All],11.00000000,0.00288083,0.02270817,0.01380646,
CG0200,Malaria,2001,All,Age_all,[All],276.00000000,0.07228272,0.48408973,0.34641653,
CG0210,Tropical-cluster diseases,2001,All,Age_all,[All],265.00000000,0.06940189,0.56766792,0.33261007,
CG0220,Trypanosomiasis,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2001,All,Age_all,[All],264.00000000,0.06913999,0.56387969,0.33135494,
CG0250,Leishmaniasis,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2001,All,Age_all,[All],1.00000000,0.00026189,0.00378823,0.00125513,
CG0270,Onchocerciasis,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2001,All,Age_all,[All],68.00000000,0.01780879,0.15986144,0.08534900,
CG0290,Dengue,2001,All,Age_all,[All],641.00000000,0.16787400,0.65069280,0.80453983,
CG0300,Japanese encephalitis,2001,All,Age_all,[All],1.00000000,0.00026189,0.00091187,0.00125513,
CG0310,Trachoma,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2001,All,Age_all,[All],39.00000000,0.01021386,0.04398433,0.04895016,
CG0330,Ascariasis,2001,All,Age_all,[All],31.00000000,0.00811871,0.02858025,0.03890910,
CG0340,Trichuriasis,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2001,All,Age_all,[All],7.00000000,0.00183326,0.01374147,0.00878593,
CG0360,Other intestinal infections,2001,All,Age_all,[All],1.00000000,0.00026189,0.00166261,0.00125513,
CG0370,Other infectious diseases,2001,All,Age_all,[All],5843.00000000,1.53024613,11.21949042,7.33373830,
CG0380,Respiratory infections,2001,All,Age_all,[All],35637.00000000,9.33311334,102.37813088,44.72915141,
CG0390,Lower respiratory infections,2001,All,Age_all,[All],35460.00000000,9.28675812,102.09386672,44.50699299,
CG0400,Upper respiratory infections,2001,All,Age_all,[All],88.00000000,0.02304666,0.17382254,0.11045165,
CG0410,Otitis media,2001,All,Age_all,[All],89.00000000,0.02330856,0.11044162,0.11170678,
CG0420,Maternal conditions,2001,All,Age_all,[All],1768.00000000,0.46302844,2.33149747,2.21907399,
CG0430,Maternal haemorrhage,2001,All,Age_all,[All],405.00000000,0.10606703,0.53917910,0.50832860,
CG0440,Maternal sepsis,2001,All,Age_all,[All],97.00000000,0.02540371,0.12446573,0.12174784,
CG0450,Hypertensive disorders,2001,All,Age_all,[All],561.00000000,0.14692248,0.74134214,0.70412925,
CG0460,Obstructed labour,2001,All,Age_all,[All],5.00000000,0.00130947,0.00650607,0.00627566,
CG0470,Pregnancy with abortive outcome,2001,All,Age_all,[All],144.00000000,0.03771272,0.18631743,0.18073906,
CG0480,Other maternal conditions,2001,All,Age_all,[All],556.00000000,0.14561302,0.73368699,0.69785358,
CG0490,Perinatal conditions,2001,All,Age_all,[All],14728.00000000,3.85717354,11.82128177,18.48558919,
CG0500,Low birth weight,2001,All,Age_all,[All],1074.00000000,0.28127406,0.86203535,1.34801214,
CG0510,Birth asphyxia and birth trauma,2001,All,Age_all,[All],942.00000000,0.24670407,0.75608687,1.18233467,
CG0520,Other perinatal conditions,2001,All,Age_all,[All],12712.00000000,3.32919541,10.20315955,15.95524238,
CG0530,Nutritional deficiencies,2001,All,Age_all,[All],4694.00000000,1.22933002,12.40004822,5.89159123,
CG0540,Protein-energy malnutrition,2001,All,Age_all,[All],2451.00000000,0.64190198,6.20471367,3.07632938,
CG0550,Iodine deficiency,2001,All,Age_all,[All],3.00000000,0.00078568,0.00737052,0.00376540,
CG0560,Vitamin A deficiency,2001,All,Age_all,[All],7.00000000,0.00183326,0.01938472,0.00878593,
CG0570,Iron-deficiency anaemia,2001,All,Age_all,[All],1822.00000000,0.47717071,4.75218119,2.28685113,
CG0580,Other nutritional disorders,2001,All,Age_all,[All],411.00000000,0.10763840,1.41639812,0.51585939,
CG0590,Noncommunicable diseases,2001,All,Age_all,[All],230994.00000000,60.49592231,613.42445314,289.92804113,
CG0600,Malignant neoplasms,2001,All,Age_all,[All],37832.00000000,9.90797048,90.52346932,47.48416691,
CG0610,Mouth and oropharynx cancers,2001,All,Age_all,[All],2040.00000000,0.53426358,5.21268461,2.56046999,
CG0611,a. Lip and oral cavity cancers,2001,All,Age_all,[All],727.00000000,0.19039687,1.91566640,0.91248122,
CG0612,b. Nasopharynx cancers,2001,All,Age_all,[All],488.00000000,0.12780423,1.11277006,0.61250458,
CG0613,c. Other pharynx cancer,2001,All,Age_all,[All],825.00000000,0.21606248,2.18424816,1.03548419,
CG0620,Oesophagus cancer,2001,All,Age_all,[All],414.00000000,0.10842408,1.08387070,0.51962479,
CG0630,Stomach cancer,2001,All,Age_all,[All],1486.00000000,0.38917435,3.88609830,1.86512667,
CG0640,Colon and rectum cancers,2001,All,Age_all,[All],2481.00000000,0.64975880,6.46475883,3.11398335,
CG0650,Liver cancer,2001,All,Age_all,[All],4991.00000000,1.30711251,11.83345836,6.26436554,
CG0660,Pancreas cancer,2001,All,Age_all,[All],870.00000000,0.22784770,2.33614314,1.09196514,
CG0670,"Trachea, bronchus, lung cancers",2001,All,Age_all,[All],6612.00000000,1.73164255,16.95492565,8.29893507,
CG0680,Melanoma and other skin cancers,2001,All,Age_all,[All],224.00000000,0.05866424,0.60754155,0.28114965,
CG0681,a. Malignant skin melanoma,2001,All,Age_all,[All],74.00000000,0.01938015,0.20482764,0.09287979,
CG0682,b. Non-melanoma skin cancer,2001,All,Age_all,[All],150.00000000,0.03928409,0.40271391,0.18826985,
CG0690,Breast cancer,2001,All,Age_all,[All],3536.00000000,0.92605687,7.93678230,4.43814798,
CG0700,Cervix uteri cancer,2001,All,Age_all,[All],950.00000000,0.24879922,2.04177627,1.19237573,
CG0710,Corpus uteri cancer,2001,All,Age_all,[All],1193.00000000,0.31243944,2.66563466,1.49737289,
CG0720,Ovary cancer,2001,All,Age_all,[All],868.00000000,0.22732392,1.89809334,1.08945488,
CG0730,Prostate cancer,2001,All,Age_all,[All],1172.00000000,0.30693966,3.80926263,1.47101511,
CG0731,Testicular cancer,2001,All,Age_all,[All],48.00000000,0.01257091,0.08273481,0.06024635,
CG0732,Kidney cancer,2001,All,Age_all,[All],365.00000000,0.09559128,0.84834004,0.45812331,
CG0740,Bladder cancer,2001,All,Age_all,[All],304.00000000,0.07961575,0.83840427,0.38156023,
CG0741,Brain and nervous system cancers,2001,All,Age_all,[All],1484.00000000,0.38865057,2.86041049,1.86261640,
CG0742,Gallbladder and biliary tract cancer,2001,All,Age_all,[All],151.00000000,0.03954598,0.41202873,0.18952498,
CG0743,Larynx cancer,2001,All,Age_all,[All],371.00000000,0.09716264,0.98086182,0.46565410,
CG0744,Thyroid cancer,2001,All,Age_all,[All],490.00000000,0.12832802,1.26460775,0.61501485,
CG0745,Mesothelioma,2001,All,Age_all,[All],10.00000000,0.00261894,0.02129866,0.01255132,
CG0750,"Lymphomas, multiple myeloma",2001,All,Age_all,[All],997.00000000,0.26110823,2.21808029,1.25136695,
CG0751,a. Hodgkin lymphoma,2001,All,Age_all,[All],82.00000000,0.02147530,0.17480311,0.10292085,
CG0752,b. Non-Hodgkin lymphoma,2001,All,Age_all,[All],806.00000000,0.21108649,1.76431647,1.01163667,
CG0753,c. Multiple myeloma,2001,All,Age_all,[All],109.00000000,0.02854644,0.27896071,0.13680943,
CG0760,Leukaemia,2001,All,Age_all,[All],2187.00000000,0.57276199,3.57442339,2.74497444,
CG0780,Other neoplasms,2001,All,Age_all,[All],413.00000000,0.10816219,0.91030551,0.51836966,
CG0790,Diabetes mellitus,2001,All,Age_all,[All],12504.00000000,3.27472148,34.32285162,15.69417485,
CG0800,Endocrine disorders,2001,All,Age_all,[All],3622.00000000,0.94857975,8.16088353,4.54608936,
CG0810,Neuropsychiatric conditions,2001,All,Age_all,[All],4082.00000000,1.06905095,7.62441316,5.12345024,
CG0820,Unipolar depressive disorders,2001,All,Age_all,[All],24.00000000,0.00628545,0.04959926,0.03012318,
CG0830,Bipolar disorder,2001,All,Age_all,[All],3.00000000,0.00078568,0.00401921,0.00376540,
CG0840,Schizophrenia,2001,All,Age_all,[All],170.00000000,0.04452197,0.35334363,0.21337250,
CG0850,Epilepsy,2001,All,Age_all,[All],1197.00000000,0.31348701,1.60412663,1.50239342,
CG0860,Alcohol use disorders,2001,All,Age_all,[All],450.00000000,0.11785226,0.86525184,0.56480956,
CG0870,Alzheimer and other dementias,2001,All,Age_all,[All],410.00000000,0.10737650,1.35501514,0.51460426,
CG0880,Parkinson disease,2001,All,Age_all,[All],232.00000000,0.06075939,0.74640579,0.29119070,
CG0890,Multiple sclerosis,2001,All,Age_all,[All],25.00000000,0.00654735,0.04931457,0.03137831,
CG0900,Drug use disorders,2001,All,Age_all,[All],37.00000000,0.00969007,0.05449163,0.04643990,
CG0910,Post-traumatic stress disorder,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0920,Obsessive-compulsive disorder,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0930,Panic disorder,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0940,Insomnia (primary),2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0950,Migraine,2001,All,Age_all,[All],3.00000000,0.00078568,0.00345438,0.00376540,
CG0960,Mental Retardation,2001,All,Age_all,[All],1.00000000,0.00026189,0.00091187,0.00125513,
CG0970,Other neuropsychiatric disorders,2001,All,Age_all,[All],1530.00000000,0.40069769,2.53847921,1.92035249,
CG0980,Sense organ diseases,2001,All,Age_all,[All],59.00000000,0.01545174,0.11680497,0.07405281,
CG0990,Glaucoma,2001,All,Age_all,[All],5.00000000,0.00130947,0.01585150,0.00627566,
CG1000,Cataracts,2001,All,Age_all,[All],5.00000000,0.00130947,0.01667632,0.00627566,
CG1010,"Vision disorders, age-related",2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2001,All,Age_all,[All],49.00000000,0.01283280,0.08427715,0.06150149,
CG1040,Cardiovascular diseases,2001,All,Age_all,[All],116042.00000000,30.39069334,332.78082639,145.64806769,
CG1050,Rheumatic heart disease,2001,All,Age_all,[All],2529.00000000,0.66232970,3.65180545,3.17422970,
CG1060,Hypertensive heart disease,2001,All,Age_all,[All],9180.00000000,2.40418611,26.83677726,11.52211494,
CG1070,Ischaemic heart disease,2001,All,Age_all,[All],35896.00000000,9.40094387,103.26247397,45.05423069,
CG1080,Cerebrovascular disease,2001,All,Age_all,[All],23944.00000000,6.27078783,68.11149000,30.05288889,
CG1090,Inflammatory heart diseases,2001,All,Age_all,[All],1102.00000000,0.28860709,2.61577874,1.38315585,
CG1110,Respiratory diseases,2001,All,Age_all,[All],19280.00000000,5.04931462,53.47600289,24.19895163,
CG1120,Chronic obstructive pulmonary disease,2001,All,Age_all,[All],9122.00000000,2.38899627,27.93281969,11.44931726,
CG1130,Asthma,2001,All,Age_all,[All],7671.00000000,2.00898820,19.49093854,9.62812023,
CG1140,Other respiratory diseases,2001,All,Age_all,[All],2487.00000000,0.65133016,6.05224465,3.12151414,
CG1150,Digestive diseases,2001,All,Age_all,[All],18309.00000000,4.79501564,43.32123103,22.98021812,
CG1160,Peptic ulcer disease,2001,All,Age_all,[All],5922.00000000,1.55093575,16.29191372,7.43289375,
CG1170,Cirrhosis of the liver,2001,All,Age_all,[All],5135.00000000,1.34482524,11.63358009,6.44510460,
CG1180,Appendicitis,2001,All,Age_all,[All],290.00000000,0.07594923,0.51411931,0.36398838,
CG1181,Gastritis and duodenitis,2001,All,Age_all,[All],220.00000000,0.05761666,0.57440161,0.27612912,
CG1182,Paralytic ileus and intestinal obstruction,2001,All,Age_all,[All],804.00000000,0.21056271,1.76447308,1.00912641,
CG1183,Inflammatory bowel disease,2001,All,Age_all,[All],336.00000000,0.08799635,0.85552461,0.42172447,
CG1184,Gallbladder and biliary diseases,2001,All,Age_all,[All],540.00000000,0.14142271,1.38415905,0.67777147,
CG1185,Pancreatitis,2001,All,Age_all,[All],2240.00000000,0.58664236,3.71110654,2.81149646,
CG1190,Other digestive diseases,2001,All,Age_all,[All],2822.00000000,0.73906462,6.59195302,3.54198348,
CG1200,Genitourinary diseases,2001,All,Age_all,[All],11936.00000000,3.12596573,29.44446651,14.98125968,
CG1210,Nephritis and nephrosis,2001,All,Age_all,[All],9737.00000000,2.55006102,23.13523093,12.22122365,
CG1220,Benign prostatic hypertrophy,2001,All,Age_all,[All],380.00000000,0.09951969,1.37653491,0.47695029,
CG1230,Other genitourinary system diseases,2001,All,Age_all,[All],1819.00000000,0.47638503,4.93270067,2.28308574,
CG1240,Skin diseases,2001,All,Age_all,[All],1322.00000000,0.34622375,3.96216854,1.65928496,
CG1250,Musculoskeletal diseases,2001,All,Age_all,[All],1704.00000000,0.44626723,5.14351535,2.13874552,
CG1260,Rheumatoid arthritis,2001,All,Age_all,[All],377.00000000,0.09873400,1.35305611,0.47318489,
CG1270,Osteoarthritis,2001,All,Age_all,[All],272.00000000,0.07123514,0.99478659,0.34139600,
CG1280,Gout,2001,All,Age_all,[All],150.00000000,0.03928409,0.42733844,0.18826985,
CG1290,Back pain,2001,All,Age_all,[All],12.00000000,0.00314273,0.03861864,0.01506159,
CG1300,Other musculoskeletal disorders,2001,All,Age_all,[All],893.00000000,0.23387126,2.32971558,1.12083319,
CG1310,Congenital anomalies,2001,All,Age_all,[All],3674.00000000,0.96219823,3.40019073,4.61135624,
CG1320,Abdominal wall defect,2001,All,Age_all,[All],22.00000000,0.00576167,0.01997941,0.02761291,
CG1330,Anencephaly,2001,All,Age_all,[All],30.00000000,0.00785682,0.02409849,0.03765397,
CG1340,Anorectal atresia,2001,All,Age_all,[All],53.00000000,0.01388038,0.04299977,0.06652201,
CG1350,Cleft lip,2001,All,Age_all,[All],1.00000000,0.00026189,0.00080264,0.00125513,
CG1360,Cleft palate,2001,All,Age_all,[All],17.00000000,0.00445220,0.01366417,0.02133725,
CG1370,Oesophageal atresia,2001,All,Age_all,[All],4.00000000,0.00104758,0.00553189,0.00502053,
CG1380,Renal agenesis,2001,All,Age_all,[All],2.00000000,0.00052379,0.00182139,0.00251026,
CG1390,Down syndrome,2001,All,Age_all,[All],145.00000000,0.03797462,0.13957243,0.18199419,
CG1400,Congenital heart anomalies,2001,All,Age_all,[All],2347.00000000,0.61466501,2.16143845,2.94579562,
CG1410,Spina bifida,2001,All,Age_all,[All],36.00000000,0.00942818,0.02918770,0.04518476,
CG1420,Other Congenital anomalies,2001,All,Age_all,[All],1017.00000000,0.26634611,0.96109441,1.27646960,
CG1430,Oral conditions,2001,All,Age_all,[All],50.00000000,0.01309470,0.10488800,0.06275662,
CG1440,Dental caries,2001,All,Age_all,[All],1.00000000,0.00026189,0.00249775,0.00125513,
CG1450,Periodontal disease,2001,All,Age_all,[All],7.00000000,0.00183326,0.01519288,0.00878593,
CG1460,Edentulism,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2001,All,Age_all,[All],42.00000000,0.01099954,0.08719736,0.05271556,
CG1475,Sudden infant death syndrome,2001,All,Age_all,[All],165.00000000,0.04321250,0.13243560,0.20709684,
CG1480,Injuries,2001,All,Age_all,[All],32836.00000000,8.59954849,51.85336305,41.21352571,
CG1490,Unintentional injuries,2001,All,Age_all,[All],14204.00000000,3.71994113,22.64195908,17.82789984,
CG1500,Road traffic accidents,2001,All,Age_all,[All],5345.00000000,1.39982296,8.60024885,6.70868239,
CG1510,Poisonings,2001,All,Age_all,[All],182.00000000,0.04766469,0.28194063,0.22843409,
CG1520,Falls,2001,All,Age_all,[All],1262.00000000,0.33051012,2.90321890,1.58397702,
CG1530,Fires,2001,All,Age_all,[All],565.00000000,0.14797006,0.91020590,0.70914978,
CG1540,Drownings,2001,All,Age_all,[All],3210.00000000,0.84067946,4.19929460,4.02897483,
CG1541,Exposure to mechanical forces,2001,All,Age_all,[All],225.00000000,0.05892613,0.33324303,0.28240478,
CG1542,Natural disasters,2001,All,Age_all,[All],455.00000000,0.11916173,0.70762464,0.57108522,
CG1550,Other unintentional injuries,2001,All,Age_all,[All],2960.00000000,0.77520598,4.70618254,3.71519174,
CG1560,Intentional injuries,2001,All,Age_all,[All],14207.00000000,3.72072681,21.55206343,17.83166524,
CG1570,Self-inflicted injuries,2001,All,Age_all,[All],1204.00000000,0.31532027,1.80027350,1.51117934,
CG1580,Violence,2001,All,Age_all,[All],12821.00000000,3.35774185,19.49797819,16.09205181,
CG1590,War,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1600,Other intentional injuries,2001,All,Age_all,[All],182.00000000,0.04766469,0.25381174,0.22843409,
CG1610,Ill-defined diseases,2001,All,Age_all,[All],15709.00000000,4.11409146,51.58754479,19.71687402,
CG0768,Ill-defined malignant neoplasms,2001,All,Age_all,[All],1702.00000000,0.44574344,4.14750105,2.13623525,
CG0769,Other malignant neoplasms,2001,All,Age_all,[All],2886.00000000,0.75582583,6.54374767,3.62231195,
CG0789,Diabetes mellitus and endocrine disorders,2001,All,Age_all,[All],16126.00000000,4.22330123,42.48373515,20.24026421,
CG1098,Ill-defined circulatory diseases,2001,All,Age_all,[All],40226.00000000,10.53494450,119.61371693,50.48895375,
CG1099,Other circulatory diseases,2001,All,Age_all,[All],3165.00000000,0.82889423,8.68878404,3.97249388,
CG1605,Ill-defined injuries/accidents,2001,All,Age_all,[All],4425.00000000,1.15888056,7.65934054,5.55396063,
CG0395,COVID-19,2001,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2001,Male,Age_all,[All],225879.00000000,100.00000000,1212.49498880,563.22911944,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2001,Male,Age_all,[All],58249.00000000,25.78770049,280.55316571,145.24383842,
CG0020,Infectious and parasitic diseases,2001,Male,Age_all,[All],29110.00000000,12.88743088,133.97837674,72.58576347,
CG0030,Tuberculosis,2001,Male,Age_all,[All],18479.00000000,8.18092873,99.57476008,46.07737283,
CG0040,STDs excluding HIV,2001,Male,Age_all,[All],3.00000000,0.00132814,0.01937374,0.00748050,
CG0050,Syphilis,2001,Male,Age_all,[All],1.00000000,0.00044271,0.00423105,0.00249350,
CG0060,Chlamydia,2001,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2001,Male,Age_all,[All],1.00000000,0.00044271,0.00158629,0.00249350,
CG0080,Other STDs,2001,Male,Age_all,[All],1.00000000,0.00044271,0.01355641,0.00249350,
CG0090,HIV/AIDS,2001,Male,Age_all,[All],23.00000000,0.01018244,0.07166163,0.05735048,
CG0100,Diarrhoeal diseases,2001,Male,Age_all,[All],3224.00000000,1.42731285,10.09275266,8.03904162,
CG0110,Childhood-cluster diseases,2001,Male,Age_all,[All],1581.00000000,0.69993226,3.65627235,3.94222233,
CG0120,Pertussis,2001,Male,Age_all,[All],2.00000000,0.00088543,0.00313094,0.00498700,
CG0130,Poliomyelitis,2001,Male,Age_all,[All],22.00000000,0.00973973,0.04950111,0.05485698,
CG0140,Diphtheria,2001,Male,Age_all,[All],10.00000000,0.00442715,0.02145478,0.02493499,
