experiment_id,title,family,candidate_family,row_scope,candidate_mean_mae,carry_forward_mean_mae,candidate_minus_carry_forward,r10_comparable_candidate_mean_mae,r10_reference_mae,candidate_minus_r10,decision,blockers
R25-002,R25 predictive endpoint readout on program route,r25_r19_predictive_endpoint_readout,,program,0.6432938820846293,0.7518898350543525,-0.10859595296972313,0.2635764222962596,0.12253583498568615,0.14104058731057345,keep_as_diagnostic,matched_r10_gate_failed
R25-003,R25 predictive endpoint readout full sentinel,r25_r19_predictive_endpoint_readout,,all,0.47375409380589667,0.5512035229281876,-0.07744942912229097,0.2442240949556852,0.11345837623390577,0.13076571872177944,keep_as_diagnostic,matched_r10_gate_failed
