Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Panama,20 000,"Region: Bocas del Toro, Coclé, Colón, Chiriquí,  Darién, Herrera, Los Santos, Panamá, Veraguas Comarca Guna Yala and Ngäbe-Buglé.; Methods: Capture-recapture and extrapolation; Source: Estimación del tamaño de la población de hombres que tienen sexo con hombres (HSH), mujeres trans (Trans) y trabajadoras sexuales (TS) de 18 años y más, caracterización de esta población, uso de servicios de salud, uso de condón, discriminación y violencia en la República de Panamá para el año 2018"
Papua New Guinea,102 500,"Region: National; Methods: Site/Georgraphical mapping and capture-recapture; Source: PNG Population size estimation survey and population growth"
Paraguay,27 800,"Region: Asunción, Central, Caaguazú and Alto Paraná.; Method: Método de captura-recaptura (CR) con modelos de regresión log-lineales;"
Peru,295 600,"Region: National; Method: Unknown; Source: Spectrum"
Philippines,1 384 400,"Region: National; Methods: Unique object multiplier and service multiplier; Source: 2024 Key Population Size Estimates Philippine Statistics Authority Census 2020 World Population Prospects 2022"
Republic of Moldova,13 000,"Region: National; Methods: Multiplier, capture-recapture, successive sampling and consensus; Source: Behavioral surveillance survey, 2024"
Senegal,52 500,"Region: National; Methods: % of adult population; Source: Estimation PSN ajustée 2018-2023"
South Africa,381 900,"Region: National; Methods: % adult population; Source: StatsSA 2024"
Thailand,615 700,"Region: National; Methods: Multiplier; Source: Behavioral surveillance survey, 2024"
Timor-Leste,6800,"Region: National; Method: Mapping size estimated ang triangulation;"
Tonga,430,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
Tuvalu,10,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
United Kingdom,650 300,"Region: England; Methods: Multi-population evolution strategy (MPES); Source: ECDC"
United Republic of Tanzania,3300,"Region: Zanzibar; Method: Capture-recapture; Source: Population size Estimate, 2023"
Uruguay,28 600,"Region: National; Methods: % of adult male population; Source: INE"
Vanuatu,440,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
Viet Nam,428 500,"Region: National; Methods: Three-Source Capture-recapture method; Extrapolation using a prediction model (Poison model);"
Zambia,88 400,"Region: National; Method: 3 source capture recapture and extrapolation; Source: Johns Hopkins University Estimates , 2022"
