Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Nicaragua,17 700,"Region: National; Method: Programmatic mapping; Source: Mapeo Programático 2023"
Niger,66 100,"Region: National; Methods: % of the female population;"
Nigeria,906 900,"Region: National; Methods: Programmatic mapping and capture-recapture; Source: Key population size estimate, 2022"
Palau,60,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
Panama,8700,"Region: Panamá Centro,  Bocas del Toro, Coclé,  Chiriquí, Los Santos, Guna Yala y  Comarca Ngäbe-Buglé.; Methods: Capture-recapture and extrapolation; Source: Estimación del tamaño de la población de hombres que tienen sexo con hombres (HSH), mujeres trans (Trans) y trabajadoras sexuales (TS) de 18 años y más, caracterización de esta población, uso de servicios de salud, uso de condón, discriminación y violencia en la República de Panamá para el año 2018"
Papua New Guinea,52 200,"Region: National; Method: Mapping, multiplier and population growth; Source: IBBS and NDoH Records"
Paraguay,9000,"Region: Área Metropolitana (Asuncion y Central), Amambay, Caaguazu and Alto Parana; Methods: Método de captura-recaptura (CR) con modelos de regresión log-lineales"
Peru,69 600,"Region: National; Method: Unknown ; Source: Spectrum - EPP"
Philippines,127 900,"Region: National; Methods: Unique object multiplier and service multiplier; Source: 2024 Key Population Size Estimates Philippine Statistics Authority Census 2020 World Population Prospects 2022"
Republic of Moldova,11 600,"Region: National; Methods: Multiplier, capture-recapture, successive sampling and consensus; Source: Behavioral surveillance survey, 2024"
Rwanda,38 000,"Region: National; Methods: Capture - recapture;"
Serbia,15 000,"Region: National; Methods: Multiplier method and key informants;"
South Africa,140 400,"Region: National; Methods: Multivariable generalized linear model; Source: John Hopkins University, South Africa SAE PSE"
South Sudan,45 000,"Region: National; Methods: Unknown; Source: KP workbook"
Tajikistan,18 000,"Region: National; Methods: Multiplier; Source: Оценка численности работников секса в рамках проведенного интегрированного биоповеденческого исследования в 2022 году."
Thailand,109 200,"Region: National; Methods: Mapping and enumeration; Source: Behavioral surveillance survey, 2024"
Timor-Leste,5600,"Region: National; Method: Mapping, size estimated and triangulation;"
Togo,29 400,"Region: National; Methods: Linear regression model; Source: Estimation des petits domaines, 2021"
Tuvalu,10,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
Uganda,179 100,"Region: National; Method: Data triangulation; Source: Key population size mapping & estimation and its role in determining HIV testing and prevention priorities in Uganda, 2023 Analysis documentary report"
United Republic of Tanzania,155 800,"Region: National; Method: Capture-recapture and others;"
Uruguay,13 100,"Region: National; Methods: Policlinics census; Source: MSP"
Vanuatu,630,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
Zambia,126 000,"Region: National; Methods: Modelling;"
