Latvia,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Lebanon,1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication."
Lesotho,8047,,10 874,,10 719,,10 209,,10 783,,10 744,,9921,,8076,,8604,,8555,,8161,,7488,,6393,,5740,,5673,
Liberia,587,,809,,850,,641,,647,,1180,,1382,,1553,,1827,,1838,,1351,,1856,,1657,,1834,,1998,
Libya,4,,10,,14,,20,,27,,34,,53,,53,,64,,64,,63,,62,,62,,60,,60,
Lithuania,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Luxembourg,3,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",9,"Children estimates were not available at the time of publication.",9,"Children estimates were not available at the time of publication.",10,"Children estimates were not available at the time of publication.",10,"Children estimates were not available at the time of publication.",10,"Children estimates were not available at the time of publication."
Madagascar,17,,106,,77,,62,,58,,54,,30,,107,,279,,339,,259,,380,,399,,635,,853,
Malawi,25 927,,33 387,,30 866,,33 969,,35 214,,38 836,,40 365,,42 370,,44 526,,40 584,,40 275,,36 787,,32 950,,32 469,,31 027,
Malaysia,267,,288,,287,,274,,298,,319,,311,,260,,257,,251,,253,,240,,228,,217,,198,
Maldives,0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication."
Mali,2488,,3461,,3750,,2188,,2362,,2665,,2379,,2317,,2382,,1885,,1905,,2245,,1954,,1925,,2003,
Malta,2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication."
Marshall Islands,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Mauritania,33,,33,,15,,30,,182,,161,,49,,33,,51,,88,,50,,18,,55,,75,,71,
Mauritius,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Mexico,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Micronesia (Federated States of),,,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,
Mongolia,1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication."
Montenegro,0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication."
Morocco,124,,124,,195,,182,,206,,171,,215,,209,,216,,254,,228,,218,,247,,248,,302,
Mozambique,40 002,,68 479,,81 978,,89 199,,96 093,,100 428,,95 800,,107 872,,109 707,,112 462,,106 907,,112 716,,115 899,,112 000,,109 637,
Myanmar,2400,,2783,,2720,,2912,,3440,,3675,,4082,,4125,,4303,,4232,,3905,,1016,,1929,,2404,,2221,
Namibia,8799,,8872,,7755,,9412,,10 834,,11 475,,11 838,,12 627,,12 531,,12 522,,14 951,,13 433,,11 662,,9766,,10 471,
Nepal,96,,134,,126,,142,,162,,145,,181,,191,,146,,123,,121,,175,,182,,165,,151,
Netherlands,73,,79,,84,,91,,95,,93,,94,,91,,89,,87,,85,,90,,82,,76,,...,
New Zealand,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Nicaragua,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Niger,2119,,1571,,1334,,1301,,1529,,1052,,1696,,982,,941,,794,,647,,625,,759,,960,,1208,
Nigeria,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
North Macedonia,2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication."
Norway,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Oman,27,"Children estimates were not available at the time of publication.",25,"Children estimates were not available at the time of publication.",27,"Children estimates were not available at the time of publication.",32,"Children estimates were not available at the time of publication.",25,"Children estimates were not available at the time of publication.",31,"Children estimates were not available at the time of publication.",38,"Children estimates were not available at the time of publication.",33,"Children estimates were not available at the time of publication.",33,"Children estimates were not available at the time of publication.",35,"Children estimates were not available at the time of publication.",32,"Children estimates were not available at the time of publication.",51,"Children estimates were not available at the time of publication.",41,"Children estimates were not available at the time of publication.",53,"Children estimates were not available at the time of publication.",50,"Children estimates were not available at the time of publication."
Pakistan,22,,67,,43,,126,,59,,206,,125,,183,,322,,417,,126,,495,,347,,354,,555,
Panama,154,,180,,181,,191,,175,,191,,178,,201,,186,,159,,151,,197,,198,,228,,204,
Papua New Guinea,75,,221,,334,,450,,573,,497,,583,,733,,963,,1300,,1015,,1183,,1239,,1515,,2039,
Paraguay,162,,206,,189,,177,,204,,173,,205,,214,,216,,254,,204,,219,,211,,206,,155,
Peru,574,,601,,700,,712,,716,,681,,739,,774,,907,,1042,,1076,,1047,,1136,,1057,,1092,
Philippines,12,,18,,19,,14,,23,,32,,43,,53,,67,,98,,113,,81,,45,,70,,116,
Poland,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Portugal,212,,199,,180,,164,,160,,161,,159,,152,,148,,141,,134,,121,,124,,125,,124,
Qatar,0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication."
Republic of Korea,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Republic of Moldova,123,,123,,141,,146,,152,,175,,196,,210,,183,,199,,156,,174,,187,,166,,143,
Romania,191,,228,,234,,226,,214,,236,,264,,244,,257,,214,,226,,245,,232,,231,,210,
Russian Federation,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Rwanda,6931,,10 507,,8966,,9150,,9432,,9701,,9240,,8258,,7892,,7955,,7849,,7350,,6427,,5685,,5850,
Saint Kitts and Nevis,1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",2,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",0,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",0,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",0,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",2,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",1,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",2,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",2,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Saint Lucia,0,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",4,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",13,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",5,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",10,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",4,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",10,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",4,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",5,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",10,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",13,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",9,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",5,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",3,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",6,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Saint Vincent and the Grenadines,11,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",19,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",18,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",15,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",11,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",13,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",7,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",10,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",8,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",11,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",9,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",13,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Sao Tome and Principe,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Saudi Arabia,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Senegal,720,,850,,970,,1358,,1122,,1352,,1352,,1231,,1400,,1444,,1392,,1350,,1435,,1404,,1451,
Serbia,2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication."
Sierra Leone,1805,,2338,,3018,,2686,,2585,,3212,,3328,,3802,,4336,,4114,,3970,,5004,,4449,,5390,,5345,
Singapore,12,"Children estimates were not available at the time of publication.",13,"Children estimates were not available at the time of publication.",14,"Children estimates were not available at the time of publication.",14,"Children estimates were not available at the time of publication.",15,"Children estimates were not available at the time of publication.",14,"Children estimates were not available at the time of publication.",12,"Children estimates were not available at the time of publication.",12,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication.",10,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication.",12,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication."
Slovakia,0,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication."
Slovenia,1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication."
Solomon Islands,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Somalia,3,,26,,46,,24,,36,,77,,78,,82,,107,,116,,113,,96,,218,,173,,151,
South Africa,282 583,,333 020,,348 197,,346 866,,334 113,,309 053,,299 996,,294 560,,291 635,,287 705,,282 354,,274 321,,269 030,,262 960,,256 275,
South Sudan,1160,,1362,,1517,,2089,,1847,,4037,,2754,,5358,,5534,,4352,,4462,,4203,,4092,,4694,,4622,
Spain,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Sri Lanka,6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",9,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",17,"Children estimates were not available at the time of publication.",15,"Children estimates were not available at the time of publication.",23,"Children estimates were not available at the time of publication."
Sudan,87,,76,,91,,74,,109,,114,,91,,134,,100,,68,,59,,51,,129,,69,,86,
Suriname,81,,119,,119,,120,,128,,138,,121,,105,,100,,94,,105,,100,,100,,95,,95,
Sweden,...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/)."
Switzerland,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Syrian Arab Republic,0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication."
Tajikistan,47,,62,,83,,106,,157,,167,,181,,162,,220,,189,,212,,216,,263,,261,,245,
Thailand,9379,,8801,,8048,,7258,,6595,,6032,,5449,,4949,,4505,,4049,,3697,,3379,,3080,,2845,,2674,
