Jordan,<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication."
Kazakhstan,1200,,1800,,2600,,3500,,4600,,6200,,7900,,11 000,,15 000,,17 000,,20 000,,23 000,,26 000,,29 000,,32 000,
Kenya,430 000,,540 000,,600 000,,660 000,,760 000,,900 000,,1 000 000,,1 100 000,,1 100 000,,1 000 000,,1 100 000,,1 100 000,,1 100 000,,1 100 000,,1 200 000,
Kiribati,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Kuwait,<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",540,"Children estimates were not available at the time of publication.",660,"Children estimates were not available at the time of publication.",750,"Children estimates were not available at the time of publication.",910,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication."
Kyrgyzstan,<500,,<500,,660,,1100,,1700,,2100,,2600,,3200,,3700,,4100,,4400,,5000,,5800,,6400,,6900,
Lao People's Democratic Republic,1700,,2000,,2400,,2800,,3300,,3900,,4600,,5600,,6500,,7300,,8200,,8900,,10 000,,12 000,,13 000,
Latvia,510,"Children estimates were not available at the time of publication.",590,"Children estimates were not available at the time of publication.",680,"Children estimates were not available at the time of publication.",770,"Children estimates were not available at the time of publication.",850,"Children estimates were not available at the time of publication.",950,"Children estimates were not available at the time of publication.",1700,"Children estimates were not available at the time of publication.",2100,"Children estimates were not available at the time of publication.",2500,"Children estimates were not available at the time of publication.",2900,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3100,"Children estimates were not available at the time of publication.",3200,"Children estimates were not available at the time of publication.",3200,"Children estimates were not available at the time of publication.",3200,"Children estimates were not available at the time of publication."
Lebanon,<500,"Children estimates were not available at the time of publication.",510,"Children estimates were not available at the time of publication.",590,"Children estimates were not available at the time of publication.",690,"Children estimates were not available at the time of publication.",800,"Children estimates were not available at the time of publication.",910,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1600,"Children estimates were not available at the time of publication.",1700,"Children estimates were not available at the time of publication.",1800,"Children estimates were not available at the time of publication.",2000,"Children estimates were not available at the time of publication.",2200,"Children estimates were not available at the time of publication.",2400,"Children estimates were not available at the time of publication."
Lesotho,94 000,,98 000,,110 000,,120 000,,130 000,,150 000,,180 000,,200 000,,210 000,,220 000,,230 000,,230 000,,230 000,,240 000,,250 000,
Liberia,4400,,5800,,5500,,6400,,6900,,7400,,8100,,12 000,,14 000,,15 000,,19 000,,21 000,,25 000,,27 000,,31 000,
Libya,1800,,2000,,2200,,2400,,2700,,3100,,3300,,3600,,4100,,3300,,3200,,3300,,3300,,3600,,...,
Lithuania,<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",570,"Children estimates were not available at the time of publication.",650,"Children estimates were not available at the time of publication.",780,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1700,"Children estimates were not available at the time of publication.",1900,"Children estimates were not available at the time of publication."
Luxembourg,<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",530,"Children estimates were not available at the time of publication.",560,"Children estimates were not available at the time of publication.",640,"Children estimates were not available at the time of publication.",700,"Children estimates were not available at the time of publication.",760,"Children estimates were not available at the time of publication.",830,"Children estimates were not available at the time of publication.",880,"Children estimates were not available at the time of publication.",930,"Children estimates were not available at the time of publication.",960,"Children estimates were not available at the time of publication.",1000,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication."
Madagascar,<500,,<500,,<500,,520,,770,,1200,,1700,,2300,,3500,,5200,,5900,,9000,,12 000,,17 000,,26 000,
Malawi,250 000,,320 000,,400 000,,470 000,,540 000,,600 000,,680 000,,750 000,,810 000,,830 000,,860 000,,880 000,,890 000,,900 000,,900 000,
Malaysia,13 000,,14 000,,15 000,,17 000,,21 000,,26 000,,36 000,,39 000,,41 000,,44 000,,47 000,,47 000,,47 000,,49 000,,51 000,
Maldives,<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication."
Mali,25 000,,29 000,,29 000,,29 000,,31 000,,35 000,,38 000,,41 000,,46 000,,45 000,,53 000,,54 000,,60 000,,69 000,,76 000,
Malta,<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",520,"Children estimates were not available at the time of publication.",540,"Children estimates were not available at the time of publication.",570,"Children estimates were not available at the time of publication.",650,"Children estimates were not available at the time of publication.",690,"Children estimates were not available at the time of publication."
Marshall Islands,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Mauritania,1600,,1700,,1800,,2100,,2300,,2500,,2600,,3000,,3000,,3300,,3400,,3600,,3800,,4200,,4500,
Mauritius,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Mexico,65 000,,72 000,,84 000,,89 000,,97 000,,120 000,,130 000,,140 000,,160 000,,170 000,,200 000,,220 000,,230 000,,240 000,,260 000,
Mongolia,<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication."
Montenegro,<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication."
Morocco,2800,,3600,,4600,,5700,,6500,,7400,,8300,,9200,,10 000,,11 000,,12 000,,15 000,,16 000,,17 000,,18 000,
Mozambique,220 000,,270 000,,310 000,,470 000,,650 000,,800 000,,990 000,,1 200 000,,1 200 000,,1 300 000,,1 400 000,,1 600 000,,1 700 000,,1 900 000,,2 000 000,
Myanmar,30 000,,40 000,,54 000,,68 000,,85 000,,110 000,,130 000,,150 000,,170 000,,180 000,,200 000,,200 000,,210 000,,220 000,,220 000,
Namibia,77 000,,94 000,,110 000,,110 000,,110 000,,130 000,,130 000,,150 000,,160 000,,180 000,,180 000,,190 000,,190 000,,200 000,,210 000,
Nepal,4900,,6500,,7700,,8900,,10 000,,12 000,,13 000,,15 000,,17 000,,19 000,,20 000,,22 000,,23 000,,25 000,,26 000,
Netherlands,13 000,,14 000,,15 000,,16 000,,17 000,,18 000,,19 000,,20 000,,20 000,,21 000,,21 000,,22 000,,22 000,,23 000,,...,
New Zealand,1300,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1600,"Children estimates were not available at the time of publication.",1700,"Children estimates were not available at the time of publication.",1900,"Children estimates were not available at the time of publication.",2100,"Children estimates were not available at the time of publication.",2300,"Children estimates were not available at the time of publication.",2500,"Children estimates were not available at the time of publication.",2700,"Children estimates were not available at the time of publication.",2700,"Children estimates were not available at the time of publication.",2900,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3300,"Children estimates were not available at the time of publication.",3500,"Children estimates were not available at the time of publication."
Nicaragua,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Niger,7300,,9400,,11 000,,12 000,,11 000,,13 000,,15 000,,17 000,,20 000,,20 000,,21 000,,22 000,,22 000,,22 000,,21 000,
Nigeria,340 000,,390 000,,510 000,,610 000,,700 000,,770 000,,880 000,,940 000,,950 000,,1 100 000,,1 200 000,,1 300 000,,1 400 000,,1 500 000,,1 600 000,
North Macedonia,<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication."
Norway,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Oman,540,"Children estimates were not available at the time of publication.",660,"Children estimates were not available at the time of publication.",740,"Children estimates were not available at the time of publication.",850,"Children estimates were not available at the time of publication.",910,"Children estimates were not available at the time of publication.",920,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1600,"Children estimates were not available at the time of publication.",1800,"Children estimates were not available at the time of publication.",2000,"Children estimates were not available at the time of publication.",2200,"Children estimates were not available at the time of publication."
Pakistan,1900,,2000,,3100,,3400,,5000,,6600,,8900,,12 000,,16 000,,23 000,,24 000,,27 000,,34 000,,45 000,,56 000,
Panama,5400,,6200,,6700,,8000,,8700,,9700,,12 000,,13 000,,13 000,,14 000,,14 000,,15 000,,19 000,,20 000,,21 000,
Papua New Guinea,7600,,9400,,12 000,,15 000,,18 000,,21 000,,24 000,,26 000,,29 000,,32 000,,36 000,,38 000,,44 000,,49 000,,55 000,
Paraguay,3000,,3100,,3600,,4200,,4900,,5500,,6500,,7800,,8500,,9500,,9800,,11 000,,12 000,,13 000,,13 000,
Peru,20 000,,22 000,,28 000,,28 000,,33 000,,35 000,,44 000,,49 000,,58 000,,68 000,,72 000,,80 000,,88 000,,91 000,,100 000,
Philippines,1000,,1600,,2400,,5100,,8100,,13 000,,18 000,,25 000,,34 000,,43 000,,48 000,,56 000,,68 000,,75 000,,88 000,
Poland,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Portugal,20 000,,22 000,,24 000,,26 000,,28 000,,30 000,,31 000,,36 000,,...,,...,,...,,...,,...,,...,,...,
Qatar,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication."
Republic of Korea,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Republic of Moldova,1200,,1700,,2100,,2500,,3100,,3900,,4500,,5200,,6000,,6700,,6800,,7300,,7900,,8500,,9000,
Romania,7600,,7800,,8000,,8900,,9600,,11 000,,11 000,,12 000,,12 000,,13 000,,13 000,,13 000,,14 000,,15 000,,16 000,
Russian Federation,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Rwanda,89 000,,100 000,,120 000,,130 000,,140 000,,160 000,,180 000,,190 000,,190 000,,200 000,,200 000,,210 000,,220 000,,220 000,,230 000,
Saint Kitts and Nevis,<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Saint Lucia,<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Saint Vincent and the Grenadines,<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Sao Tome and Principe,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Saudi Arabia,3100,"Children estimates were not available at the time of publication.",3100,"Children estimates were not available at the time of publication.",3100,"Children estimates were not available at the time of publication.",3200,"Children estimates were not available at the time of publication.",3600,"Children estimates were not available at the time of publication.",4300,"Children estimates were not available at the time of publication.",5200,"Children estimates were not available at the time of publication.",5600,"Children estimates were not available at the time of publication.",6300,"Children estimates were not available at the time of publication.",7300,"Children estimates were not available at the time of publication.",7800,"Children estimates were not available at the time of publication.",8500,"Children estimates were not available at the time of publication.",9500,"Children estimates were not available at the time of publication.",11 000,"Children estimates were not available at the time of publication.",12 000,"Children estimates were not available at the time of publication."
Senegal,12 000,,13 000,,12 000,,14 000,,16 000,,18 000,,21 000,,23 000,,27 000,,29 000,,30 000,,32 000,,33 000,,35 000,,38 000,
Serbia,920,"Children estimates were not available at the time of publication.",1000,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1600,"Children estimates were not available at the time of publication.",1800,"Children estimates were not available at the time of publication.",2000,"Children estimates were not available at the time of publication.",2100,"Children estimates were not available at the time of publication.",2200,"Children estimates were not available at the time of publication.",2300,"Children estimates were not available at the time of publication.",2400,"Children estimates were not available at the time of publication.",2600,"Children estimates were not available at the time of publication.",2700,"Children estimates were not available at the time of publication."
Sierra Leone,6000,,8100,,8300,,9200,,11 000,,14 000,,18 000,,24 000,,28 000,,33 000,,38 000,,48 000,,56 000,,61 000,,70 000,
Singapore,2000,"Children estimates were not available at the time of publication.",2500,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3500,"Children estimates were not available at the time of publication.",4100,"Children estimates were not available at the time of publication.",4600,"Children estimates were not available at the time of publication.",4900,"Children estimates were not available at the time of publication.",5400,"Children estimates were not available at the time of publication.",5700,"Children estimates were not available at the time of publication.",6100,"Children estimates were not available at the time of publication.",6400,"Children estimates were not available at the time of publication.",6400,"Children estimates were not available at the time of publication.",6600,"Children estimates were not available at the time of publication.",6700,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Slovakia,<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",640,"Children estimates were not available at the time of publication.",650,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Slovenia,<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",530,"Children estimates were not available at the time of publication.",590,"Children estimates were not available at the time of publication.",630,"Children estimates were not available at the time of publication.",650,"Children estimates were not available at the time of publication.",710,"Children estimates were not available at the time of publication.",720,"Children estimates were not available at the time of publication.",750,"Children estimates were not available at the time of publication.",790,"Children estimates were not available at the time of publication.",830,"Children estimates were not available at the time of publication."
Solomon Islands,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Somalia,890,,1100,,1500,,1800,,1900,,2300,,2700,,3000,,3200,,3500,,3700,,3900,,4100,,4600,,5000,
South Africa,1 400 000,,1 900 000,,2 400 000,,2 800 000,,3 200 000,,3 600 000,,4 100 000,,4 600 000,,5 000 000,,5 300 000,,5 600 000,,5 800 000,,6 000 000,,6 100 000,,6 300 000,
South Sudan,2300,,3700,,4600,,7200,,11 000,,19 000,,19 000,,24 000,,31 000,,35 000,,42 000,,45 000,,56 000,,68 000,,76 000,
Spain,88 000,,91 000,,96 000,,99 000,,100 000,,110 000,,120 000,,120 000,,130 000,,130 000,,130 000,,130 000,,140 000,,...,,...,
Sri Lanka,<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",520,"Children estimates were not available at the time of publication.",640,"Children estimates were not available at the time of publication.",800,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1600,"Children estimates were not available at the time of publication.",1800,"Children estimates were not available at the time of publication.",2200,"Children estimates were not available at the time of publication.",2400,"Children estimates were not available at the time of publication.",2800,"Children estimates were not available at the time of publication.",3400,"Children estimates were not available at the time of publication.",4100,"Children estimates were not available at the time of publication."
Sudan,2100,,2400,,2600,,3300,,3900,,4400,,5800,,7600,,8800,,10 000,,12 000,,11 000,,11 000,,11 000,,11 000,
Suriname,1100,,1300,,1700,,1900,,2200,,2300,,2600,,2700,,2900,,2900,,3400,,3300,,3100,,3800,,3900,
