Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Bahrain,51 ,46 , 57,"Children estimates were not available at the time of publication.",51 ,45 , 57,"Children estimates were not available at the time of publication.",54 ,49 , 60,"Children estimates were not available at the time of publication.",60 ,54 , 66,"Children estimates were not available at the time of publication.",67 ,59 , 74,"Children estimates were not available at the time of publication.",68 ,61 , 77,"Children estimates were not available at the time of publication.",65 ,58 , 74,"Children estimates were not available at the time of publication.",71 ,62 , 81,"Children estimates were not available at the time of publication.",76 ,66 , 88,"Children estimates were not available at the time of publication.",77 ,66 , 90,"Children estimates were not available at the time of publication."
Bangladesh,30 ,28 , 34,,32 ,29 , 35,,36 ,33 , 39,,38 ,35 , 42,,49 ,45 , 54,,53 ,48 , 58,,52 ,48 , 57,,56 ,51 , 61,,58 ,53 , 63,,60 ,55 , 65,
Barbados,91 ,81 , >98,"Children estimates were not available at the time of publication.",91 ,82 , >98,"Children estimates were not available at the time of publication.",92 ,82 , >98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication."
Belarus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belgium,,,,,,,,,,,,,,,,,,,,,92 ,85 , >98,,92 ,85 , >98,,92 ,85 , >98,,93 ,85 , >98,,,,,
Belize,64 ,60 , 69,"Children estimates were not available at the time of publication.",65 ,60 , 69,"Children estimates were not available at the time of publication.",66 ,61 , 70,"Children estimates were not available at the time of publication.",69 ,63 , 73,"Children estimates were not available at the time of publication.",70 ,65 , 75,"Children estimates were not available at the time of publication.",72 ,66 , 77,"Children estimates were not available at the time of publication.",72 ,66 , 77,"Children estimates were not available at the time of publication.",73 ,67 , 78,"Children estimates were not available at the time of publication.",75 ,69 , 81,"Children estimates were not available at the time of publication.",77 ,71 , 84,"Children estimates were not available at the time of publication."
Benin,48 ,42 , 57,,50 ,44 , 60,,58 ,51 , 68,,61 ,54 , 72,,66 ,57 , 77,,72 ,62 , 85,,79 ,69 , 94,,86 ,75 , >98,,82 ,70 , 96,,89 ,77 , >98,
Bhutan,56 ,48 , 66,"Children estimates were not available at the time of publication.",61 ,52 , 71,"Children estimates were not available at the time of publication.",64 ,54 , 75,"Children estimates were not available at the time of publication.",67 ,57 , 79,"Children estimates were not available at the time of publication.",68 ,57 , 80,"Children estimates were not available at the time of publication.",69 ,58 , 80,"Children estimates were not available at the time of publication.",70 ,59 , 82,"Children estimates were not available at the time of publication.",67 ,57 , 79,"Children estimates were not available at the time of publication.",69 ,58 , 80,"Children estimates were not available at the time of publication.",71 ,60 , 83,"Children estimates were not available at the time of publication."
Bosnia and Herzegovina,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Botswana,83 ,78 , 86,,85 ,80 , 89,,88 ,83 , 92,,92 ,87 , 97,,94 ,89 , >98,,94 ,89 , >98,,96 ,91 , >98,,96 ,91 , >98,,97 ,91 , >98,,97 ,91 , >98,
