,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Azerbaijan,58 ,49 , 69,"Children estimates were not available at the time of publication.",57 ,48 , 67,"Children estimates were not available at the time of publication.",,,,,65 ,55 , 77,"Children estimates were not available at the time of publication.",63 ,53 , 74,"Children estimates were not available at the time of publication.",,,,,71 ,61 , 84,"Children estimates were not available at the time of publication.",70 ,59 , 82,"Children estimates were not available at the time of publication.",>98 ,>98 , >98,"Children estimates were not available at the time of publication.",77 ,66 , 91,"Children estimates were not available at the time of publication.",76 ,66 , 90,"Children estimates were not available at the time of publication.",82 ,71 , 98,"Children estimates were not available at the time of publication.",83 ,71 , >98,"Children estimates were not available at the time of publication.",83 ,71 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",86 ,74 , >98,"Children estimates were not available at the time of publication.",85 ,72 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",91 ,77 , >98,"Children estimates were not available at the time of publication.",86 ,73 , >98,"Children estimates were not available at the time of publication.",90 ,76 , >98,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",84 ,71 , >98,"Children estimates were not available at the time of publication.",89 ,75 , >98,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",87 ,73 , >98,"Children estimates were not available at the time of publication.",88 ,74 , >98,"Children estimates were not available at the time of publication.",>98 ,93 , >98,"Children estimates were not available at the time of publication.",89 ,74 , >98,"Children estimates were not available at the time of publication.",88 ,74 , >98,"Children estimates were not available at the time of publication."
Bahamas,94 ,86 , >98,"Children estimates were not available at the time of publication.",66 ,60 , 72,"Children estimates were not available at the time of publication.",,,,,94 ,85 , >98,"Children estimates were not available at the time of publication.",62 ,56 , 68,"Children estimates were not available at the time of publication.",,,,,96 ,87 , >98,"Children estimates were not available at the time of publication.",80 ,73 , 87,"Children estimates were not available at the time of publication.",73 ,66 , 79,"Children estimates were not available at the time of publication.",96 ,86 , >98,"Children estimates were not available at the time of publication.",81 ,73 , 88,"Children estimates were not available at the time of publication.",77 ,70 , 84,"Children estimates were not available at the time of publication.",96 ,86 , >98,"Children estimates were not available at the time of publication.",80 ,72 , 88,"Children estimates were not available at the time of publication.",,,,,96 ,86 , >98,"Children estimates were not available at the time of publication.",78 ,70 , 86,"Children estimates were not available at the time of publication.",75 ,68 , 82,"Children estimates were not available at the time of publication.",96 ,86 , >98,"Children estimates were not available at the time of publication.",79 ,71 , 87,"Children estimates were not available at the time of publication.",82 ,73 , 90,"Children estimates were not available at the time of publication.",96 ,86 , >98,"Children estimates were not available at the time of publication.",77 ,69 , 85,"Children estimates were not available at the time of publication.",82 ,73 , 90,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",74 ,66 , 83,"Children estimates were not available at the time of publication.",92 ,82 , >98,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",79 ,70 , 88,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication."
Bahrain,74 ,67 , 81,"Children estimates were not available at the time of publication.",72 ,65 , 79,"Children estimates were not available at the time of publication.",,,,,73 ,66 , 80,"Children estimates were not available at the time of publication.",73 ,67 , 80,"Children estimates were not available at the time of publication.",,,,,79 ,71 , 86,"Children estimates were not available at the time of publication.",88 ,80 , 96,"Children estimates were not available at the time of publication.",,,,,80 ,72 , 87,"Children estimates were not available at the time of publication.",97 ,88 , >98,"Children estimates were not available at the time of publication.",,,,,95 ,86 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",,,,,>98 ,90 , >98,"Children estimates were not available at the time of publication.",>98 ,91 , >98,"Children estimates were not available at the time of publication.",,,,,81 ,72 , 88,"Children estimates were not available at the time of publication.",83 ,75 , 91,"Children estimates were not available at the time of publication.",,,,,85 ,76 , 94,"Children estimates were not available at the time of publication.",73 ,66 , 81,"Children estimates were not available at the time of publication.",>98 ,89 , >98,"Children estimates were not available at the time of publication.",88 ,79 , >98,"Children estimates were not available at the time of publication.",78 ,70 , 87,"Children estimates were not available at the time of publication.",>98 ,89 , >98,"Children estimates were not available at the time of publication.",90 ,80 , >98,"Children estimates were not available at the time of publication.",81 ,72 , 91,"Children estimates were not available at the time of publication.",94 ,83 , >98,"Children estimates were not available at the time of publication."
Bangladesh,33 ,30 , 36,,49 ,44 , 54,,,,,,35 ,31 , 38,,53 ,48 , 58,,,,,,37 ,34 , 41,,55 ,50 , 60,,,,,,41 ,37 , 45,,57 ,52 , 63,,,,,,42 ,38 , 46,,56 ,51 , 61,,... ,... , ...,,50 ,45 , 54,,52 ,47 , 56,,... ,... , ...,,49 ,44 , 53,,58 ,53 , 63,,... ,... , ...,,52 ,47 , 56,,58 ,53 , 63,,92 ,84 , >98,,52 ,48 , 57,,62 ,57 , 68,,91 ,83 , >98,,52 ,48 , 57,,64 ,58 , 70,,90 ,82 , >98,
Barbados,92 ,84 , >98,"Children estimates were not available at the time of publication.",57 ,52 , 62,"Children estimates were not available at the time of publication.",,,,,93 ,84 , >98,"Children estimates were not available at the time of publication.",58 ,53 , 63,"Children estimates were not available at the time of publication.",,,,,93 ,84 , >98,"Children estimates were not available at the time of publication.",61 ,55 , 67,"Children estimates were not available at the time of publication.",88 ,80 , 96,"Children estimates were not available at the time of publication.",93 ,84 , >98,"Children estimates were not available at the time of publication.",63 ,57 , 69,"Children estimates were not available at the time of publication.",89 ,81 , 98,"Children estimates were not available at the time of publication.",94 ,85 , >98,"Children estimates were not available at the time of publication.",68 ,61 , 75,"Children estimates were not available at the time of publication.",89 ,80 , 98,"Children estimates were not available at the time of publication.",94 ,84 , >98,"Children estimates were not available at the time of publication.",69 ,62 , 76,"Children estimates were not available at the time of publication.",93 ,83 , >98,"Children estimates were not available at the time of publication.",94 ,84 , >98,"Children estimates were not available at the time of publication.",71 ,63 , 79,"Children estimates were not available at the time of publication.",92 ,82 , >98,"Children estimates were not available at the time of publication.",94 ,83 , >98,"Children estimates were not available at the time of publication.",68 ,60 , 75,"Children estimates were not available at the time of publication.",93 ,82 , >98,"Children estimates were not available at the time of publication.",94 ,82 , >98,"Children estimates were not available at the time of publication.",70 ,61 , 78,"Children estimates were not available at the time of publication.",90 ,79 , >98,"Children estimates were not available at the time of publication.",94 ,82 , >98,"Children estimates were not available at the time of publication.",71 ,62 , 80,"Children estimates were not available at the time of publication.",98 ,85 , >98,"Children estimates were not available at the time of publication."
Belarus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belgium,,,,,,,,,>98 ,93 , >98,,,,,,,,,,>98 ,92 , >98,,,,,,,,,,>98 ,92 , >98,,,,,,,,,,>98 ,92 , >98,,,,,,,,,,>98 ,91 , >98,,93 ,85 , >98,,93 ,84 , >98,,>98 ,91 , >98,,92 ,84 , >98,,94 ,85 , >98,,>98 ,90 , >98,,93 ,84 , >98,,95 ,85 , >98,,>98 ,90 , >98,,94 ,84 , >98,,95 ,85 , >98,,>98 ,89 , >98,,,,,,,,,,,,,
Belize,72 ,67 , 78,"Children estimates were not available at the time of publication.",54 ,50 , 58,"Children estimates were not available at the time of publication.",,,,,73 ,68 , 79,"Children estimates were not available at the time of publication.",57 ,53 , 61,"Children estimates were not available at the time of publication.",59 ,55 , 64,"Children estimates were not available at the time of publication.",73 ,68 , 79,"Children estimates were not available at the time of publication.",58 ,54 , 62,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",75 ,69 , 80,"Children estimates were not available at the time of publication.",59 ,55 , 63,"Children estimates were not available at the time of publication.",65 ,61 , 70,"Children estimates were not available at the time of publication.",76 ,70 , 81,"Children estimates were not available at the time of publication.",59 ,55 , 64,"Children estimates were not available at the time of publication.",57 ,53 , 61,"Children estimates were not available at the time of publication.",77 ,71 , 82,"Children estimates were not available at the time of publication.",58 ,54 , 63,"Children estimates were not available at the time of publication.",66 ,61 , 71,"Children estimates were not available at the time of publication.",77 ,71 , 83,"Children estimates were not available at the time of publication.",60 ,55 , 64,"Children estimates were not available at the time of publication.",59 ,54 , 63,"Children estimates were not available at the time of publication.",77 ,71 , 83,"Children estimates were not available at the time of publication.",63 ,57 , 68,"Children estimates were not available at the time of publication.",73 ,67 , 79,"Children estimates were not available at the time of publication.",78 ,71 , 85,"Children estimates were not available at the time of publication.",63 ,57 , 68,"Children estimates were not available at the time of publication.",79 ,72 , 86,"Children estimates were not available at the time of publication.",79 ,72 , 86,"Children estimates were not available at the time of publication.",65 ,59 , 70,"Children estimates were not available at the time of publication.",77 ,70 , 84,"Children estimates were not available at the time of publication."
Benin,58 ,51 , 68,,65 ,57 , 76,,... ,... , ...,,58 ,51 , 68,,50 ,44 , 59,,41 ,36 , 48,,70 ,62 , 83,,92 ,80 , >98,,... ,... , ...,,74 ,64 , 87,,96 ,83 , >98,,79 ,69 , 93,,76 ,66 , 89,,96 ,83 , >98,,73 ,63 , 86,,85 ,73 , >98,,>98 ,86 , >98,,82 ,71 , 96,,94 ,82 , >98,,>98 ,86 , >98,,79 ,69 , 93,,>98 ,88 , >98,,>98 ,86 , >98,,80 ,69 , 93,,92 ,79 , >98,,>98 ,86 , >98,,91 ,78 , >98,,98 ,84 , >98,,>98 ,86 , >98,,91 ,79 , >98,
Bhutan,63 ,54 , 74,"Children estimates were not available at the time of publication.",82 ,71 , 97,"Children estimates were not available at the time of publication.",,,,,65 ,57 , 77,"Children estimates were not available at the time of publication.",86 ,75 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",69 ,60 , 81,"Children estimates were not available at the time of publication.",96 ,83 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",73 ,63 , 86,"Children estimates were not available at the time of publication.",>98 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",73 ,63 , 87,"Children estimates were not available at the time of publication.",95 ,82 , >98,"Children estimates were not available at the time of publication.",94 ,81 , >98,"Children estimates were not available at the time of publication.",75 ,64 , 89,"Children estimates were not available at the time of publication.",95 ,82 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",77 ,65 , 91,"Children estimates were not available at the time of publication.",94 ,80 , >98,"Children estimates were not available at the time of publication.",92 ,79 , >98,"Children estimates were not available at the time of publication.",76 ,65 , 91,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",92 ,78 , >98,"Children estimates were not available at the time of publication.",78 ,66 , 92,"Children estimates were not available at the time of publication.",98 ,83 , >98,"Children estimates were not available at the time of publication.",87 ,74 , >98,"Children estimates were not available at the time of publication.",80 ,68 , 95,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
