,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Azerbaijan,... ,... , ...,"Children estimates were not available at the time of publication.",71 ,56 , 88,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",79 ,64 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",79 ,64 , >98,"Children estimates were not available at the time of publication.",98 ,79 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",82 ,66 , >98,"Children estimates were not available at the time of publication.",89 ,72 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",85 ,67 , >98,"Children estimates were not available at the time of publication.",96 ,76 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",85 ,68 , >98,"Children estimates were not available at the time of publication.",88 ,70 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",86 ,69 , >98,"Children estimates were not available at the time of publication.",82 ,66 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",81 ,65 , >98,"Children estimates were not available at the time of publication.",>98 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",87 ,70 , >98,"Children estimates were not available at the time of publication.",86 ,69 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88 ,71 , >98,"Children estimates were not available at the time of publication.",96 ,77 , >98,"Children estimates were not available at the time of publication."
Bahamas,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Bahrain,... ,... , ...,"Children estimates were not available at the time of publication.",98 ,87 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",98 ,86 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",98 ,86 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,89 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",77 ,68 , 89,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,>98 , >98,"Children estimates were not available at the time of publication.",50 ,44 , 57,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,>98 , >98,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication."
Bangladesh,... ,... , ...,,91 ,78 , >98,,,,,,... ,... , ...,,91 ,79 , >98,,,,,,... ,... , ...,,90 ,77 , >98,,,,,,... ,... , ...,,90 ,77 , >98,,,,,,... ,... , ...,,89 ,77 , >98,,... ,... , ...,,... ,... , ...,,89 ,78 , >98,,... ,... , ...,,... ,... , ...,,89 ,77 , >98,,... ,... , ...,,... ,... , ...,,89 ,77 , >98,,67 ,58 , 75,,... ,... , ...,,89 ,78 , >98,,65 ,56 , 73,,... ,... , ...,,89 ,78 , >98,,62 ,54 , 70,
Barbados,... ,... , ...,"Children estimates were not available at the time of publication.",81 ,72 , 92,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",87 ,76 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",80 ,70 , 94,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",83 ,71 , >98,"Children estimates were not available at the time of publication.",83 ,71 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74 ,63 , 90,"Children estimates were not available at the time of publication.",40 ,34 , 49,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",70 ,59 , 87,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",63 ,52 , 82,"Children estimates were not available at the time of publication.",>98 ,82 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",65 ,52 , 86,"Children estimates were not available at the time of publication.",67 ,53 , 88,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",66 ,52 , 89,"Children estimates were not available at the time of publication.",>98 ,79 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",42 ,33 , 58,"Children estimates were not available at the time of publication.",,,,
Belarus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belgium,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,,,,,,,,
Belize,... ,... , ...,"Children estimates were not available at the time of publication.",96 ,84 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",96 ,84 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",94 ,84 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",41 ,36 , 47,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",89 ,79 , >98,"Children estimates were not available at the time of publication.",55 ,49 , 63,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",90 ,79 , >98,"Children estimates were not available at the time of publication.",46 ,41 , 53,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",83 ,73 , 95,"Children estimates were not available at the time of publication.",76 ,66 , 87,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",84 ,73 , 96,"Children estimates were not available at the time of publication.",74 ,64 , 85,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",77 ,66 , 88,"Children estimates were not available at the time of publication.",79 ,67 , 90,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",81 ,68 , 93,"Children estimates were not available at the time of publication.",83 ,70 , 95,"Children estimates were not available at the time of publication."
Benin,24 ,20 , 28,,86 ,71 , >98,,,,,,28 ,23 , 33,,85 ,71 , >98,,,,,,28 ,23 , 32,,82 ,68 , 97,,,,,,33 ,27 , 39,,84 ,69 , >98,,,,,,39 ,32 , 47,,84 ,68 , >98,,,,,,40 ,32 , 48,,82 ,66 , >98,,72 ,58 , 88,,46 ,37 , 57,,83 ,66 , >98,,76 ,60 , 94,,52 ,41 , 65,,83 ,65 , >98,,76 ,60 , 95,,52 ,41 , 66,,82 ,64 , >98,,91 ,71 , >98,,63 ,49 , 81,,76 ,59 , 97,,82 ,64 , >98,
Bhutan,... ,... , ...,"Children estimates were not available at the time of publication.",92 ,78 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",96 ,80 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",94 ,78 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",97 ,80 , >98,"Children estimates were not available at the time of publication.",83 ,69 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",97 ,80 , >98,"Children estimates were not available at the time of publication.",36 ,29 , 45,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",94 ,78 , >98,"Children estimates were not available at the time of publication.",64 ,53 , 82,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92 ,77 , >98,"Children estimates were not available at the time of publication.",67 ,56 , 84,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92 ,76 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
