,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Cuba,17 ,15 , 19,,97 ,84 , >98,,... ,... , ...,,16 ,14 , 18,,>98 ,88 , >98,,... ,... , ...,,17 ,15 , 19,,>98 ,88 , >98,,68 ,60 , 78,,16 ,14 , 19,,96 ,84 , >98,,65 ,57 , 74,,20 ,17 , 23,,88 ,76 , >98,,97 ,84 , >98,,21 ,19 , 24,,94 ,82 , >98,,... ,... , ...,,21 ,19 , 24,,94 ,82 , >98,,93 ,81 , >98,,21 ,19 , 24,,94 ,82 , >98,,85 ,75 , 96,,26 ,23 , 29,,95 ,83 , >98,,74 ,65 , 83,,32 ,28 , 36,,91 ,80 , >98,,80 ,71 , 90,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Czechia,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Côte d'Ivoire,20 ,16 , 24,,>98 ,83 , >98,,,,,,25 ,21 , 31,,>98 ,83 , >98,,,,,,45 ,37 , 57,,>98 ,82 , >98,,,,,,49 ,39 , 62,,84 ,68 , >98,,58 ,47 , 74,,56 ,44 , 72,,74 ,58 , 95,,59 ,46 , 76,,64 ,49 , 84,,64 ,49 , 84,,66 ,51 , 87,,71 ,54 , 96,,61 ,46 , 82,,71 ,54 , 95,,76 ,57 , >98,,60 ,45 , 82,,77 ,57 , >98,,80 ,58 , >98,,61 ,44 , 85,,78 ,57 , >98,,78 ,55 , >98,,65 ,46 , 92,,88 ,62 , >98,
Democratic Republic of the Congo,15 ,13 , 19,,90 ,75 , >98,,,,,,22 ,18 , 27,,91 ,74 , >98,,,,,,27 ,22 , 33,,90 ,73 , >98,,,,,,26 ,21 , 31,,87 ,70 , >98,,,,,,30 ,24 , 37,,88 ,70 , >98,,,,,,36 ,28 , 44,,88 ,69 , >98,,... ,... , ...,,41 ,32 , 50,,88 ,69 , >98,,82 ,65 , >98,,44 ,34 , 54,,88 ,68 , >98,,... ,... , ...,,38 ,30 , 47,,85 ,66 , >98,,... ,... , ...,,36 ,28 , 45,,84 ,64 , >98,,... ,... , ...,
Denmark,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,
Djibouti,7 ,5 , 10,,86 ,61 , >98,,,,,,9 ,6 , 12,,85 ,60 , >98,,,,,,10 ,7 , 14,,84 ,59 , >98,,,,,,11 ,8 , 15,,83 ,56 , >98,,,,,,8 ,6 , 11,,72 ,48 , >98,,,,,,9 ,6 , 13,,73 ,49 , >98,,,,,,12 ,8 , 17,,77 ,51 , >98,,,,,,14 ,9 , 19,,78 ,51 , >98,,... ,... , ...,,16 ,10 , 22,,79 ,51 , >98,,... ,... , ...,,35 ,23 , 51,,35 ,23 , 51,,... ,... , ...,
Dominican Republic,36 ,30 , 41,,57 ,48 , 66,,,,,,29 ,25 , 35,,68 ,56 , 80,,,,,,28 ,24 , 34,,72 ,60 , 86,,46 ,38 , 54,,29 ,24 , 35,,72 ,58 , 85,,91 ,73 , >98,,29 ,24 , 35,,57 ,46 , 68,,62 ,49 , 74,,24 ,19 , 29,,64 ,50 , 76,,71 ,56 , 85,,24 ,19 , 29,,69 ,53 , 83,,57 ,44 , 69,,24 ,18 , 30,,70 ,52 , 86,,58 ,43 , 72,,24 ,17 , 30,,65 ,46 , 80,,64 ,45 , 79,,25 ,16 , 31,,62 ,42 , 77,,76 ,51 , 95,
Ecuador,39 ,34 , 44,,87 ,76 , >98,,,,,,44 ,39 , 50,,88 ,77 , >98,,,,,,48 ,42 , 54,,89 ,78 , >98,,,,,,46 ,40 , 53,,88 ,76 , >98,,91 ,79 , >98,,51 ,43 , 58,,88 ,75 , >98,,86 ,74 , >98,,49 ,42 , 56,,86 ,73 , >98,,68 ,58 , 78,,60 ,51 , 69,,88 ,75 , >98,,94 ,79 , >98,,66 ,56 , 77,,87 ,74 , >98,,84 ,72 , 98,,41 ,34 , 47,,80 ,67 , 92,,>98 ,83 , >98,,43 ,35 , 50,,83 ,69 , 98,,>98 ,82 , >98,
Egypt,12 ,10 , 16,,79 ,62 , >98,,,,,,15 ,12 , 20,,81 ,64 , >98,,,,,,22 ,17 , 28,,85 ,66 , >98,,,,,,27 ,21 , 35,,84 ,65 , >98,,,,,,33 ,26 , 43,,84 ,66 , >98,,,,,,39 ,30 , 50,,84 ,66 , >98,,... ,... , ...,,42 ,32 , 54,,83 ,64 , >98,,... ,... , ...,,48 ,36 , 62,,84 ,64 , >98,,... ,... , ...,,55 ,41 , 73,,85 ,64 , >98,,80 ,60 , >98,,61 ,45 , 82,,86 ,64 , >98,,83 ,61 , >98,
El Salvador,80 ,71 , 89,,88 ,78 , >98,,... ,... , ...,,65 ,58 , 74,,92 ,82 , >98,,93 ,82 , >98,,62 ,54 , 70,,83 ,73 , 94,,86 ,76 , 98,,56 ,49 , 64,,78 ,68 , 89,,88 ,77 , >98,,52 ,46 , 60,,73 ,64 , 84,,87 ,77 , >98,,53 ,46 , 62,,72 ,63 , 84,,91 ,80 , >98,,56 ,48 , 65,,71 ,62 , 83,,90 ,79 , >98,,51 ,44 , 59,,73 ,63 , 85,,95 ,83 , >98,,44 ,38 , 51,,74 ,65 , 87,,90 ,79 , >98,,44 ,38 , 52,,75 ,65 , 90,,96 ,83 , >98,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Eritrea,72 ,51 , 96,,87 ,62 , >98,,,,,,95 ,67 , >98,,88 ,62 , >98,,,,,,97 ,68 , >98,,86 ,60 , >98,,,,,,>98 ,76 , >98,,97 ,67 , >98,,35 ,24 , 50,,>98 ,75 , >98,,>98 ,67 , >98,,49 ,33 , 72,,91 ,61 , >98,,97 ,64 , >98,,70 ,47 , >98,,92 ,58 , >98,,92 ,58 , >98,,84 ,52 , >98,,81 ,49 , >98,,81 ,49 , >98,,77 ,47 , >98,,86 ,52 , >98,,79 ,47 , >98,,94 ,56 , >98,,91 ,54 , >98,,70 ,42 , >98,,87 ,52 , >98,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,
Eswatini,69 ,58 , 74,,94 ,79 , >98,,,,,,84 ,70 , 90,,94 ,78 , >98,,... ,... , ...,,91 ,75 , >98,,96 ,79 , >98,,81 ,67 , 87,,83 ,68 , 90,,>98 ,83 , >98,,88 ,73 , 96,,93 ,76 , >98,,>98 ,81 , >98,,91 ,75 , >98,,>98 ,86 , >98,,>98 ,81 , >98,,91 ,74 , >98,,94 ,76 , >98,,>98 ,81 , >98,,94 ,76 , >98,,96 ,76 , >98,,96 ,77 , >98,,95 ,75 , >98,,95 ,76 , >98,,93 ,74 , >98,,95 ,75 , >98,,96 ,76 , >98,,90 ,72 , >98,,94 ,75 , >98,
Ethiopia,35 ,25 , 54,,91 ,64 , >98,,,,,,41 ,29 , 63,,92 ,64 , >98,,,,,,45 ,32 , 69,,90 ,63 , >98,,... ,... , ...,,49 ,34 , 74,,90 ,63 , >98,,74 ,52 , >98,,47 ,33 , 71,,89 ,62 , >98,,74 ,52 , >98,,48 ,33 , 72,,88 ,61 , >98,,79 ,55 , >98,,46 ,32 , 70,,85 ,59 , >98,,91 ,64 , >98,,50 ,35 , 75,,84 ,59 , >98,,90 ,63 , >98,,50 ,35 , 76,,81 ,57 , >98,,92 ,64 , >98,,51 ,36 , 77,,81 ,56 , >98,,92 ,64 , >98,
Fiji,<1 ,<1 , 1,,<1 ,<1 , <1,,,,,,66 ,31 , >98,,>98 ,46 , >98,,,,,,75 ,40 , >98,,96 ,51 , >98,,,,,,79 ,45 , >98,,96 ,55 , >98,,... ,... , ...,,69 ,47 , 86,,96 ,65 , >98,,... ,... , ...,,59 ,45 , 72,,97 ,75 , >98,,,,,,43 ,35 , 50,,95 ,78 , >98,,,,,,42 ,34 , 50,,95 ,77 , >98,,,,,,3 ,2 , 3,,>98 ,>98 , >98,,... ,... , ...,,39 ,30 , 56,,97 ,76 , >98,,... ,... , ...,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,
Gabon,18 ,14 , 22,,87 ,68 , >98,,,,,,19 ,15 , 23,,86 ,67 , >98,,,,,,20 ,16 , 25,,85 ,67 , >98,,,,,,22 ,17 , 27,,85 ,67 , >98,,... ,... , ...,,24 ,19 , 30,,85 ,65 , >98,,... ,... , ...,,25 ,19 , 32,,83 ,63 , >98,,... ,... , ...,,25 ,19 , 33,,83 ,61 , >98,,... ,... , ...,,25 ,18 , 33,,81 ,58 , >98,,... ,... , ...,,26 ,19 , 36,,81 ,58 , >98,,... ,... , ...,,26 ,18 , 36,,80 ,55 , >98,,... ,... , ...,
Gambia,22 ,16 , 30,,89 ,66 , >98,,,,,,28 ,20 , 38,,89 ,66 , >98,,,,,,26 ,19 , 35,,86 ,63 , >98,,,,,,30 ,22 , 41,,87 ,63 , >98,,,,,,33 ,24 , 46,,86 ,62 , >98,,... ,... , ...,,35 ,25 , 48,,85 ,61 , >98,,... ,... , ...,,35 ,25 , 50,,83 ,59 , >98,,... ,... , ...,,38 ,26 , 55,,83 ,58 , >98,,... ,... , ...,,43 ,29 , 62,,84 ,57 , >98,,46 ,31 , 67,,50 ,33 , 72,,85 ,56 , >98,,63 ,42 , 90,
Georgia,... ,... , ...,"Children estimates were not available at the time of publication.",91 ,82 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74 ,67 , 83,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",98 ,89 , >98,"Children estimates were not available at the time of publication.",91 ,83 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",78 ,71 , 85,"Children estimates were not available at the time of publication.",85 ,78 , 93,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74 ,68 , 82,"Children estimates were not available at the time of publication.",93 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",86 ,78 , 94,"Children estimates were not available at the time of publication.",95 ,87 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",91 ,83 , >98,"Children estimates were not available at the time of publication.",95 ,86 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",93 ,85 , >98,"Children estimates were not available at the time of publication.",85 ,77 , 93,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",82 ,74 , 90,"Children estimates were not available at the time of publication.",95 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",84 ,76 , 93,"Children estimates were not available at the time of publication.",92 ,83 , >98,"Children estimates were not available at the time of publication."
Germany,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,
Ghana,14 ,11 , 16,,84 ,69 , >98,,,,,,17 ,14 , 20,,85 ,69 , >98,,,,,,18 ,15 , 22,,84 ,68 , >98,,,,,,19 ,16 , 23,,83 ,67 , >98,,66 ,53 , 80,,20 ,16 , 25,,82 ,65 , >98,,68 ,54 , 83,,24 ,19 , 29,,82 ,65 , >98,,73 ,58 , 90,,27 ,21 , 34,,83 ,64 , >98,,79 ,62 , >98,,31 ,24 , 39,,83 ,64 , >98,,68 ,53 , 86,,33 ,25 , 42,,82 ,63 , >98,,89 ,68 , >98,,42 ,32 , 55,,85 ,65 , >98,,90 ,68 , >98,
Greece,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Guatemala,64 ,48 , 83,,90 ,67 , >98,,... ,... , ...,,60 ,45 , 77,,89 ,66 , >98,,67 ,50 , 86,,62 ,46 , 80,,87 ,65 , >98,,89 ,66 , >98,,68 ,50 , 88,,87 ,64 , >98,,87 ,64 , >98,,69 ,52 , 91,,87 ,65 , >98,,87 ,65 , >98,,65 ,48 , 86,,87 ,64 , >98,,85 ,62 , >98,,62 ,45 , 82,,84 ,62 , >98,,87 ,64 , >98,,63 ,46 , 85,,82 ,60 , >98,,91 ,67 , >98,,63 ,47 , 87,,80 ,59 , >98,,85 ,63 , >98,,59 ,44 , 80,,82 ,61 , >98,,81 ,60 , >98,
Guinea,13 ,11 , 15,,86 ,73 , >98,,,,,,13 ,11 , 14,,85 ,72 , 98,,,,,,15 ,13 , 17,,87 ,73 , >98,,,,,,16 ,13 , 18,,86 ,73 , >98,,,,,,18 ,15 , 20,,86 ,72 , >98,,,,,,30 ,25 , 35,,90 ,75 , >98,,... ,... , ...,,23 ,19 , 26,,83 ,69 , 97,,... ,... , ...,,32 ,26 , 38,,89 ,73 , >98,,... ,... , ...,,57 ,46 , 68,,92 ,74 , >98,,... ,... , ...,,56 ,45 , 68,,>98 ,79 , >98,,... ,... , ...,
Guinea-Bissau,14 ,12 , 16,,87 ,73 , >98,,,,,,19 ,16 , 22,,88 ,73 , >98,,,,,,23 ,19 , 27,,87 ,71 , >98,,,,,,26 ,21 , 30,,86 ,70 , >98,,,,,,34 ,27 , 40,,88 ,70 , >98,,,,,,48 ,37 , 57,,89 ,70 , >98,,,,,,42 ,33 , 51,,86 ,66 , >98,,,,,,52 ,40 , 63,,89 ,69 , >98,,... ,... , ...,,58 ,44 , 71,,87 ,66 , >98,,... ,... , ...,,71 ,54 , 88,,89 ,68 , >98,,... ,... , ...,
Guyana,65 ,41 , >98,,82 ,52 , >98,,,,,,65 ,40 , >98,,82 ,50 , >98,,63 ,39 , >98,,55 ,33 , 98,,78 ,47 , >98,,69 ,42 , >98,,47 ,28 , 85,,76 ,45 , >98,,79 ,47 , >98,,50 ,29 , 95,,77 ,45 , >98,,61 ,36 , >98,,44 ,25 , 83,,74 ,43 , >98,,47 ,28 , 90,,38 ,22 , 72,,72 ,41 , >98,,... ,... , ...,,37 ,21 , 71,,70 ,40 , >98,,... ,... , ...,,32 ,18 , 62,,66 ,37 , >98,,81 ,46 , >98,,35 ,20 , 68,,71 ,40 , >98,,>98 ,56 , >98,
Haiti,22 ,19 , 26,,87 ,74 , >98,,,,,,21 ,18 , 24,,84 ,71 , 97,,... ,... , ...,,36 ,31 , 42,,90 ,75 , >98,,47 ,40 , 55,,39 ,32 , 45,,87 ,73 , >98,,50 ,42 , 59,,48 ,41 , 56,,89 ,75 , >98,,59 ,50 , 69,,59 ,49 , 69,,89 ,75 , >98,,70 ,59 , 82,,58 ,48 , 68,,88 ,73 , >98,,78 ,65 , 92,,58 ,48 , 69,,88 ,74 , >98,,80 ,67 , 95,,56 ,47 , 68,,86 ,73 , >98,,81 ,68 , 97,,54 ,45 , 65,,85 ,72 , >98,,79 ,67 , 96,
Honduras,45 ,40 , 50,,88 ,78 , 98,,,,,,45 ,40 , 50,,91 ,81 , >98,,59 ,53 , 66,,48 ,42 , 54,,93 ,83 , >98,,76 ,68 , 86,,37 ,33 , 42,,89 ,78 , >98,,91 ,80 , >98,,36 ,32 , 41,,93 ,83 , >98,,81 ,72 , 92,,42 ,37 , 48,,80 ,71 , 92,,... ,... , ...,,42 ,37 , 48,,83 ,74 , 95,,... ,... , ...,,33 ,29 , 38,,83 ,73 , 96,,81 ,71 , 94,,26 ,22 , 30,,91 ,79 , >98,,94 ,81 , >98,,26 ,22 , 30,,93 ,81 , >98,,88 ,76 , >98,
Hungary,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,,,,,,,,,... ,... , ...,,,,,,,,,,... ,... , ...,,... ,... , ...,,87 ,75 , >98,,77 ,66 , 86,
