Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Botswana,,,,,,,,,,,,,82 ,78 , 86,,83 ,78 , 87,,87 ,82 , 91,,90 ,86 , 95,,92 ,87 , 97,,93 ,88 , >98,,94 ,88 , >98,
Brazil,57 ,52 , 60,,59 ,54 , 63,,61 ,56 , 65,,64 ,58 , 68,,65 ,60 , 70,,65 ,59 , 70,,66 ,60 , 70,,66 ,60 , 71,,68 ,61 , 73,,69 ,63 , 74,
Bulgaria,32 ,27 , 36,"Children estimates were not available at the time of publication.",36 ,31 , 41,"Children estimates were not available at the time of publication.",41 ,34 , 45,"Children estimates were not available at the time of publication.",46 ,39 , 51,"Children estimates were not available at the time of publication.",52 ,44 , 58,"Children estimates were not available at the time of publication.",53 ,45 , 59,"Children estimates were not available at the time of publication.",56 ,47 , 63,"Children estimates were not available at the time of publication.",58 ,50 , 65,"Children estimates were not available at the time of publication.",58 ,49 , 64,"Children estimates were not available at the time of publication.",59 ,50 , 66,"Children estimates were not available at the time of publication."
Burkina Faso,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,64 ,55 , 74,,65 ,56 , 75,,73 ,63 , 84,,74 ,63 , 86,
Burundi,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,77 ,69 , 90,,82 ,73 , 95,,84 ,75 , 98,,82 ,73 , 95,,87 ,78 , >98,
Cabo Verde,,,,,,,,,,,,,,,,,34 ,29 , 40,,25 ,21 , 29,,43 ,36 , 51,,56 ,47 , 67,,58 ,48 , 71,,56 ,45 , 68,
Cambodia,,,,,,,,,68 ,60 , 77,,72 ,63 , 83,,76 ,66 , 87,,78 ,68 , 90,,79 ,68 , 91,,82 ,70 , 95,,87 ,73 , >98,,91 ,75 , >98,
Cameroon,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,56 ,51 , 62,,68 ,62 , 76,,72 ,65 , 81,,80 ,72 , 90,,82 ,74 , 93,
Canada,,,,,67 ,56 , 76,,,,,,70 ,58 , 80,,,,,,74 ,62 , 85,,,,,,72 ,60 , 83,,,,,,,,,
Central African Republic,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Chad,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Chile,48 ,42 , 51,,56 ,49 , 61,,63 ,55 , 68,,67 ,59 , 73,,69 ,61 , 75,,69 ,60 , 75,,73 ,64 , 79,,74 ,64 , 80,,70 ,61 , 76,,68 ,59 , 74,
China,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,34 ,28 , 41,,38 ,31 , 47,,38 ,31 , 48,,44 ,36 , 55,,51 ,41 , 65,,55 ,44 , 70,,54 ,43 , 70,,57 ,46 , 75,,60 ,48 , 80,,,,,
Comoros,,,,,,,,,,,,,41 ,25 , 86,"Children estimates were not available at the time of publication.",45 ,27 , 95,"Children estimates were not available at the time of publication.",44 ,27 , 95,"Children estimates were not available at the time of publication.",48 ,29 , >98,"Children estimates were not available at the time of publication.",54 ,32 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",73 ,42 , >98,"Children estimates were not available at the time of publication."
Congo,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Croatia,62 ,52 , 70,"Children estimates were not available at the time of publication.",67 ,56 , 76,"Children estimates were not available at the time of publication.",71 ,59 , 80,"Children estimates were not available at the time of publication.",72 ,61 , 82,"Children estimates were not available at the time of publication.",76 ,63 , 85,"Children estimates were not available at the time of publication.",76 ,63 , 86,"Children estimates were not available at the time of publication.",77 ,65 , 88,"Children estimates were not available at the time of publication.",81 ,68 , 92,"Children estimates were not available at the time of publication.",83 ,70 , 95,"Children estimates were not available at the time of publication.",84 ,71 , 96,"Children estimates were not available at the time of publication."
Cuba,... ,... , ...,,... ,... , ...,,38 ,33 , 43,,43 ,37 , 47,,44 ,38 , 49,,... ,... , ...,,57 ,49 , 63,,60 ,52 , 67,,59 ,51 , 66,,60 ,52 , 67,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Czechia,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
