Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Mali,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Malta,,,,,43 ,36 , 50,"Children estimates were not available at the time of publication.",47 ,40 , 55,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Mauritius,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Mexico,35 ,32 , 38,,39 ,35 , 41,,42 ,38 , 45,,47 ,43 , 50,,48 ,43 , 51,,53 ,48 , 57,,57 ,51 , 62,,58 ,52 , 63,,58 ,52 , 64,,61 ,54 , 67,
Mongolia,24 ,21 , 27,"Children estimates were not available at the time of publication.",22 ,19 , 24,"Children estimates were not available at the time of publication.",28 ,25 , 31,"Children estimates were not available at the time of publication.",27 ,24 , 30,"Children estimates were not available at the time of publication.",31 ,28 , 35,"Children estimates were not available at the time of publication.",32 ,29 , 36,"Children estimates were not available at the time of publication.",36 ,32 , 40,"Children estimates were not available at the time of publication.",37 ,33 , 41,"Children estimates were not available at the time of publication.",37 ,33 , 42,"Children estimates were not available at the time of publication.",38 ,34 , 42,"Children estimates were not available at the time of publication."
Montenegro,,,,,37 ,31 , 43,"Children estimates were not available at the time of publication.",41 ,34 , 48,"Children estimates were not available at the time of publication.",45 ,38 , 54,"Children estimates were not available at the time of publication.",48 ,40 , 58,"Children estimates were not available at the time of publication.",50 ,42 , 60,"Children estimates were not available at the time of publication.",51 ,42 , 61,"Children estimates were not available at the time of publication.",51 ,42 , 62,"Children estimates were not available at the time of publication.",55 ,45 , 68,"Children estimates were not available at the time of publication.",59 ,48 , 73,"Children estimates were not available at the time of publication."
Morocco,32 ,30 , 36,,36 ,33 , 40,,39 ,36 , 44,,43 ,40 , 48,,47 ,43 , 52,,50 ,46 , 55,,65 ,60 , 72,,65 ,59 , 73,,69 ,62 , 77,,72 ,65 , 81,
Mozambique,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,45 ,43 , 49,,52 ,49 , 56,,59 ,55 , 64,,64 ,60 , 69,,69 ,64 , 75,,75 ,69 , 81,
Myanmar,... ,... , ...,,... ,... , ...,,... ,... , ...,,56 ,47 , 64,,63 ,52 , 73,,... ,... , ...,,... ,... , ...,,... ,... , ...,,72 ,56 , 90,,72 ,54 , 92,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,83 ,77 , 93,,86 ,79 , 96,,90 ,83 , >98,,93 ,86 , >98,
Nepal,,,,,,,,,37 ,33 , 40,,... ,... , ...,,44 ,40 , 48,,51 ,46 , 55,,... ,... , ...,,65 ,58 , 70,,70 ,63 , 76,,74 ,67 , 81,
Netherlands,78 ,71 , 85,,80 ,72 , 87,,82 ,74 , 90,,84 ,76 , 92,,85 ,77 , 94,,86 ,77 , 95,,86 ,76 , 96,,87 ,76 , 96,,87 ,76 , 98,,,,,
New Zealand,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",75 ,63 , 85,"Children estimates were not available at the time of publication.",76 ,64 , 86,"Children estimates were not available at the time of publication.",81 ,68 , 92,"Children estimates were not available at the time of publication.",,,,
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Niger,,,,,,,,,44 ,40 , 50,,54 ,49 , 61,,46 ,41 , 52,,52 ,47 , 58,,54 ,48 , 60,,52 ,46 , 58,,52 ,46 , 59,,... ,... , ...,
Nigeria,,,,,,,,,,,,,... ,... , ...,,45 ,42 , 49,,50 ,47 , 55,,61 ,57 , 67,,67 ,63 , 74,,74 ,68 , 81,,79 ,73 , 87,
North Macedonia,,,,,,,,,41 ,35 , 47,"Children estimates were not available at the time of publication.",44 ,39 , 52,"Children estimates were not available at the time of publication.",41 ,36 , 48,"Children estimates were not available at the time of publication.",50 ,43 , 59,"Children estimates were not available at the time of publication.",51 ,44 , 62,"Children estimates were not available at the time of publication.",52 ,44 , 64,"Children estimates were not available at the time of publication.",55 ,45 , 67,"Children estimates were not available at the time of publication.",56 ,45 , 68,"Children estimates were not available at the time of publication."
Norway,,,,,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,
Oman,26 ,24 , 28,"Children estimates were not available at the time of publication.",31 ,29 , 34,"Children estimates were not available at the time of publication.",35 ,32 , 38,"Children estimates were not available at the time of publication.",40 ,37 , 43,"Children estimates were not available at the time of publication.",48 ,45 , 53,"Children estimates were not available at the time of publication.",50 ,46 , 54,"Children estimates were not available at the time of publication.",54 ,50 , 59,"Children estimates were not available at the time of publication.",55 ,51 , 60,"Children estimates were not available at the time of publication.",59 ,54 , 64,"Children estimates were not available at the time of publication.",63 ,58 , 69,"Children estimates were not available at the time of publication."
Pakistan,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,11 ,10 , 12,,7 ,6 , 7,
Panama,,,,,,,,,,,,,40 ,36 , 43,,,,,,51 ,46 , 56,,43 ,39 , 47,,58 ,53 , 65,,62 ,56 , 68,,62 ,56 , 69,
Papua New Guinea,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,37 ,33 , 42,,39 ,35 , 45,,... ,... , ...,
Paraguay,,,,,,,,,,,,,,,,,,,,,42 ,39 , 45,,... ,... , ...,,50 ,46 , 54,,48 ,44 , 52,,50 ,46 , 53,
Peru,,,,,,,,,43 ,38 , 49,,48 ,43 , 55,,52 ,46 , 60,,55 ,49 , 64,,58 ,51 , 66,,57 ,50 , 65,,66 ,58 , 76,,66 ,58 , 77,
Philippines,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Poland,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,69 ,62 , 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,42 ,33 , 54,"Children estimates were not available at the time of publication.",33 ,26 , 38,"Children estimates were not available at the time of publication.",28 ,22 , 33,"Children estimates were not available at the time of publication.",36 ,28 , 42,"Children estimates were not available at the time of publication.",39 ,31 , 45,"Children estimates were not available at the time of publication.",42 ,33 , 49,"Children estimates were not available at the time of publication.",34 ,27 , 40,"Children estimates were not available at the time of publication.",44 ,36 , 52,"Children estimates were not available at the time of publication.",43 ,34 , 51,"Children estimates were not available at the time of publication.",44 ,34 , 52,"Children estimates were not available at the time of publication."
Republic of Korea,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Republic of Moldova,,,,,,,,,20 ,17 , 24,,27 ,23 , 32,,31 ,27 , 37,,34 ,28 , 40,,37 ,31 , 44,,40 ,34 , 47,,44 ,37 , 52,,48 ,40 , 56,
Romania,,,,,,,,,68 ,62 , 75,,64 ,58 , 71,,64 ,57 , 71,,68 ,61 , 76,,68 ,61 , 76,,70 ,63 , 79,,75 ,67 , 85,,82 ,73 , 93,
Russian Federation,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Rwanda,,,,,65 ,61 , 73,,68 ,64 , 77,,71 ,67 , 81,,74 ,69 , 84,,80 ,75 , 93,,85 ,79 , 98,,87 ,81 , >98,,91 ,84 , >98,,93 ,86 , >98,
Saint Kitts and Nevis,,,,,,,,,31 ,27 , 35,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",32 ,27 , 35,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",48 ,41 , 55,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",50 ,43 , 57,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",53 ,45 , 61,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Saint Lucia,,,,,... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",39 ,34 , 44,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",39 ,34 , 45,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,32 ,28 , 37,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",29 ,25 , 34,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,
Saint Vincent and the Grenadines,... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",39 ,35 , 42,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",45 ,41 , 49,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",44 ,39 , 48,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",51 ,45 , 56,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",53 ,47 , 59,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",54 ,48 , 61,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Sao Tome and Principe,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Saudi Arabia,53 ,49 , 58,"Children estimates were not available at the time of publication.",63 ,58 , 69,"Children estimates were not available at the time of publication.",67 ,61 , 73,"Children estimates were not available at the time of publication.",75 ,69 , 81,"Children estimates were not available at the time of publication.",86 ,80 , 93,"Children estimates were not available at the time of publication.",87 ,82 , 95,"Children estimates were not available at the time of publication.",88 ,82 , 95,"Children estimates were not available at the time of publication.",90 ,85 , >98,"Children estimates were not available at the time of publication.",90 ,85 , >98,"Children estimates were not available at the time of publication.",92 ,86 , >98,"Children estimates were not available at the time of publication."
Senegal,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,73 ,70 , 77,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,62 ,51 , 71,"Children estimates were not available at the time of publication.",62 ,52 , 72,"Children estimates were not available at the time of publication.",64 ,53 , 73,"Children estimates were not available at the time of publication.",,,,
Sierra Leone,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Singapore,74 ,62 , 84,"Children estimates were not available at the time of publication.",76 ,63 , 87,"Children estimates were not available at the time of publication.",79 ,65 , 90,"Children estimates were not available at the time of publication.",79 ,65 , 90,"Children estimates were not available at the time of publication.",82 ,68 , 94,"Children estimates were not available at the time of publication.",84 ,69 , 97,"Children estimates were not available at the time of publication.",83 ,68 , 96,"Children estimates were not available at the time of publication.",83 ,69 , 97,"Children estimates were not available at the time of publication.",85 ,70 , >98,"Children estimates were not available at the time of publication.",,,,
Slovakia,,,,,,,,,,,,,52 ,43 , 61,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,79 ,62 , 93,"Children estimates were not available at the time of publication.",78 ,62 , 92,"Children estimates were not available at the time of publication.",81 ,64 , 95,"Children estimates were not available at the time of publication.",80 ,63 , 94,"Children estimates were not available at the time of publication.",81 ,64 , 95,"Children estimates were not available at the time of publication.",82 ,65 , 97,"Children estimates were not available at the time of publication.",85 ,67 , >98,"Children estimates were not available at the time of publication."
Solomon Islands,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
South Africa,46 ,42 , 50,,51 ,47 , 56,,58 ,53 , 63,,62 ,57 , 67,,65 ,60 , 71,,67 ,62 , 73,,70 ,64 , 76,,71 ,66 , 78,,73 ,67 , 79,,74 ,68 , 81,
South Sudan,,,,,,,,,,,,,... ,... , ...,,19 ,16 , 23,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Spain,,,,,77 ,66 , 85,,79 ,67 , 87,,,,,,81 ,68 , 90,,,,,,83 ,70 , 93,,,,,,,,,,,,,
Sri Lanka,,,,,21 ,19 , 24,"Children estimates were not available at the time of publication.",26 ,24 , 30,"Children estimates were not available at the time of publication.",31 ,28 , 35,"Children estimates were not available at the time of publication.",38 ,34 , 43,"Children estimates were not available at the time of publication.",43 ,38 , 48,"Children estimates were not available at the time of publication.",41 ,36 , 46,"Children estimates were not available at the time of publication.",45 ,40 , 51,"Children estimates were not available at the time of publication.",53 ,46 , 60,"Children estimates were not available at the time of publication.",64 ,55 , 72,"Children estimates were not available at the time of publication."
Sudan,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Suriname,29 ,26 , 32,,30 ,28 , 34,,34 ,31 , 38,,36 ,32 , 40,,37 ,33 , 41,,41 ,36 , 45,,38 ,34 , 43,,36 ,32 , 41,,43 ,38 , 48,,45 ,40 , 51,
Sweden,92 ,81 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",94 ,82 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",94 ,83 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",95 ,83 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",95 ,84 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",95 ,83 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",94 ,81 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",93 ,81 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/)."
Switzerland,76 ,66 , 86,"Children estimates were not available at the time of publication.",80 ,69 , 90,"Children estimates were not available at the time of publication.",86 ,74 , 97,"Children estimates were not available at the time of publication.",87 ,75 , 98,"Children estimates were not available at the time of publication.",86 ,74 , 97,"Children estimates were not available at the time of publication.",88 ,75 , >98,"Children estimates were not available at the time of publication.",87 ,75 , >98,"Children estimates were not available at the time of publication.",89 ,77 , >98,"Children estimates were not available at the time of publication.",89 ,76 , >98,"Children estimates were not available at the time of publication.",,,,
Tajikistan,... ,... , ...,,... ,... , ...,,26 ,25 , 26,,33 ,32 , 33,,39 ,38 , 39,,51 ,50 , 52,,57 ,55 , 57,,61 ,59 , 61,,67 ,65 , 68,,73 ,71 , 74,
Thailand,,,,,,,,,,,,,66 ,59 , 75,,70 ,62 , 79,,73 ,65 , 83,,76 ,68 , 86,,79 ,69 , 89,,83 ,73 , 95,,86 ,75 , >98,
Timor-Leste,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",35 ,31 , 41,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",40 ,34 , 47,"Children estimates were not available at the time of publication.",45 ,38 , 53,"Children estimates were not available at the time of publication."
Togo,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,73 ,60 , 86,,72 ,60 , 87,,79 ,65 , 96,,85 ,69 , >98,
Trinidad and Tobago,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Tunisia,,,,,,,,,,,,,11 ,7 , 17,,,,,,10 ,7 , 16,,17 ,12 , 28,,20 ,13 , 32,,26 ,17 , 43,,22 ,15 , 38,
Türkiye,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,... ,... , ...,,52 ,50 , 56,,59 ,56 , 64,,63 ,60 , 68,,67 ,64 , 72,,69 ,66 , 75,,74 ,70 , 81,,75 ,71 , 83,,77 ,73 , 85,,82 ,77 , 90,
Ukraine,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
United Kingdom,,,,,88 ,74 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",90 ,76 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",90 ,76 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",92 ,78 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",90 ,76 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",91 ,77 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",92 ,78 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",93 ,79 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",,,,
United Republic of Tanzania,,,,,,,,,39 ,37 , 42,,44 ,42 , 48,,53 ,51 , 58,,62 ,59 , 68,,68 ,65 , 75,,72 ,68 , 80,,78 ,73 , 87,,85 ,80 , 96,
United States,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,
Uruguay,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Vanuatu,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Venezuela (Bolivarian Republic of),,,,,,,,,... ,... , ...,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68 ,60 , 76,,71 ,63 , 80,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,
Zambia,,,,,,,,,,,,,... ,... , ...,,72 ,69 , 77,,81 ,77 , 87,,84 ,80 , 91,,89 ,84 , 96,,90 ,85 , 97,,92 ,87 , >98,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,78 ,74 , 89,,83 ,79 , 95,,89 ,84 , >98,,90 ,86 , >98,,91 ,87 , >98,
Global,... ,...,...,,... ,...,...,,... ,...,...,,53 ,48,59,,57 ,52,63,,61 ,55,68,,64 ,58,72,,67 ,61,75,,70 ,64,79,,73 ,66,82,
