Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper, 2022,2022_lower, 2022_upper, 2023,2023_lower, 2023_upper, 2024,2024_lower, 2024_upper
Burundi,11 ,10 , 14,,,,13 ,11 , 15,21 ,18 , 25,14 ,12 , 16,2 ,2 , 3,16 ,13 , 18,27 ,23 , 31,28 ,25 , 33,,,,>98 ,>98 , >98,71 ,61 , 82,75 ,64 , 87,26 ,22 , 30,54 ,46 , 62
Cabo Verde,>98 ,92 , >98,>98 ,96 , >98,69 ,57 , 85,76 ,63 , 95,80 ,67 , >98,59 ,50 , 73,77 ,66 , 96,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,47 ,40 , 55,64 ,55 , 77,35 ,30 , 40,37 ,32 , 44,35 ,30 , 40,72 ,62 , 83,66 ,57 , 76,57 ,49 , 66,65 ,56 , 75,78 ,67 , 89,73 ,63 , 85,12 ,10 , 14,79 ,69 , 91,73 ,64 , 84,87 ,76 , >98
Cameroon,22 ,19 , 27,29 ,25 , 35,35 ,31 , 42,34 ,29 , 42,43 ,37 , 52,39 ,35 , 47,64 ,57 , 77,64 ,56 , 77,72 ,64 , 88,67 ,59 , 81,64 ,56 , 76,59 ,52 , 71,66 ,58 , 80,65 ,57 , 79,47 ,41 , 57
Central African Republic,<1 ,<1 , <1,5 ,4 , 6,,,,2 ,2 , 3,6 ,5 , 8,9 ,8 , 12,16 ,13 , 20,18 ,15 , 22,17 ,14 , 22,14 ,11 , 18,18 ,14 , 22,17 ,13 , 21,26 ,19 , 33,14 ,11 , 19,40 ,28 , 52
Chad,3 ,2 , 3,1 ,1 , 2,5 ,4 , 6,5 ,4 , 6,6 ,5 , 7,4 ,3 , 5,,,,,,,,,,,,,21 ,17 , 26,16 ,14 , 20,10 ,9 , 13,17 ,14 , 21,19 ,16 , 24
Chile,,,,81 ,74 , 89,66 ,61 , 73,64 ,59 , 70,73 ,67 , 79,88 ,82 , 95,69 ,64 , 75,90 ,84 , 98,96 ,88 , >98,>98 ,>98 , >98,>98 ,>98 , >98,>98 ,>98 , >98,88 ,82 , 96,87 ,80 , 94,86 ,79 , 93
China,,,,11 ,9 , 12,17 ,15 , 20,23 ,20 , 25,26 ,23 , 29,,,,,,,,,,,,,71 ,64 , 79,85 ,77 , 95,93 ,84 , >98,>98 ,88 , >98,96 ,86 , >98,94 ,85 , >98
Colombia,13 ,10 , 15,22 ,19 , 27,26 ,22 , 31,36 ,30 , 43,,,,49 ,40 , 58,47 ,38 , 56,49 ,40 , 59,54 ,43 , 66,51 ,39 , 63,,,,35 ,26 , 44,38 ,28 , 49,41 ,29 , 53,44 ,31 , 56
Comoros,,,,11 ,6 , 18,,,,10 ,5 , 17,20 ,10 , 33,,,,,,,80 ,42 , >98,40 ,19 , 65,49 ,24 , 81,29 ,14 , 49,29 ,14 , 50,,,,,,,,,
