,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Azerbaijan,51 ,42 , 60,"Children estimates were not available at the time of publication.",49 ,41 , 58,"Children estimates were not available at the time of publication.",,,,,55 ,47 , 66,"Children estimates were not available at the time of publication.",53 ,45 , 62,"Children estimates were not available at the time of publication.",,,,,60 ,51 , 71,"Children estimates were not available at the time of publication.",56 ,48 , 67,"Children estimates were not available at the time of publication.",50 ,43 , 59,"Children estimates were not available at the time of publication.",65 ,56 , 77,"Children estimates were not available at the time of publication.",62 ,53 , 73,"Children estimates were not available at the time of publication.",83 ,71 , 97,"Children estimates were not available at the time of publication.",71 ,61 , 83,"Children estimates were not available at the time of publication.",71 ,61 , 83,"Children estimates were not available at the time of publication.",76 ,66 , 89,"Children estimates were not available at the time of publication.",74 ,64 , 87,"Children estimates were not available at the time of publication.",73 ,64 , 86,"Children estimates were not available at the time of publication.",83 ,72 , 97,"Children estimates were not available at the time of publication.",79 ,68 , 92,"Children estimates were not available at the time of publication.",76 ,65 , 88,"Children estimates were not available at the time of publication.",79 ,68 , 92,"Children estimates were not available at the time of publication.",85 ,73 , >98,"Children estimates were not available at the time of publication.",71 ,61 , 83,"Children estimates were not available at the time of publication.",>98 ,85 , >98,"Children estimates were not available at the time of publication.",91 ,78 , >98,"Children estimates were not available at the time of publication.",78 ,66 , 90,"Children estimates were not available at the time of publication.",96 ,82 , >98,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",80 ,68 , 94,"Children estimates were not available at the time of publication.",95 ,81 , >98,"Children estimates were not available at the time of publication."
Bahamas,93 ,83 , >98,"Children estimates were not available at the time of publication.",51 ,45 , 56,"Children estimates were not available at the time of publication.",,,,,94 ,83 , >98,"Children estimates were not available at the time of publication.",54 ,47 , 59,"Children estimates were not available at the time of publication.",,,,,95 ,84 , >98,"Children estimates were not available at the time of publication.",69 ,61 , 76,"Children estimates were not available at the time of publication.",66 ,59 , 74,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication.",75 ,66 , 83,"Children estimates were not available at the time of publication.",74 ,66 , 82,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication.",72 ,64 , 80,"Children estimates were not available at the time of publication.",,,,,95 ,84 , >98,"Children estimates were not available at the time of publication.",73 ,65 , 82,"Children estimates were not available at the time of publication.",74 ,66 , 83,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication.",76 ,67 , 84,"Children estimates were not available at the time of publication.",80 ,70 , 89,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication.",78 ,68 , 86,"Children estimates were not available at the time of publication.",80 ,70 , 89,"Children estimates were not available at the time of publication.",95 ,83 , >98,"Children estimates were not available at the time of publication.",73 ,64 , 81,"Children estimates were not available at the time of publication.",91 ,80 , >98,"Children estimates were not available at the time of publication.",96 ,84 , >98,"Children estimates were not available at the time of publication.",77 ,68 , 87,"Children estimates were not available at the time of publication.",91 ,79 , >98,"Children estimates were not available at the time of publication."
Bahrain,46 ,40 , 52,"Children estimates were not available at the time of publication.",66 ,58 , 75,"Children estimates were not available at the time of publication.",,,,,46 ,41 , 51,"Children estimates were not available at the time of publication.",61 ,54 , 68,"Children estimates were not available at the time of publication.",,,,,49 ,44 , 55,"Children estimates were not available at the time of publication.",58 ,52 , 65,"Children estimates were not available at the time of publication.",,,,,56 ,50 , 62,"Children estimates were not available at the time of publication.",72 ,64 , 80,"Children estimates were not available at the time of publication.",,,,,61 ,54 , 68,"Children estimates were not available at the time of publication.",86 ,76 , 95,"Children estimates were not available at the time of publication.",,,,,63 ,55 , 71,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",,,,,62 ,54 , 71,"Children estimates were not available at the time of publication.",83 ,73 , 95,"Children estimates were not available at the time of publication.",,,,,70 ,60 , 80,"Children estimates were not available at the time of publication.",68 ,59 , 78,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",75 ,65 , 87,"Children estimates were not available at the time of publication.",68 ,59 , 79,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",76 ,65 , 89,"Children estimates were not available at the time of publication.",69 ,59 , 81,"Children estimates were not available at the time of publication.",98 ,83 , >98,"Children estimates were not available at the time of publication."
Bangladesh,29 ,26 , 32,,39 ,35 , 43,,,,,,31 ,28 , 34,,42 ,39 , 47,,,,,,35 ,32 , 39,,53 ,48 , 58,,,,,,37 ,33 , 40,,60 ,55 , 66,,,,,,53 ,49 , 58,,45 ,41 , 49,,... ,... , ...,,55 ,50 , 60,,55 ,50 , 60,,... ,... , ...,,54 ,49 , 59,,58 ,53 , 64,,... ,... , ...,,58 ,53 , 64,,60 ,55 , 66,,92 ,84 , >98,,61 ,55 , 66,,67 ,61 , 74,,92 ,84 , >98,,64 ,58 , 70,,71 ,65 , 77,,90 ,82 , >98,
Barbados,91 ,78 , >98,"Children estimates were not available at the time of publication.",49 ,41 , 54,"Children estimates were not available at the time of publication.",,,,,91 ,78 , >98,"Children estimates were not available at the time of publication.",51 ,44 , 58,"Children estimates were not available at the time of publication.",,,,,91 ,78 , >98,"Children estimates were not available at the time of publication.",55 ,46 , 61,"Children estimates were not available at the time of publication.",88 ,75 , >98,"Children estimates were not available at the time of publication.",92 ,78 , >98,"Children estimates were not available at the time of publication.",57 ,49 , 64,"Children estimates were not available at the time of publication.",91 ,78 , >98,"Children estimates were not available at the time of publication.",92 ,79 , >98,"Children estimates were not available at the time of publication.",59 ,51 , 66,"Children estimates were not available at the time of publication.",89 ,76 , >98,"Children estimates were not available at the time of publication.",92 ,79 , >98,"Children estimates were not available at the time of publication.",58 ,50 , 65,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",59 ,51 , 67,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",92 ,79 , >98,"Children estimates were not available at the time of publication.",58 ,50 , 66,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",59 ,51 , 67,"Children estimates were not available at the time of publication.",92 ,79 , >98,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",61 ,53 , 70,"Children estimates were not available at the time of publication.",96 ,83 , >98,"Children estimates were not available at the time of publication."
Belarus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belgium,,,,,,,,,>98 ,93 , >98,,,,,,,,,,>98 ,93 , >98,,,,,,,,,,>98 ,92 , >98,,,,,,,,,,>98 ,92 , >98,,,,,,,,,,>98 ,92 , >98,,92 ,84 , >98,,95 ,88 , >98,,>98 ,91 , >98,,92 ,84 , >98,,96 ,88 , >98,,>98 ,91 , >98,,92 ,83 , >98,,96 ,87 , >98,,>98 ,90 , >98,,92 ,82 , >98,,95 ,85 , >98,,>98 ,89 , >98,,,,,,,,,,,,,
Belize,58 ,52 , 63,"Children estimates were not available at the time of publication.",56 ,50 , 60,"Children estimates were not available at the time of publication.",,,,,58 ,53 , 63,"Children estimates were not available at the time of publication.",58 ,53 , 63,"Children estimates were not available at the time of publication.",61 ,55 , 66,"Children estimates were not available at the time of publication.",59 ,54 , 65,"Children estimates were not available at the time of publication.",57 ,52 , 62,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",64 ,58 , 70,"Children estimates were not available at the time of publication.",59 ,53 , 64,"Children estimates were not available at the time of publication.",67 ,60 , 73,"Children estimates were not available at the time of publication.",67 ,60 , 72,"Children estimates were not available at the time of publication.",58 ,52 , 63,"Children estimates were not available at the time of publication.",47 ,42 , 51,"Children estimates were not available at the time of publication.",68 ,61 , 74,"Children estimates were not available at the time of publication.",56 ,50 , 60,"Children estimates were not available at the time of publication.",65 ,58 , 70,"Children estimates were not available at the time of publication.",69 ,61 , 74,"Children estimates were not available at the time of publication.",57 ,51 , 61,"Children estimates were not available at the time of publication.",61 ,55 , 66,"Children estimates were not available at the time of publication.",71 ,63 , 77,"Children estimates were not available at the time of publication.",58 ,52 , 63,"Children estimates were not available at the time of publication.",72 ,65 , 78,"Children estimates were not available at the time of publication.",73 ,65 , 80,"Children estimates were not available at the time of publication.",61 ,55 , 67,"Children estimates were not available at the time of publication.",78 ,70 , 86,"Children estimates were not available at the time of publication.",76 ,68 , 84,"Children estimates were not available at the time of publication.",63 ,57 , 70,"Children estimates were not available at the time of publication.",76 ,68 , 84,"Children estimates were not available at the time of publication."
Benin,41 ,36 , 48,,95 ,83 , >98,,... ,... , ...,,45 ,39 , 53,,98 ,85 , >98,,... ,... , ...,,47 ,41 , 55,,94 ,82 , >98,,57 ,49 , 67,,49 ,43 , 57,,86 ,75 , >98,,79 ,69 , 92,,56 ,48 , 65,,>98 ,86 , >98,,73 ,63 , 84,,58 ,50 , 67,,>98 ,86 , >98,,82 ,71 , 95,,61 ,53 , 72,,>98 ,86 , >98,,79 ,69 , 93,,66 ,57 , 77,,>98 ,86 , >98,,88 ,76 , >98,,70 ,61 , 83,,>98 ,87 , >98,,90 ,78 , >98,,78 ,67 , 92,,>98 ,86 , >98,,91 ,79 , >98,
Bhutan,50 ,42 , 58,"Children estimates were not available at the time of publication.",75 ,64 , 88,"Children estimates were not available at the time of publication.",,,,,54 ,46 , 63,"Children estimates were not available at the time of publication.",75 ,64 , 88,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",58 ,49 , 67,"Children estimates were not available at the time of publication.",85 ,72 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",60 ,51 , 70,"Children estimates were not available at the time of publication.",92 ,78 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",62 ,52 , 72,"Children estimates were not available at the time of publication.",89 ,74 , >98,"Children estimates were not available at the time of publication.",95 ,80 , >98,"Children estimates were not available at the time of publication.",62 ,52 , 72,"Children estimates were not available at the time of publication.",88 ,74 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",63 ,52 , 74,"Children estimates were not available at the time of publication.",88 ,73 , >98,"Children estimates were not available at the time of publication.",89 ,74 , >98,"Children estimates were not available at the time of publication.",59 ,48 , 69,"Children estimates were not available at the time of publication.",96 ,79 , >98,"Children estimates were not available at the time of publication.",97 ,80 , >98,"Children estimates were not available at the time of publication.",60 ,49 , 71,"Children estimates were not available at the time of publication.",>98 ,81 , >98,"Children estimates were not available at the time of publication.",81 ,67 , 95,"Children estimates were not available at the time of publication.",62 ,51 , 73,"Children estimates were not available at the time of publication.",>98 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
