,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Côte d'Ivoire,53 ,48 , 61,,50 ,45 , 58,,,,,,57 ,51 , 65,,56 ,50 , 64,,,,,,60 ,54 , 69,,63 ,56 , 73,,,,,,63 ,57 , 73,,71 ,64 , 82,,77 ,69 , 89,,67 ,60 , 77,,79 ,70 , 91,,80 ,71 , 93,,69 ,62 , 80,,80 ,71 , 92,,84 ,74 , 97,,71 ,64 , 83,,81 ,72 , 94,,85 ,76 , >98,,74 ,65 , 86,,81 ,72 , 94,,88 ,78 , >98,,76 ,67 , 88,,85 ,75 , >98,,88 ,77 , >98,,78 ,68 , 91,,88 ,78 , >98,,88 ,78 , >98,
Democratic Republic of the Congo,21 ,18 , 25,,79 ,67 , 95,,,,,,26 ,22 , 31,,98 ,83 , >98,,,,,,32 ,27 , 38,,>98 ,84 , >98,,,,,,36 ,31 , 44,,90 ,76 , >98,,,,,,41 ,34 , 49,,96 ,80 , >98,,,,,,52 ,44 , 63,,>98 ,83 , >98,,... ,... , ...,,63 ,53 , 77,,>98 ,83 , >98,,89 ,74 , >98,,71 ,59 , 87,,>98 ,82 , >98,,89 ,74 , >98,,79 ,64 , 97,,>98 ,82 , >98,,... ,... , ...,,78 ,64 , 97,,95 ,77 , >98,,... ,... , ...,
Denmark,91 ,75 , >98,"Children estimates were not available at the time of publication.",87 ,72 , >98,"Children estimates were not available at the time of publication.",,,,,92 ,76 , >98,"Children estimates were not available at the time of publication.",89 ,73 , >98,"Children estimates were not available at the time of publication.",,,,,92 ,76 , >98,"Children estimates were not available at the time of publication.",90 ,74 , >98,"Children estimates were not available at the time of publication.",>98 ,81 , >98,"Children estimates were not available at the time of publication.",93 ,76 , >98,"Children estimates were not available at the time of publication.",92 ,75 , >98,"Children estimates were not available at the time of publication.",>98 ,81 , >98,"Children estimates were not available at the time of publication.",93 ,76 , >98,"Children estimates were not available at the time of publication.",93 ,76 , >98,"Children estimates were not available at the time of publication.",>98 ,80 , >98,"Children estimates were not available at the time of publication.",94 ,76 , >98,"Children estimates were not available at the time of publication.",95 ,77 , >98,"Children estimates were not available at the time of publication.",98 ,79 , >98,"Children estimates were not available at the time of publication.",94 ,76 , >98,"Children estimates were not available at the time of publication.",97 ,79 , >98,"Children estimates were not available at the time of publication.",>98 ,80 , >98,"Children estimates were not available at the time of publication.",94 ,77 , >98,"Children estimates were not available at the time of publication.",98 ,80 , >98,"Children estimates were not available at the time of publication.",>98 ,80 , >98,"Children estimates were not available at the time of publication.",94 ,78 , >98,"Children estimates were not available at the time of publication.",>98 ,81 , >98,"Children estimates were not available at the time of publication.",>98 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,
Djibouti,31 ,22 , 41,,47 ,34 , 62,,,,,,37 ,26 , 49,,48 ,34 , 64,,64 ,46 , 86,,43 ,30 , 57,,42 ,29 , 56,,63 ,44 , 85,,47 ,33 , 63,,44 ,30 , 59,,79 ,55 , >98,,46 ,33 , 62,,41 ,29 , 54,,64 ,45 , 85,,51 ,36 , 68,,41 ,29 , 55,,... ,... , ...,,56 ,39 , 76,,34 ,24 , 46,,63 ,44 , 85,,61 ,44 , 84,,37 ,26 , 50,,74 ,53 , >98,,65 ,48 , 90,,39 ,28 , 53,,73 ,53 , >98,,70 ,51 , 96,,40 ,30 , 55,,65 ,48 , 89,
Dominica,89 ,78 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",30 ,26 , 34,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,88 ,77 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",37 ,32 , 42,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",40 ,35 , 46,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",88 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",37 ,32 , 43,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",35 ,30 , 40,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",89 ,77 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",44 ,38 , 51,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",53 ,45 , 61,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",89 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",46 ,39 , 54,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",>98 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",90 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",51 ,44 , 60,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,91 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",57 ,48 , 68,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",93 ,79 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",91 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",56 ,47 , 68,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",77 ,65 , 93,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",91 ,77 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",63 ,53 , 77,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",61 ,51 , 74,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",92 ,77 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",70 ,58 , 86,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",85 ,71 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,53 ,45 , 63,,60 ,50 , 70,,,,,,60 ,50 , 71,,58 ,49 , 69,,,,,,64 ,52 , 75,,60 ,49 , 71,,53 ,43 , 63,,73 ,59 , 87,,57 ,46 , 68,,90 ,73 , >98,,80 ,64 , 95,,57 ,45 , 68,,84 ,67 , >98,,77 ,61 , 92,,63 ,50 , 75,,95 ,75 , >98,,83 ,65 , >98,,65 ,51 , 78,,85 ,66 , >98,,88 ,68 , >98,,71 ,55 , 85,,82 ,64 , >98,,92 ,71 , >98,,69 ,53 , 83,,87 ,67 , >98,,93 ,71 , >98,,73 ,56 , 89,,96 ,73 , >98,
Ecuador,,,,,,,,,,,,,53 ,46 , 59,,83 ,73 , 94,,,,,,66 ,58 , 75,,76 ,67 , 86,,,,,,76 ,67 , 86,,75 ,66 , 85,,87 ,77 , >98,,84 ,74 , 96,,82 ,72 , 93,,73 ,65 , 83,,83 ,74 , 95,,88 ,78 , >98,,90 ,80 , >98,,85 ,75 , 97,,86 ,76 , 98,,89 ,78 , >98,,95 ,83 , >98,,85 ,75 , 97,,83 ,73 , 95,,97 ,84 , >98,,88 ,77 , >98,,88 ,77 , >98,,>98 ,85 , >98,,88 ,76 , >98,,91 ,79 , >98,
Egypt,21 ,16 , 28,,35 ,27 , 47,,,,,,25 ,19 , 34,,39 ,29 , 52,,,,,,30 ,22 , 39,,45 ,34 , 61,,,,,,34 ,26 , 46,,52 ,39 , 70,,,,,,38 ,29 , 51,,56 ,42 , 76,,,,,,42 ,31 , 57,,59 ,44 , 81,,... ,... , ...,,46 ,34 , 63,,60 ,44 , 81,,... ,... , ...,,52 ,38 , 70,,65 ,48 , 88,,... ,... , ...,,56 ,41 , 77,,67 ,49 , 91,,87 ,64 , >98,,62 ,45 , 86,,72 ,53 , >98,,80 ,59 , >98,
El Salvador,95 ,85 , >98,,55 ,49 , 60,,... ,... , ...,,95 ,85 , >98,,58 ,52 , 64,,79 ,71 , 87,,95 ,85 , >98,,59 ,53 , 65,,82 ,74 , 90,,94 ,84 , >98,,60 ,54 , 67,,84 ,75 , 93,,95 ,85 , >98,,72 ,64 , 80,,90 ,80 , >98,,95 ,84 , >98,,75 ,66 , 84,,87 ,77 , 97,,95 ,83 , >98,,79 ,69 , 88,,91 ,80 , >98,,95 ,83 , >98,,80 ,70 , 90,,93 ,81 , >98,,95 ,83 , >98,,82 ,71 , 91,,85 ,75 , 96,,95 ,83 , >98,,82 ,72 , 93,,94 ,82 , >98,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Eritrea,71 ,56 , 86,,87 ,69 , >98,,,,,,74 ,59 , 90,,91 ,73 , >98,,,,,,74 ,60 , 90,,84 ,67 , >98,,,,,,76 ,62 , 92,,81 ,66 , >98,,80 ,65 , 97,,78 ,63 , 93,,82 ,67 , >98,,87 ,70 , >98,,79 ,65 , 94,,88 ,72 , >98,,89 ,73 , >98,,80 ,65 , 95,,83 ,68 , >98,,87 ,71 , >98,,81 ,66 , 96,,86 ,71 , >98,,90 ,74 , >98,,81 ,67 , 97,,87 ,72 , >98,,93 ,77 , >98,,81 ,67 , 98,,88 ,73 , >98,,96 ,79 , >98,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,>98 ,84 , >98,"Children estimates were not available at the time of publication.",67 ,57 , 75,"Children estimates were not available at the time of publication.",,,,,>98 ,84 , >98,"Children estimates were not available at the time of publication.",69 ,59 , 77,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",>98 ,85 , >98,"Children estimates were not available at the time of publication.",71 ,61 , 79,"Children estimates were not available at the time of publication.",,,,,>98 ,85 , >98,"Children estimates were not available at the time of publication.",70 ,60 , 78,"Children estimates were not available at the time of publication.",96 ,83 , >98,"Children estimates were not available at the time of publication.",>98 ,85 , >98,"Children estimates were not available at the time of publication.",69 ,60 , 78,"Children estimates were not available at the time of publication.",96 ,83 , >98,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",68 ,60 , 78,"Children estimates were not available at the time of publication.",97 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,
Eswatini,91 ,85 , 98,,62 ,58 , 66,,,,,,93 ,87 , >98,,68 ,64 , 73,,91 ,85 , >98,,95 ,89 , >98,,66 ,62 , 72,,91 ,85 , >98,,96 ,89 , >98,,68 ,63 , 74,,93 ,87 , >98,,96 ,90 , >98,,74 ,69 , 81,,97 ,90 , >98,,95 ,89 , >98,,81 ,76 , 90,,95 ,88 , >98,,95 ,88 , >98,,79 ,74 , 88,,>98 ,91 , >98,,95 ,89 , >98,,82 ,77 , 91,,>98 ,92 , >98,,95 ,89 , >98,,84 ,79 , 93,,>98 ,92 , >98,,96 ,90 , >98,,87 ,81 , 97,,>98 ,92 , >98,
Ethiopia,77 ,65 , 92,,82 ,68 , 98,,,,,,83 ,69 , >98,,87 ,72 , >98,,,,,,85 ,71 , >98,,87 ,73 , >98,,... ,... , ...,,87 ,73 , >98,,88 ,73 , >98,,90 ,75 , >98,,89 ,74 , >98,,92 ,77 , >98,,90 ,75 , >98,,91 ,76 , >98,,93 ,78 , >98,,92 ,77 , >98,,91 ,76 , >98,,91 ,76 , >98,,95 ,80 , >98,,93 ,78 , >98,,94 ,79 , >98,,>98 ,83 , >98,,94 ,79 , >98,,94 ,79 , >98,,96 ,80 , >98,,96 ,80 , >98,,96 ,81 , >98,,96 ,80 , >98,
Fiji,31 ,17 , 44,,94 ,51 , >98,,,,,,27 ,16 , 35,,79 ,46 , >98,,,,,,26 ,17 , 34,,73 ,47 , 95,,,,,,25 ,18 , 32,,77 ,55 , >98,,... ,... , ...,,23 ,18 , 30,,81 ,61 , >98,,75 ,57 , 96,,22 ,17 , 28,,83 ,64 , >98,,... ,... , ...,,23 ,17 , 28,,86 ,66 , >98,,... ,... , ...,,21 ,16 , 27,,72 ,55 , 96,,... ,... , ...,,25 ,19 , 36,,64 ,48 , 92,,... ,... , ...,,39 ,28 , 61,,72 ,52 , >98,,... ,... , ...,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication."
France,,,,,,,,,95 ,77 , >98,,,,,,,,,,96 ,78 , >98,,,,,,,,,,96 ,78 , >98,,,,,,,,,,96 ,79 , >98,,,,,,,,,,96 ,79 , >98,,,,,,,,,,97 ,80 , >98,,92 ,76 , >98,,96 ,79 , >98,,>98 ,81 , >98,,93 ,77 , >98,,96 ,79 , >98,,>98 ,81 , >98,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,69 ,59 , 80,,67 ,57 , 78,,,,,,70 ,60 , 81,,66 ,57 , 77,,,,,,70 ,61 , 82,,67 ,58 , 78,,,,,,70 ,61 , 82,,67 ,59 , 78,,... ,... , ...,,71 ,61 , 84,,68 ,59 , 80,,... ,... , ...,,72 ,62 , 84,,69 ,59 , 81,,... ,... , ...,,73 ,63 , 86,,71 ,61 , 84,,... ,... , ...,,75 ,64 , 89,,83 ,71 , >98,,... ,... , ...,,76 ,65 , 92,,83 ,71 , >98,,... ,... , ...,,79 ,68 , 97,,94 ,80 , >98,,... ,... , ...,
Gambia,37 ,29 , 47,,32 ,25 , 41,,,,,,39 ,31 , 50,,36 ,28 , 46,,,,,,41 ,32 , 52,,34 ,27 , 43,,,,,,43 ,33 , 54,,37 ,29 , 47,,,,,,44 ,34 , 56,,39 ,30 , 50,,... ,... , ...,,45 ,35 , 58,,40 ,30 , 51,,... ,... , ...,,47 ,36 , 60,,41 ,31 , 52,,... ,... , ...,,49 ,37 , 62,,46 ,35 , 59,,... ,... , ...,,51 ,38 , 65,,47 ,36 , 61,,59 ,44 , 75,,53 ,40 , 69,,52 ,39 , 67,,78 ,59 , >98,
Georgia,85 ,78 , 91,"Children estimates were not available at the time of publication.",67 ,62 , 72,"Children estimates were not available at the time of publication.",84 ,78 , 91,"Children estimates were not available at the time of publication.",87 ,81 , 93,"Children estimates were not available at the time of publication.",71 ,66 , 75,"Children estimates were not available at the time of publication.",87 ,81 , 93,"Children estimates were not available at the time of publication.",84 ,78 , 90,"Children estimates were not available at the time of publication.",77 ,72 , 82,"Children estimates were not available at the time of publication.",89 ,83 , 94,"Children estimates were not available at the time of publication.",83 ,78 , 88,"Children estimates were not available at the time of publication.",80 ,75 , 85,"Children estimates were not available at the time of publication.",88 ,83 , 94,"Children estimates were not available at the time of publication.",80 ,75 , 85,"Children estimates were not available at the time of publication.",86 ,81 , 91,"Children estimates were not available at the time of publication.",91 ,86 , 97,"Children estimates were not available at the time of publication.",84 ,79 , 89,"Children estimates were not available at the time of publication.",82 ,77 , 88,"Children estimates were not available at the time of publication.",>98 ,93 , >98,"Children estimates were not available at the time of publication.",83 ,79 , 88,"Children estimates were not available at the time of publication.",82 ,77 , 87,"Children estimates were not available at the time of publication.",94 ,89 , >98,"Children estimates were not available at the time of publication.",83 ,78 , 88,"Children estimates were not available at the time of publication.",82 ,77 , 86,"Children estimates were not available at the time of publication.",92 ,87 , 97,"Children estimates were not available at the time of publication.",85 ,81 , 90,"Children estimates were not available at the time of publication.",81 ,76 , 85,"Children estimates were not available at the time of publication.",94 ,89 , >98,"Children estimates were not available at the time of publication.",88 ,83 , 92,"Children estimates were not available at the time of publication.",82 ,77 , 86,"Children estimates were not available at the time of publication.",94 ,89 , >98,"Children estimates were not available at the time of publication."
Germany,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,,,,,,,,,,,,
Ghana,46 ,40 , 53,,38 ,33 , 44,,,,,,46 ,40 , 54,,43 ,38 , 50,,,,,,47 ,41 , 54,,49 ,43 , 57,,,,,,48 ,41 , 55,,51 ,44 , 59,,66 ,58 , 77,,49 ,43 , 57,,52 ,45 , 61,,68 ,59 , 80,,50 ,44 , 59,,57 ,50 , 67,,73 ,63 , 85,,52 ,45 , 61,,61 ,52 , 72,,79 ,68 , 93,,54 ,47 , 65,,68 ,58 , 81,,68 ,59 , 81,,56 ,48 , 67,,69 ,59 , 83,,89 ,77 , >98,,57 ,49 , 70,,70 ,60 , 85,,90 ,76 , >98,
Greece,87 ,71 , >98,"Children estimates were not available at the time of publication.",74 ,61 , 84,"Children estimates were not available at the time of publication.",,,,,88 ,72 , >98,"Children estimates were not available at the time of publication.",79 ,64 , 89,"Children estimates were not available at the time of publication.",,,,,88 ,72 , >98,"Children estimates were not available at the time of publication.",80 ,65 , 90,"Children estimates were not available at the time of publication.",,,,,89 ,73 , >98,"Children estimates were not available at the time of publication.",78 ,64 , 89,"Children estimates were not available at the time of publication.",,,,,89 ,73 , >98,"Children estimates were not available at the time of publication.",77 ,63 , 87,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",89 ,73 , >98,"Children estimates were not available at the time of publication.",77 ,62 , 87,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",89 ,72 , >98,"Children estimates were not available at the time of publication.",76 ,62 , 87,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",89 ,72 , >98,"Children estimates were not available at the time of publication.",76 ,62 , 86,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",89 ,73 , >98,"Children estimates were not available at the time of publication.",75 ,61 , 86,"Children estimates were not available at the time of publication.",97 ,79 , >98,"Children estimates were not available at the time of publication.",89 ,73 , >98,"Children estimates were not available at the time of publication.",76 ,61 , 86,"Children estimates were not available at the time of publication.",82 ,66 , 94,"Children estimates were not available at the time of publication."
Guatemala,66 ,53 , 82,,83 ,68 , >98,,... ,... , ...,,69 ,56 , 87,,82 ,67 , >98,,86 ,70 , >98,,72 ,60 , 91,,85 ,71 , >98,,82 ,68 , >98,,74 ,61 , 94,,93 ,77 , >98,,89 ,73 , >98,,77 ,63 , 98,,94 ,78 , >98,,90 ,74 , >98,,83 ,68 , >98,,88 ,72 , >98,,89 ,73 , >98,,87 ,72 , >98,,88 ,73 , >98,,92 ,76 , >98,,93 ,76 , >98,,85 ,70 , >98,,93 ,77 , >98,,96 ,79 , >98,,83 ,68 , >98,,81 ,67 , >98,,... ,... , ...,,... ,... , ...,,87 ,71 , >98,
Guinea,35 ,30 , 40,,71 ,61 , 83,,,,,,36 ,31 , 42,,70 ,60 , 82,,,,,,40 ,35 , 47,,89 ,77 , >98,,,,,,41 ,36 , 49,,74 ,63 , 87,,,,,,46 ,39 , 54,,77 ,66 , 91,,,,,,49 ,42 , 58,,80 ,68 , 94,,... ,... , ...,,53 ,45 , 63,,85 ,72 , >98,,... ,... , ...,,58 ,49 , 68,,89 ,75 , >98,,... ,... , ...,,63 ,53 , 74,,89 ,75 , >98,,... ,... , ...,,68 ,57 , 81,,94 ,79 , >98,,... ,... , ...,
Guinea-Bissau,42 ,36 , 48,,46 ,40 , 53,,,,,,45 ,39 , 52,,56 ,48 , 64,,,,,,47 ,40 , 54,,49 ,42 , 57,,,,,,48 ,41 , 56,,45 ,38 , 52,,,,,,53 ,45 , 62,,63 ,54 , 73,,,,,,57 ,49 , 66,,63 ,53 , 73,,,,,,61 ,52 , 71,,72 ,61 , 84,,,,,,65 ,55 , 76,,75 ,64 , 88,,... ,... , ...,,68 ,58 , 80,,72 ,61 , 85,,... ,... , ...,,72 ,61 , 85,,86 ,73 , >98,,... ,... , ...,
Guyana,72 ,51 , >98,,69 ,48 , >98,,,,,,79 ,56 , >98,,67 ,48 , >98,,83 ,59 , >98,,89 ,64 , >98,,64 ,45 , 97,,84 ,60 , >98,,88 ,63 , >98,,64 ,46 , 97,,89 ,64 , >98,,93 ,68 , >98,,64 ,46 , 95,,88 ,64 , >98,,95 ,70 , >98,,60 ,44 , 89,,91 ,67 , >98,,96 ,71 , >98,,61 ,46 , 89,,... ,... , ...,,97 ,72 , >98,,62 ,46 , 89,,... ,... , ...,,97 ,72 , >98,,64 ,47 , 90,,87 ,65 , >98,,97 ,73 , >98,,68 ,51 , 95,,90 ,67 , >98,
Haiti,57 ,51 , 66,,54 ,48 , 62,,,,,,60 ,53 , 69,,50 ,45 , 57,,... ,... , ...,,63 ,56 , 72,,75 ,67 , 86,,73 ,65 , 84,,65 ,59 , 75,,73 ,66 , 84,,77 ,69 , 88,,68 ,61 , 78,,91 ,82 , >98,,79 ,71 , 91,,75 ,68 , 87,,>98 ,90 , >98,,83 ,74 , 95,,78 ,70 , 90,,>98 ,89 , >98,,86 ,77 , >98,,81 ,72 , 93,,>98 ,89 , >98,,86 ,77 , >98,,83 ,73 , 96,,>98 ,88 , >98,,85 ,75 , 98,,87 ,77 , >98,,>98 ,88 , >98,,85 ,75 , >98,
Honduras,,,,,,,,,,,,,61 ,54 , 68,,83 ,74 , 93,,83 ,74 , 93,,66 ,59 , 73,,84 ,75 , 94,,83 ,74 , 92,,69 ,62 , 77,,84 ,75 , 94,,85 ,76 , 95,,73 ,65 , 82,,83 ,74 , 93,,88 ,78 , >98,,75 ,67 , 84,,84 ,74 , 94,,>98 ,88 , >98,,78 ,69 , 88,,85 ,76 , 96,,98 ,87 , >98,,80 ,71 , 91,,88 ,78 , >98,,93 ,83 , >98,,81 ,72 , 92,,89 ,79 , >98,,94 ,83 , >98,,86 ,75 , 98,,88 ,77 , >98,,95 ,83 , >98,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,78 ,61 , 91,"Children estimates were not available at the time of publication.",>98 ,77 , >98,"Children estimates were not available at the time of publication.",98 ,77 , >98,"Children estimates were not available at the time of publication.",79 ,63 , 94,"Children estimates were not available at the time of publication.",>98 ,79 , >98,"Children estimates were not available at the time of publication.",97 ,77 , >98,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,86 ,69 , >98,"Children estimates were not available at the time of publication.",>98 ,80 , >98,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,86 ,68 , >98,"Children estimates were not available at the time of publication.",97 ,78 , >98,"Children estimates were not available at the time of publication.",98 ,78 , >98,"Children estimates were not available at the time of publication.",92 ,72 , >98,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication.",>98 ,79 , >98,"Children estimates were not available at the time of publication.",90 ,70 , >98,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication."
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,,,,,,,,,... ,... , ...,,,,,,,,,,94 ,85 , >98,,63 ,56 , 69,,70 ,63 , 77,,95 ,86 , >98,
Iran (Islamic Republic of),... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,58 ,46 , 76,,74 ,58 , 96,,92 ,73 , >98,
