Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,4 ,1 , 9,,3 ,<1 , 6,,1 ,<1 , 3,,6 ,2 , 13,,9 ,2 , 20,,7 ,2 , 17,,8 ,2 , 18,,16 ,5 , 37,,15 ,4 , 37,,20 ,5 , 49,,20 ,6 , 48,,29 ,7 , 69,,23 ,6 , 55,,21 ,5 , 53,,14 ,3 , 38,
Albania,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Algeria,53 ,48 , 59,,51 ,46 , 56,,42 ,38 , 46,,64 ,59 , 69,,32 ,30 , 34,,29 ,28 , 31,,50 ,46 , 54,,60 ,56 , 64,,70 ,65 , 75,,74 ,68 , 80,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Angola,14 ,12 , 17,,10 ,8 , 12,,12 ,10 , 14,,20 ,18 , 24,,31 ,26 , 36,,29 ,25 , 33,,26 ,22 , 31,,24 ,20 , 28,,33 ,28 , 38,,51 ,43 , 60,,57 ,48 , 65,,63 ,55 , 74,,70 ,60 , 81,,76 ,64 , 89,,79 ,67 , 92,
Antigua and Barbuda,... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Armenia,57 ,43 , 76,,43 ,33 , 54,,36 ,28 , 46,,49 ,39 , 65,,67 ,53 , 84,,65 ,53 , 79,,72 ,60 , 85,,70 ,57 , 87,,92 ,73 , >98,,98 ,74 , >98,,80 ,63 , >98,,80 ,60 , >98,,87 ,61 , >98,,88 ,58 , >98,,90 ,55 , >98,
Australia,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
