Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_Footnote
Bosnia and Herzegovina,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Botswana,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 15 000,,13 000 ,11 000 , 14 000,,12 000 ,10 000 , 13 000,,12 000 ,10 000 , 13 000,,11 000 ,9800 , 12 000,,10 000 ,9400 , 11 000,,9200 ,8400 , 9800,,8200 ,7400 , 9000,,7300 ,6400 , 8000,,6700 ,5800 , 7400,,5500 ,4700 , 6300,,4700 ,3900 , 5500,,4300 ,3500 , 5300,,4200 ,3300 , 5200,,-69,
Brazil,51 000 ,46 000 , 56 000,,55 000 ,49 000 , 60 000,,59 000 ,53 000 , 64 000,,62 000 ,55 000 , 68 000,,65 000 ,57 000 , 72 000,,67 000 ,58 000 , 74 000,,68 000 ,59 000 , 75 000,,69 000 ,60 000 , 76 000,,69 000 ,59 000 , 76 000,,68 000 ,59 000 , 75 000,,66 000 ,57 000 , 74 000,,64 000 ,55 000 , 72 000,,62 000 ,52 000 , 70 000,,58 000 ,49 000 , 68 000,,55 000 ,46 000 , 66 000,,8,
Brunei Darussalam,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Bulgaria,<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",35,"Children estimates were not available at the time of publication."
Burkina Faso,4700 ,3600 , 5900,,4100 ,3100 , 5300,,4000 ,3000 , 5200,,3600 ,2700 , 4800,,3100 ,2300 , 4300,,3500 ,2700 , 4600,,3300 ,2500 , 4400,,3200 ,2300 , 4300,,3400 ,2500 , 4500,,3000 ,2100 , 4100,,2800 ,1900 , 3800,,3100 ,2100 , 4300,,2900 ,2000 , 4400,,3100 ,2100 , 4600,,3000 ,2000 , 4300,,-37,
Burundi,4500 ,3300 , 6000,,3800 ,2600 , 5000,,3500 ,2400 , 4800,,3100 ,2000 , 4400,,3000 ,1900 , 4200,,2800 ,1800 , 4000,,2200 ,1400 , 3300,,1900 ,1200 , 3000,,1500 ,980 , 2500,,1500 ,990 , 2300,,1400 ,960 , 2100,,1500 ,1100 , 2300,,1400 ,1000 , 2100,,1300 ,990 , 2000,,1400 ,1100 , 2100,,-68,
Cabo Verde,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,12,
Cambodia,2200 ,2000 , 2500,,2000 ,1800 , 2200,,1900 ,1700 , 2100,,1800 ,1600 , 2000,,1800 ,1600 , 2000,,1700 ,1500 , 1800,,1700 ,1500 , 1800,,1600 ,1500 , 1800,,1600 ,1400 , 1700,,1600 ,1400 , 1700,,1600 ,1400 , 1700,,1600 ,1500 , 1800,,1600 ,1400 , 1800,,1500 ,1300 , 1600,,1200 ,1100 , 1300,,-45,
Cameroon,36 000 ,31 000 , 42 000,,34 000 ,29 000 , 40 000,,29 000 ,25 000 , 35 000,,26 000 ,22 000 , 32 000,,24 000 ,20 000 , 31 000,,23 000 ,19 000 , 30 000,,23 000 ,18 000 , 30 000,,21 000 ,17 000 , 28 000,,20 000 ,16 000 , 27 000,,20 000 ,16 000 , 27 000,,19 000 ,15 000 , 26 000,,17 000 ,13 000 , 24 000,,14 000 ,10 000 , 21 000,,13 000 ,9600 , 19 000,,13 000 ,10 000 , 18 000,,-63,
