,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Costa Rica,55 ,49 , 60,,75 ,67 , 82,,,,,,56 ,51 , 62,,76 ,68 , 83,,,,,,59 ,53 , 65,,77 ,68 , 84,,,,,,62 ,55 , 68,,81 ,71 , 89,,,,,,63 ,55 , 69,,85 ,74 , 93,,,,,,63 ,55 , 69,,82 ,72 , 90,,,,,,68 ,59 , 75,,88 ,76 , 97,,,,,,67 ,58 , 74,,91 ,79 , >98,,,,,,68 ,59 , 76,,91 ,79 , >98,,,,,,69 ,59 , 76,,90 ,77 , >98,,,,,
Croatia,69 ,58 , 78,"Children estimates were not available at the time of publication.",91 ,76 , >98,"Children estimates were not available at the time of publication.",>98 ,82 , >98,"Children estimates were not available at the time of publication.",72 ,61 , 82,"Children estimates were not available at the time of publication.",94 ,79 , >98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",75 ,63 , 86,"Children estimates were not available at the time of publication.",95 ,80 , >98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",77 ,65 , 88,"Children estimates were not available at the time of publication.",95 ,79 , >98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",80 ,66 , 90,"Children estimates were not available at the time of publication.",96 ,80 , >98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",80 ,67 , 90,"Children estimates were not available at the time of publication.",96 ,80 , >98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",81 ,68 , 92,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",84 ,70 , 95,"Children estimates were not available at the time of publication.",98 ,82 , >98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",85 ,72 , 97,"Children estimates were not available at the time of publication.",98 ,82 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",86 ,72 , 98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication."
Cuba,66 ,58 , 73,,77 ,66 , 85,,... ,... , ...,,69 ,59 , 76,,80 ,69 , 88,,... ,... , ...,,71 ,62 , 79,,83 ,72 , 92,,65 ,57 , 73,,73 ,64 , 82,,86 ,75 , 96,,67 ,58 , 75,,76 ,66 , 85,,89 ,77 , >98,,65 ,56 , 73,,75 ,64 , 83,,89 ,77 , >98,,... ,... , ...,,77 ,66 , 85,,87 ,76 , 97,,84 ,73 , 94,,78 ,67 , 87,,90 ,77 , >98,,86 ,74 , 96,,79 ,68 , 88,,87 ,75 , 97,,86 ,75 , 96,,81 ,70 , 90,,84 ,73 , 94,,88 ,76 , >98,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Czechia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Côte d'Ivoire,62 ,55 , 70,,55 ,50 , 62,,,,,,65 ,59 , 74,,64 ,57 , 72,,,,,,70 ,62 , 80,,74 ,66 , 84,,,,,,73 ,65 , 84,,78 ,70 , 90,,77 ,69 , 88,,76 ,67 , 88,,82 ,73 , 94,,79 ,70 , 91,,78 ,70 , 91,,84 ,75 , 97,,82 ,73 , 95,,80 ,71 , 93,,85 ,76 , >98,,84 ,75 , 98,,82 ,73 , 96,,85 ,76 , >98,,87 ,77 , >98,,84 ,74 , >98,,88 ,78 , >98,,88 ,77 , >98,,85 ,75 , >98,,92 ,80 , >98,,89 ,78 , >98,
Democratic Republic of the Congo,35 ,31 , 42,,60 ,52 , 71,,,,,,42 ,36 , 49,,66 ,57 , 77,,,,,,49 ,43 , 58,,75 ,65 , 89,,,,,,53 ,46 , 63,,68 ,58 , 80,,,,,,57 ,49 , 67,,71 ,61 , 84,,,,,,63 ,54 , 75,,83 ,71 , >98,,... ,... , ...,,69 ,59 , 82,,89 ,75 , >98,,89 ,76 , >98,,73 ,62 , 88,,92 ,77 , >98,,... ,... , ...,,77 ,64 , 92,,96 ,80 , >98,,... ,... , ...,,77 ,63 , 94,,93 ,76 , >98,,... ,... , ...,
Denmark,93 ,80 , >98,"Children estimates were not available at the time of publication.",86 ,74 , 96,"Children estimates were not available at the time of publication.",,,,,93 ,81 , >98,"Children estimates were not available at the time of publication.",87 ,75 , 97,"Children estimates were not available at the time of publication.",,,,,94 ,80 , >98,"Children estimates were not available at the time of publication.",89 ,76 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",94 ,80 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",94 ,81 , >98,"Children estimates were not available at the time of publication.",91 ,78 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",95 ,81 , >98,"Children estimates were not available at the time of publication.",93 ,79 , >98,"Children estimates were not available at the time of publication.",98 ,83 , >98,"Children estimates were not available at the time of publication.",95 ,81 , >98,"Children estimates were not available at the time of publication.",94 ,80 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",95 ,81 , >98,"Children estimates were not available at the time of publication.",95 ,81 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",96 ,82 , >98,"Children estimates were not available at the time of publication.",97 ,83 , >98,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",96 ,82 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,
Djibouti,31 ,23 , 41,,50 ,37 , 64,,,,,,37 ,28 , 49,,51 ,38 , 67,,62 ,46 , 82,,43 ,31 , 57,,51 ,37 , 67,,61 ,45 , 81,,47 ,34 , 63,,53 ,38 , 70,,76 ,55 , >98,,46 ,33 , 60,,41 ,29 , 54,,63 ,45 , 83,,50 ,36 , 66,,41 ,30 , 54,,62 ,44 , 81,,55 ,40 , 73,,35 ,26 , 47,,72 ,52 , 95,,60 ,44 , 81,,37 ,27 , 50,,75 ,55 , >98,,63 ,47 , 86,,41 ,30 , 55,,73 ,54 , >98,,70 ,52 , 95,,35 ,26 , 47,,66 ,48 , 89,
Dominica,87 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",32 ,28 , 37,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,86 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",42 ,36 , 48,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",42 ,37 , 48,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",87 ,74 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",41 ,35 , 47,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",46 ,40 , 53,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",88 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",51 ,44 , 60,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",55 ,47 , 64,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",88 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",54 ,46 , 63,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",>98 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",89 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",60 ,51 , 70,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,90 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",65 ,55 , 77,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",91 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",90 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",64 ,53 , 76,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",81 ,67 , 97,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",91 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",70 ,57 , 84,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",58 ,47 , 70,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",91 ,74 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",71 ,58 , 87,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",88 ,72 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,55 ,47 , 62,,62 ,53 , 70,,,,,,61 ,52 , 70,,59 ,50 , 67,,,,,,68 ,57 , 78,,58 ,48 , 66,,63 ,53 , 72,,75 ,62 , 86,,56 ,47 , 64,,93 ,78 , >98,,81 ,66 , 94,,55 ,45 , 64,,84 ,68 , 97,,78 ,63 , 91,,62 ,50 , 72,,96 ,77 , >98,,83 ,66 , 97,,65 ,51 , 76,,86 ,68 , >98,,87 ,68 , >98,,70 ,55 , 82,,82 ,64 , 96,,90 ,69 , >98,,68 ,52 , 80,,87 ,67 , >98,,92 ,69 , >98,,72 ,55 , 85,,96 ,73 , >98,
Ecuador,,,,,,,,,,,,,54 ,48 , 61,,80 ,72 , 91,,,,,,66 ,59 , 74,,75 ,68 , 85,,,,,,75 ,67 , 84,,75 ,67 , 84,,89 ,80 , >98,,82 ,73 , 92,,82 ,73 , 92,,75 ,68 , 85,,81 ,72 , 91,,89 ,79 , >98,,90 ,80 , >98,,82 ,73 , 92,,87 ,77 , 98,,89 ,79 , >98,,91 ,81 , >98,,84 ,75 , 96,,80 ,71 , 91,,91 ,80 , >98,,88 ,78 , >98,,89 ,79 , >98,,92 ,81 , >98,,89 ,78 , >98,,92 ,81 , >98,
Egypt,20 ,15 , 27,,41 ,31 , 54,,,,,,24 ,18 , 32,,44 ,33 , 59,,,,,,29 ,22 , 39,,52 ,40 , 69,,,,,,33 ,25 , 45,,59 ,45 , 79,,,,,,37 ,28 , 50,,62 ,47 , 83,,,,,,41 ,31 , 56,,63 ,47 , 86,,... ,... , ...,,45 ,34 , 61,,63 ,47 , 86,,... ,... , ...,,50 ,38 , 68,,68 ,50 , 91,,82 ,61 , >98,,54 ,40 , 74,,70 ,51 , 94,,87 ,64 , >98,,59 ,44 , 82,,75 ,55 , >98,,79 ,58 , >98,
El Salvador,92 ,85 , >98,,61 ,56 , 66,,93 ,85 , >98,,93 ,85 , >98,,65 ,59 , 70,,80 ,73 , 87,,93 ,85 , >98,,66 ,60 , 72,,83 ,76 , 90,,93 ,84 , >98,,67 ,61 , 72,,85 ,77 , 92,,93 ,85 , >98,,74 ,67 , 81,,90 ,82 , >98,,93 ,84 , >98,,76 ,69 , 83,,87 ,78 , 95,,93 ,84 , >98,,80 ,71 , 88,,92 ,82 , >98,,93 ,83 , >98,,80 ,72 , 88,,93 ,83 , >98,,93 ,82 , >98,,82 ,72 , 90,,86 ,76 , 94,,93 ,82 , >98,,82 ,73 , 90,,95 ,84 , >98,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Eritrea,66 ,53 , 80,,88 ,71 , >98,,,,,,70 ,57 , 86,,89 ,72 , >98,,,,,,72 ,58 , 88,,90 ,73 , >98,,,,,,75 ,61 , 90,,90 ,73 , >98,,77 ,63 , 93,,76 ,62 , 92,,89 ,73 , >98,,85 ,69 , >98,,77 ,63 , 92,,92 ,75 , >98,,89 ,72 , >98,,78 ,63 , 93,,89 ,72 , >98,,87 ,70 , >98,,78 ,63 , 93,,90 ,73 , >98,,90 ,73 , >98,,79 ,64 , 94,,90 ,73 , >98,,93 ,75 , >98,,79 ,64 , 95,,91 ,74 , >98,,96 ,78 , >98,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,>98 ,89 , >98,"Children estimates were not available at the time of publication.",69 ,62 , 75,"Children estimates were not available at the time of publication.",,,,,>98 ,89 , >98,"Children estimates were not available at the time of publication.",72 ,65 , 77,"Children estimates were not available at the time of publication.",90 ,82 , 98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",73 ,67 , 80,"Children estimates were not available at the time of publication.",,,,,>98 ,90 , >98,"Children estimates were not available at the time of publication.",72 ,65 , 78,"Children estimates were not available at the time of publication.",96 ,87 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",71 ,65 , 78,"Children estimates were not available at the time of publication.",96 ,87 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",69 ,63 , 76,"Children estimates were not available at the time of publication.",97 ,88 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,
Eswatini,92 ,86 , >98,,73 ,68 , 77,,,,,,95 ,89 , >98,,81 ,76 , 87,,91 ,85 , 97,,96 ,90 , >98,,81 ,76 , 87,,91 ,85 , 98,,96 ,90 , >98,,81 ,76 , 88,,93 ,87 , >98,,97 ,91 , >98,,87 ,81 , 94,,97 ,90 , >98,,97 ,91 , >98,,93 ,86 , >98,,95 ,88 , >98,,96 ,90 , >98,,91 ,85 , >98,,98 ,91 , >98,,98 ,91 , >98,,92 ,85 , >98,,>98 ,91 , >98,,98 ,91 , >98,,93 ,86 , >98,,>98 ,91 , >98,,>98 ,91 , >98,,96 ,88 , >98,,>98 ,91 , >98,
Ethiopia,75 ,62 , 90,,80 ,67 , 96,,,,,,79 ,66 , 95,,83 ,69 , >98,,,,,,82 ,69 , >98,,83 ,70 , >98,,... ,... , ...,,85 ,71 , >98,,84 ,70 , >98,,90 ,75 , >98,,87 ,72 , >98,,86 ,72 , >98,,89 ,75 , >98,,88 ,73 , >98,,89 ,74 , >98,,93 ,78 , >98,,88 ,74 , >98,,88 ,74 , >98,,96 ,80 , >98,,90 ,75 , >98,,92 ,77 , >98,,97 ,81 , >98,,92 ,77 , >98,,92 ,77 , >98,,96 ,81 , >98,,94 ,78 , >98,,94 ,79 , >98,,97 ,81 , >98,
Fiji,33 ,18 , 46,,95 ,50 , >98,,,,,,31 ,18 , 40,,86 ,50 , >98,,,,,,29 ,19 , 37,,85 ,53 , >98,,,,,,28 ,19 , 35,,89 ,62 , >98,,... ,... , ...,,26 ,20 , 32,,90 ,70 , >98,,71 ,55 , 87,,24 ,20 , 29,,88 ,72 , >98,,... ,... , ...,,24 ,20 , 30,,89 ,73 , >98,,... ,... , ...,,20 ,16 , 26,,74 ,59 , 95,,... ,... , ...,,23 ,18 , 31,,65 ,51 , 88,,... ,... , ...,,36 ,27 , 54,,67 ,51 , >98,,... ,... , ...,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication."
France,,,,,,,,,95 ,82 , >98,,,,,,,,,,96 ,83 , >98,,,,,,,,,,96 ,83 , >98,,,,,,,,,,96 ,83 , >98,,,,,,,,,,96 ,83 , >98,,,,,,,,,,97 ,84 , >98,,94 ,81 , >98,,96 ,84 , >98,,>98 ,85 , >98,,94 ,82 , >98,,96 ,84 , >98,,>98 ,85 , >98,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,69 ,59 , 80,,58 ,50 , 68,,,,,,70 ,61 , 82,,59 ,51 , 68,,,,,,70 ,61 , 82,,60 ,52 , 69,,,,,,71 ,61 , 82,,60 ,52 , 70,,... ,... , ...,,72 ,62 , 84,,62 ,54 , 74,,... ,... , ...,,72 ,62 , 86,,63 ,54 , 75,,... ,... , ...,,73 ,62 , 88,,65 ,56 , 78,,... ,... , ...,,74 ,63 , 90,,73 ,61 , 88,,... ,... , ...,,76 ,63 , 93,,75 ,63 , 92,,... ,... , ...,,77 ,65 , 95,,83 ,69 , >98,,... ,... , ...,
Gambia,44 ,35 , 55,,44 ,36 , 56,,,,,,47 ,38 , 59,,50 ,40 , 63,,,,,,49 ,39 , 63,,53 ,42 , 67,,,,,,51 ,41 , 66,,56 ,45 , 71,,,,,,54 ,43 , 68,,59 ,46 , 74,,... ,... , ...,,55 ,43 , 70,,58 ,45 , 73,,... ,... , ...,,57 ,45 , 71,,59 ,46 , 74,,... ,... , ...,,59 ,47 , 74,,64 ,50 , 80,,... ,... , ...,,61 ,48 , 78,,66 ,52 , 84,,61 ,48 , 77,,64 ,50 , 81,,70 ,54 , 89,,79 ,61 , >98,
Georgia,86 ,80 , 92,"Children estimates were not available at the time of publication.",70 ,65 , 75,"Children estimates were not available at the time of publication.",85 ,79 , 91,"Children estimates were not available at the time of publication.",88 ,82 , 94,"Children estimates were not available at the time of publication.",75 ,70 , 80,"Children estimates were not available at the time of publication.",89 ,84 , 95,"Children estimates were not available at the time of publication.",84 ,79 , 89,"Children estimates were not available at the time of publication.",81 ,76 , 86,"Children estimates were not available at the time of publication.",89 ,84 , 95,"Children estimates were not available at the time of publication.",83 ,78 , 88,"Children estimates were not available at the time of publication.",84 ,79 , 89,"Children estimates were not available at the time of publication.",89 ,83 , 94,"Children estimates were not available at the time of publication.",82 ,77 , 87,"Children estimates were not available at the time of publication.",87 ,82 , 92,"Children estimates were not available at the time of publication.",91 ,86 , 96,"Children estimates were not available at the time of publication.",83 ,78 , 88,"Children estimates were not available at the time of publication.",86 ,81 , 90,"Children estimates were not available at the time of publication.",>98 ,94 , >98,"Children estimates were not available at the time of publication.",82 ,78 , 87,"Children estimates were not available at the time of publication.",86 ,81 , 90,"Children estimates were not available at the time of publication.",95 ,90 , >98,"Children estimates were not available at the time of publication.",82 ,77 , 86,"Children estimates were not available at the time of publication.",86 ,81 , 90,"Children estimates were not available at the time of publication.",92 ,87 , 97,"Children estimates were not available at the time of publication.",84 ,79 , 88,"Children estimates were not available at the time of publication.",84 ,79 , 88,"Children estimates were not available at the time of publication.",94 ,89 , >98,"Children estimates were not available at the time of publication.",86 ,81 , 90,"Children estimates were not available at the time of publication.",84 ,79 , 88,"Children estimates were not available at the time of publication.",95 ,89 , >98,"Children estimates were not available at the time of publication."
Germany,88 ,71 , >98,,91 ,73 , >98,,96 ,77 , >98,,89 ,72 , >98,,92 ,74 , >98,,97 ,78 , >98,,90 ,73 , >98,,93 ,75 , >98,,97 ,78 , >98,,91 ,73 , >98,,95 ,77 , >98,,97 ,78 , >98,,91 ,74 , >98,,96 ,78 , >98,,98 ,79 , >98,,92 ,74 , >98,,98 ,79 , >98,,98 ,79 , >98,,92 ,75 , >98,,>98 ,81 , >98,,98 ,79 , >98,,93 ,76 , >98,,>98 ,82 , >98,,,,,,93 ,76 , >98,,>98 ,82 , >98,,,,,,,,,,,,,,,,,
Ghana,51 ,45 , 59,,50 ,44 , 58,,,,,,53 ,46 , 61,,54 ,48 , 63,,,,,,55 ,48 , 63,,58 ,51 , 67,,,,,,57 ,50 , 66,,57 ,50 , 66,,66 ,58 , 77,,59 ,51 , 68,,57 ,50 , 66,,68 ,60 , 79,,61 ,53 , 71,,61 ,53 , 71,,73 ,64 , 86,,63 ,54 , 74,,64 ,55 , 75,,79 ,68 , 93,,65 ,56 , 77,,69 ,60 , 81,,68 ,59 , 81,,66 ,57 , 79,,69 ,59 , 82,,89 ,77 , >98,,68 ,59 , 81,,69 ,59 , 82,,90 ,77 , >98,
Greece,85 ,71 , 93,"Children estimates were not available at the time of publication.",74 ,62 , 81,"Children estimates were not available at the time of publication.",,,,,85 ,72 , 93,"Children estimates were not available at the time of publication.",78 ,65 , 85,"Children estimates were not available at the time of publication.",,,,,86 ,72 , 94,"Children estimates were not available at the time of publication.",79 ,67 , 87,"Children estimates were not available at the time of publication.",,,,,87 ,73 , 96,"Children estimates were not available at the time of publication.",77 ,65 , 85,"Children estimates were not available at the time of publication.",,,,,87 ,74 , 97,"Children estimates were not available at the time of publication.",76 ,64 , 84,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88 ,74 , 97,"Children estimates were not available at the time of publication.",75 ,63 , 83,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88 ,74 , 98,"Children estimates were not available at the time of publication.",74 ,63 , 83,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",89 ,74 , >98,"Children estimates were not available at the time of publication.",74 ,62 , 82,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",89 ,75 , >98,"Children estimates were not available at the time of publication.",73 ,61 , 82,"Children estimates were not available at the time of publication.",97 ,81 , >98,"Children estimates were not available at the time of publication.",90 ,75 , >98,"Children estimates were not available at the time of publication.",73 ,61 , 82,"Children estimates were not available at the time of publication.",82 ,69 , 92,"Children estimates were not available at the time of publication."
